" of the ";" из "
"An error occurred while hidding the Android Status Bar.";"Произошла ошибка при настройки строке состояния Android."
"An error occurred while hidding the iOS Status Bar.";"Произошла ошибка при настройки строке состояния iOS."
"An error occurred while importing line %s : impossible to save the object. Please check your file format.";"Произошла ошибка при импорте строке на %s : невозможно сохранить объект. Пожалуйста, проверьте формат файла."
"An error occurred while loading. Please, try again later.";"Произошла ошибка при загрузке. Пожалуйста, повторите попытку позже."
"An error occurred while saving the password. Please try again later.";"Ошибка при сохранении пароля. Пожалуйста, попробуйте снова позже."
"An error occurred while saving your APK. Please try again later.";"Произошла ошибка при сохранении файла APK. Пожалуйста, попробуйте снова позже."
"An error occurred while saving your Keystore. Please try again later.";"Произошла ошибка при сохранении вашего хранилища. Пожалуйста, попробуйте снова позже."
"An error occurred while saving your page subtitle.";"Произошла ошибка при сохранении подзаголовка вашей страницы."
"An error occurred while saving your picture. Please try againg later.";"Произошла ошибка при сохранении вашей картинки. Пожалуйста, попробуйте againg позже."
"An error occurred while upload the APK. Please try again later.";"Произошла ошибка при загрузки АПК. Пожалуйста, попробуйте снова позже."
"An error occurred while validating point<br />Please try again later.";"Произошла ошибка при проверке очков <br />пожалуйста, попробуйте снова позже."
"An error occurred, backButton is required!";"Произошла ошибка!"
"An error occurred, please try again.";"Произошла ошибка, пожалуйста, попробуйте снова."
"An error occurred. Please try again later.";"Произошла ошибка. Пожалуйста, попробуйте снова позже."
"An unknown error occured.";"Неизвестная ошибка."
"An unknown error occurred while listing applications.";"Произошла неизвестная ошибка при получении списка приложений."
"An unknown error occurred, please try again later.";"Произошла неизвестная ошибка, пожалуйста, повторите попытку позже."
"An user of the Platform <b>%s</b>, cancelled the subscription of the Application <b>%s</b>";"Пользователь платформы <b>%s</b>, отменил подписку на приложение <b>%s</b>"
"Android SDK is marked for update.";"SDK для Android настроен для обновления."
"Anniversary";"Годовщина"
"App ID:";"Идентификатор приложения:"
"App Id is required!";"Требуется ID приложение!"
"App name:";"Название приложения:"
"Application id %s not found.";"Идентификатор приложение %s не найден."
"Application identifier:";"Идентификатор приложения:"
"Application not found!";"Приложение не найдено!"
"Application template successfully imported.";"Шаблон приложения успешно импортированы."
"Applications tied to this subscription";"Приложения привязаны к этой подписке"
"Apps Qty";"Приложения кол-во."
"Authentication failed.";"Ошибка аутентификации."
"Automatic Cancellation";"Автоматическая отмена"
"Back button choice saved!";"Назад выбор кнопки сохранено!"
"Background Color";"Цвет фона"
"Banner %s price";"Цена баннера %s"
"Banner %s store label";"Баннер %s метка магазина"
"Be aware that if the code you enter here requires any kind of server interaction it will not work properly in offline mode.";"Помните, что если код, который вы вводите здесь требует какой-либо сервер взаимодействия, то это будет не правильно работать в автономном режиме."
"Before publishing your Application you must upload a homepage background.";"Перед публикацией приложения необходимо загрузить домашний фон."
"Before publishing your Application you must upload a splashscreen.";"Перед публикацией приложения необходимо загрузить заставку."
"Below you'll find important informations required in some services!";"Ниже вы найдете важную информацию, необходимую в некоторых сервисах!"
"Bin SQLite3:";"SQLite3:"
"Black";"Черный"
"Booking details:";"Детали бронирования:"
"Border Color";"Цвет Границы"
"Build Mobile Social Gaming";"Создание мобильных социальных сетей"
"Build failed";"Построить не удалось"
"Build succeed";"Построить получится"
"CORE TEMPLATE";"БАЗОВЫЙ ШАБЛОН"
"Cache cleared.";"Кэш очищается."
"Cancel current Subscription";"Отмена текущей подписки"
"Cancel subscription";"Отменить подписку"
"Cancellation of your Subscription!";"Отмена подписки!"
"Cancelling a child subscription will only affect the concerned application.";"Отмена подписки,  влияет только на соответствующие приложения."
"Cancelling a paid subscription will mark it as cancelled, and the subscription will automatically expire on it's expiration date.";"Отмена платной подписки  будет помечен как отмененный, и подписка будет автоматически отключена."
"Cancelling a parent subscription will also cancel it's childs.";"Отмена родительской подписки также  отменит это приложение."
"Cannot find application from token.";"Не могу найти токен приложение."
"Cannot send APK build to service %s.";"Не могу отправить apk для генерации %s."
"Cannot send build to service %s.";"Не могу отправить на генерацию %s."
"Catalog not found!";"В каталоге не найдено!"
"Category has been deleted.";"Категория была удалена."
"Category not found!";"Категория не найдена!"
"Category successfully deleted.";"Категория успешно удалена."
"Certificate renewal is disabled until %s due to rate limit hit.";"Обновление сертификата отключено до %s из-за предела лимита."
"Change your homepage";"Изменить вашу домашнюю страницу"
"Change your startup image";"Изменить стартовую страницу"
"Check out our support pages:";"Проверьте наши страницы поддержки:"
"Chef de projet";"Руководитель проекта"
"Child";"Наследуемый"
"Choose a";"Выбрать"
"City:";"Город:"
"ClamAV:";"Антивирусом ClamAV:"
"Code Used";"Код, Используемый"
"Coiffeurs";"Парикмахеры"
"Company successfully deleted.";"Компания успешно удалена"
"Create a new plan";"Создайте новый план"
"Created at:";"Создан в:"
"Credentials successfully saved!";"Учетные данные успешно сохранены!"
"Date and time:";"Дата и время:"
"Deactivation";"Отключение"
"Deactivation of your Subscription!";"Деактивация подписки!"
"Define how many applications can be activated with this Subscription";"Установить, сколько приложений можно активировать в эту подписку"
"Delete my account.";"Удалить мой аккаунт."
"Delivery fees:";"Тарифы на доставку:"
"Delivery methods:";"Способы доставки:"
"Delivery radius:";"Радиус доставки:"
"Delivery time:";"Срок поставки:"
"Description:";"Описание:"
"Disable this Subscription!";"Отключите эту подписку!"
"Disabling cache can have significant performance impacts.";"Отключение кэша может иметь значительное влияние на производительность."
"Distributeur logiciel";"Дистрибьютор программного обеспечения"
"Do not edit the following settings if your APK Generator is working!";"Не изменяйте следующие параметры, если ваш генератор АПК работает!"
"Download QRCode for employee";"Скачать qrcode для сотрудника"
"Download images archive";"Скачать архив изображений"
"Download template as";"Шаблон Скачать как"
"Download the APK !";"Скачать APK !"
"Download the source archive !";"Скачать архив-исходник !"
"Downloading your package.";"Скачивание пакета."
"Edit the account \"%s\"";"Редактирование учетной записи \"%s\""
"Edit the plan";"Редактирование плана"
"Employee's name";"Имя сотрудника "
"Employee's password";"Пароль сотрудника "
"Enable this Subscription!";"Включите эту подписку!"
"Error: unable to write Environment in config.php";"Ошибка: не удается записать среды в config.php"
"Essayez gratuitement !";"Попробуй бесплатно!"
"Expired on";"Истек"
"Extension not allowed, \'%s\' only";"Продление не допускается, \'%s\'"
"Feature is now %s";"Функция теперь %s"
"Feature not found.";"Функция не найдено."
"Feature successfully added inside folder!";"Особенность успешно добавлена в папке!"
"Feature successfuly imported.";"Особенность - успешно импортированы."
"Firebase is not well configured.";"Firebase не настроена."
"Firewall Slack settings have been saved.";"Параметры брандмауэра были сохранены."
"Firstname:";"Имя:"
"Fixed";"Исправлена"
"Folder not found!";"Папку не нашел!"
"Free";"Бесплатно"
"Free delivery starting from:";"Бесплатная доставка начиная от:"
"Free plan";"Свободный план"
"Free plans have no expiration date.";"Бесплатные планы не имеют срока годности."
"Free trial period duration must be a numeric value.";"Бесплатная пробная продолжительность периода должно быть числовое значение."
"Galerie photos";"Фото галерея "
"Gallery has been deleted!";"Галерея была удалена!"
"Google Service file successfully saved!";"Файл сервиса Google успешно сохранен!"
"Hide overlay";"Скрыть оверлей"
"IP:Port";"IP:порт"
"If your credit card, or subscription expired, you can purchase a new one.";"Если ваша кредитная карта или подписка закончена, вы можете приобрести новый план."
"Import success.";"Успех импорт."
"Installed templates";"Установленные шаблоны"
"Invalid QRCode parameters.";"Недопустимые параметры отображение."
"Invalid twitter handle/url!";"Недопустимый идентификатор в Twitter/URL-адрес!"
"Invoice";"Счет-фактура"
"Invoice %s";"Счет %s"
"Is Active?";"Является Активным?"
"JpegOptim:";"JpegOptim:"
"Label:";"Метки:"
"Lastname:";"Фамилия:"
"Let your users know what is locked.";"Пусть ваши пользователи знают, что заблокировано."
"Linked to Subscription";"Связанных с подпиской"
"List of your taxes";"Список ваших налогов"
"Listing produits";"Листинг как produits"
"Listing produits / tarifs";"Листинг как produits / тарифы"
"Loading your white label editor.";"Загрузка редактора white label."
"Main domain is required!";"Требуется главный домен!"
"Main domain is required, you can set it in <b>Settings > General</b>";"Требуется главный домен, вы можете установить его в <b>параметры > общие</b>"
"Major update disclaimer, confirmation required!";"Отказ от ответственности обновления, требуется подтверждение!"
"Manifest rebuilt with succes.";"Манифест восстановлен с успехом."
"Message is required.";"Необходимое сообщение."
"Message:";"Сообщение:"
"Migration done!";"Миграция сделана!"
"Minimum order:";"Минимальный заказ:"
"Missing categories.";"Отсутствующие категории."
"Missing data.";"Недостающие данные."
"Missing design_id.";"Отсутствует design_id."
"Missing form data!";"Недостающие данные формы!"
"Missing parameter value_id.";"Отсутствует value_id параметра."
"Missing parameters!";"Недостающие параметры!"
"Missing parameters, value_id or message.";"Отсутствующие параметры, value_id или сообщение."
"Missing params!";"Недостающие параметры!"
"Missing request.";"Отсутствует запрос."
"Missing token and/or status.";"Отсутствует маркер и/или статус."
"Missing value_id!";"Отсутствует value_id!"
"Mode";"Режим"
"Mur de news";"Стена новостей"
"Mur de news mobile";"Мобильная новостная стена"
"My Subscriptions";"Мои Подписки"
"My subscriptions";"Мои подписки"
"N.A.";"N.A."
"Name is required to save the Application.";"Имя требуется сохранить приложение."
"National";"Национальный"
"New sale";"Новая распродажа"
"New subscription on your Platform %s!";"Новые подписки на вашу платформу %s!"
"New user Account";"Новая учетная запись пользователя"
"Next payment date";"Следующая дата платежа "
"No build.";"Не сгенерирован."
"No credentials found!";"Учетные данные не найдены!"
"No customers available.";"Нет доступных клиентов."
"No data sent.";"Не отправляет данные."
"No file found.";"Файл не найден."
"No templates";"Нет шаблонов"
"No, go back!";"Нет, вернитесь!"
"Nobody is online.";"Никто не онлайн."
"Not a Yahoo weather request, aborting.";"Нет запроса Yahoo погода."
"Notifications Push";"Уведомления Push"
"Notifications Push en marque blanche";"Уведомления push"
"Number of Applications";"Количество заявок"
"Offline";"В автономном режиме"
"Only cancelled";"Только отменили"
"OptiPNG:";"OptiPNG:"
"Option name:";"Имя параметра:"
"Or purchase a new subscription";"Оформить подписку на сервис"
"Order successfully saved saved.";"Заказ успешно сохранен."
"Order: ";"Заказ: "
"Overlay color";"Наложение цвета"
"Owner";"Владелец"
"Owner Cancellation";"Отмена Владельцем"
"PEM Request generally takes 1 minute to complete.";"Запрос PEM, как правило, занимает 1 минуту, чтобы закончить."
"PHP SQLite3:";"На PHP и sqlite3:"
"PNGQuant:";"PNGQuant:"
"PROTECTED";"Защищены"
"Partially saved.";"Частично сохранены."
"Password:";"Пароль:"
"PayPal is not configured in your Backoffice, recurrencies will not work correctly.";"PayPal не настроен в вашем личном кабинете, recurrencies не будет правильно работать."
"PayPal subscription is %s.";"Подписка на PayPal %s."
"Payment Information:";"Информация Об Оплате:"
"Payments are verified through their respective APIs.";"Платежи проверяются через их соответствующие интерфейсы."
"Percentage";"Процент"
"Please correct the following errors <br>";"Пожалуйста, исправьте следующие ошибки <br>в"
"Please enter a correct version for the %s app";"Пожалуйста, введите правильную версию для приложения с "
"Please enter a valid date.";"Введите действительную дату."
"Please fill iTunes Connect Credentials.";"Пожалуйста, заполните iTunes подключите учетные данные."
"Please verify the ";"Пожалуйста, проверьте "
"Please, enter a password.";"Пожалуйста, введите пароль."
"Plesk from 12.0 to 17.0";"Плеск от 12,0 до 17,0"
"Plus d'infos";"Плюс D'infos"
"Postal code or city:";"Почтовый код или город:"
"Previous and/or Expired subscriptions";"Предыдущие и/или подписки"
"Previous version";"Предыдущие версии"
"Price:";"Цена:"
"Product has been deleted.";"Продукт был удален."
"Product name:";"Наименование товара:"
"Product not found!";"Товар не найден!"
"Promo not found";"Промо не нашел"
"Promo successfully deleted";"Акция успешно удалена"
"Promotion successfully deleted.";"Акция успешно удалена."
"Provider";"Поставщик"
"Purchase a new subscription!";"Оформить новую подписку!"
"Query successfully deleted.";"Запрос успешно удален."
"Question";"Вопрос"
"RSS application mobile";"RSS для мобильных приложений"
"Rate";"Ставка"
"Reason:";"Причина:"
"Recipient email:";"Адрес получателя:"
"Recurrent fee";"Абонплата"
"Region";"Область"
"Regular fee";"Регулярный сбор"
"Removing CRON Scheduler generator lock files.";"Удаление файлов генератор cron-планировщик ."
"Removing CRON Scheduler source lock files.";"Удаление крон исходные файлы планировщика блокировки."
"Removing domain %s, domain in dot notation is not supported.";"Удаление домена %s домена в точечной нотации не поддерживается."
"Render Test";"Тест Рендер "
"Request a new PEM certificate.";"Запросить новый сертификат PEM."
"Reset to default Privacy Policy GDPR.";"По умолчанию Политика конфиденциальности GDPR."
"Resize your picture:";"Размер изображения:"
"Safe in landscape";"Безопасный в пейзаж"
"Safe in portrait";"Безопасный в портретном"
"Safe zone overlay";"Безопасная зона наложения"
"Scan this QR Code:";"Отсканируйте этот QR-код:"
"Scratchcard";"Лотерейка"
"Secret Key:";"Секретный Ключ:"
"Seems the appId is empty or invalid, aborting!";"Кажется AppID является пустым или недействительным, прерываюсь!"
"Seems we could delete unwanted files, aborting!";"Кажется, мы можем удалить ненужные файлы, прерываюсь!"
"Select a connection type:";"Выбор тип подключения:"
"Select one of the available subscriptions with remaining slots";"Выберите одну из доступных подписок"
"Send your favicon";"Отправить ваш favicon"
"Send your logo";"Отправьте ваш логотип"
"Service status / load";"Статус услуги / нагрузки"
"Setting successfully saved.";"Настройки успешно сохранены."
"Show applications removed from the editor.";"Показать приложений удаленные из редактора."
"Show child subscriptions";"Показать подписки субприложений"
"Signature:";"Подпись:"
"Snacking / Restaurants";"Перекусывать / Рестораны"
"Snacking<br />Restaurants";"Перекусывать<br />в рестораны"
"Social Gaming";"Социальные Игры"
"Something went wrong while restoring files, process aborted!";"Что-то пошло не так при восстановлении файлов, процесс прерывается!"
"Sorry but an error occurred while duplicating your application.";"Извините, но произошла ошибка при дублировании вашего приложения."
"Source type:";"Тип исходника:"
"Sources Generation";"Исходный код"
"Sources are successfully restored.";"Исходник успешно восстановлен."
"Subscription date";"Дата подписки "
"Subscription updated.";"Подписка на обновления."
"Subscription: ";"Подписка: "
"Successfully saved default project.";"Успешно сохраненного проекта по умолчанию."
"Tax name:";"Наименование налога:"
"Tax rate:";"Налоговая ставка:"
"Tax:";"Налог:"
"Teams successfully refreshed!";"Команды успешно обновились!"
"Telephone";"Телефон"
"Temp cleared.";"Темп очищается."
"Test App";"Тест Приложение"
"Text Color";"Цвет Текста"
"Thanks for working with us!";"Спасибо за проявленный интерес к нашей платформе!"
"Thanks for your report.";"Спасибо за ваш отчет."
"Thanks for your subscription.";"Спасибо за вашу подписку."
"The APK for the application %s has been generated !";"APK для приложение %s был создан !"
"The APK generation failed !";"APK не создан !"
"The APK generation is done !";"APK готов !"
"The APK has been generated!";"APK  создан!"
"The CNAME for the URL \"%s\" is not properly set";"Запись CNAME для URL \"%s\" не правильно установлена"
"The CNAME for the domain \"%s\" is not properly set";"Запись CNAME для домена \"%s\" не правильно установлена"
"The Source code for the application %s has been generated !";"Исходный код для приложения %s был создан !"
"The Source code generation failed !";"Генерация исходного кода не удалось !"
"The categories for line %s couldn't be created : no parent category found.";"Категории по строке %s не могла быть создана :  родительская категория не найдена."
"The categories for line %s couldn't be created : no root category found.";"Категории в строке %s не могла быть созданы : нет корневой категории."
"The categories for line %s couldn't be read.";"Категории по строке %s не могла быть прочитана."
"The data has been saved successfully";"Данные успешно сохранены "
"The entered package name is incorrect, it should be like: com.nwicodecms.app";"Введенное имя пакета неверное, надо так: com.nwicodecms.app"
"The feature you are trying to edit doesn't exists!";"Функция, которую вы пытаетесь изменить, не существует!"
"The formats for line %s couldn't be read.";"Форматы строке %s не могла быть прочитана."
"The given template does not exists.";"Данный шаблон не существует."
"The local APK generator requires %s";"Генератор АПК требует %s"
"The options for line %s couldn't be read.";"Параметры строки %s не прочитана."
"The options for line %s couldn't be saved.";"Параметры строки %s не  сохранена."
"The overlay helps you check if important content and/or text on your homepage image is inside the safe boundaries.";"Оверлей поможет вам проверить, если важно содержание и/или текста на изображении странице находится внутри безопасных границ."
"The requested APK generation failed: %s";"Запрашиваемая поколения APK не получилась: %s"
"The requested APK/Source generation failed !";"Запрашиваемая APK генерация не получилась !"
"The search request is empty.";"Поисковый запрос пуст."
"The selected subscription is not valid.";"Некоторые подписки не действительны."
"The source generation is done !";"Генерация исходников запущена !"
"The subscription is cancelled!";"Подписка отменена!"
"The subscription is now active.";"Подписка сейчас активна."
"The subscription is now inactive.";"Подписка сейчас не активна."
"The user doesn't exist.";"Пользователь не существует."
"There is not corresponding release to restore from, process aborted!";"Нет соответствующего выхода для восстановления, процесс прерывается!"
"This Application doesn't exists, aborting!";"Это приложение не существует, прерываясь!"
"This Application has some invoices associated, you can not delete it!";"Это приложение имеет некоторые накладные связаны, вы не можете удалить его!"
"This action is used to migrate all current active session into a Redis server instance, use this only with care if you want to migrate from MySQL session to Redis session storage.";"Это действие используется, чтобы перенести все текущие активные сессии в экземпляр сервера Redis использовать только с осторожностью, если вы хотите перенести из сеанса MySQL в Redis для хранения сессии."
"This admin can download application sources code.";"Этот админ может скачать исходные коды приложения."
"This application does not belong to you.";"Это приложение не принадлежит вам."
"This block type doesn't exists.";"Этот тип блока не существует."
"This feature is not ready yet. Please try again later.";"Эта функция еще не готова. Пожалуйста, попробуйте снова позже."
"This field is required.";"Это поле является обязательным."
"This icon is not allowed!";"Этот значок не допускается!"
"This is a child subscription, it is tied to a parent with 2 or more application slots.";"Это подписка субприложений, он привязан к родителю с 2 или более слотов для приложений."
"This is a demo version, these changes can't be saved.";"Это демо-версия, эти изменения не могут быть сохранены."
"This is a demo version, you are not allowed to change the default role.";"Это демо-версия, вы не можете изменить роль по умолчанию."
"This is a demo version, you can't download any source codes / APKs";"Это демо-версия, вы не могу скачать какие-либо коды источников / Апкс"
"This is a demo version, you cannot deactive an user.";"Это демо-версия, вы не выключена пользователем."
"This is a demo version, you cannot save these settings.";"Это демо-версия, вы не можете сохранить эти настройки."
"This is probably %s";"Это, наверное, %s"
"This method is deprecated, please update!";"Этот метод является устаревшим, пожалуйста, обновите!"
"This subscription does not exists!";"Эта подписка не существует!"
"This subscription doesn't exists!";"Эта подписка не существует!"
"This subscription is cancelled, and will expire by <b>%s</b>.";"Эта подписка будет отменена, и истекает <b>%s</b>."
"This template installer is not supported anymore, please refer to the documentation to update your installer.";"Этот установщик шаблона не поддерживается больше, пожалуйста, обратитесь к документации, чтобы обновить установщик."
"This user does not exist.";"Этот пользователь не существует."
"Tip: %s";"Тип: %s"
"Title:";"Название:"
"Touch To Call";"Нажмите, Чтобы Позвонить"
"Translation in progress ... ";"Перевод в прогрессе ..."
"UPGRADE NOW!";"ОБНОВИТЬ СЕЙЧАС!"
"Unable to cancel 2Checkout subscription, tray again later.";"Можете отменить позже подписки 2Checkout."
"Unable to cancel PayPal subscription, tray again later.";"Можете отменить позже подписки PayPal."
"Unable to fetch your application background images.";"Невозможно получить фоновые изображения вашего приложения."
"Unable to find either folder or feature!";"Не удалось найти папку или функцией!"
"Unable to find option.";"Не удалось найти вариант."
"Unable to find the corresponding build.";"Не удалось найти соответствующей сборки."
"Unable to find the order id!";"Не удалось найти номер заказа!"
"Unable to load CMS Blocks without value_id.";"Не удалось загрузить CMS блоков без value_id."
"Unable to parse certificate.";"Не удалось разобрать сертификат."
"Unable to retrieve 2Checkout subscription, tray again later.";"Не удалось получить подписки 2Checkout."
"Unable to update a user from here.";"Можете обновить пользователя отсюда."
"Unauthorized access to feature.";"Несанкционированный доступ к объекту."
"Unified homepage";"Единая домашняя страница"
"Unified splashscreen";"Загрузочная страница"
"Unknown action for this module.";"Неизвестные действия для данного модуля."
"Unkown error!";"Неизвестная ошибка!"
"Until %s";"До %s"
"Upgrade required";"Требуется обновление"
"Upload your %s file below.";"Загрузите ваш файл %s ниже."
"User ID:";"ID пользователя:"
"User cancelled his Subscription!";"Пользователь отменил свою подписку!"
"User email:";"Адрес электронной почты:"
"User name";"Имя пользователя "
"User: ";"Пользователь: "
"Username:";"Имя пользователя:"
"View the Application";"Вид приложения"
"We are sorry but our Wordpress plugin hasn\'t been detected on your website. Please be sure it is correctly installed and activated.";"Нам очень жаль, но наш плагин WordPress hasn\'т были обнаружены на вашем сайте. Пожалуйста, убедитесь, что он правильно установлен и активирован."
"We are sorry but this nickname is already used.";"Нам очень жаль, но этот ник уже используется."
"We can't delete the only application from your installation.";"Мы не можем удалить единственное приложение из вашей установки."
"We were unable to determine your %s version.";"Нам не удалось определить ваш %версия ."
"We were unable to find your last payment for the subscription of the Application <b>%s</b>";"Мы не смогли найти ваш последний платеж по подписке приложений <b>%s</b>"
"Website:";"Сайт:"
"Welcome on our Platform %s";"Добро пожаловать на нашу платформу %s"
"White";"Белый"
"Xcode 9.2";"В Xcode 10.0 +"
"Yes, Delete!";"Да, Удалить!"
"Yes, Proceed to update!";"Да, продолжить обновление!"
"You are about to cancel this subscription, the payments will be stopped, and the application will be disabled!<br />You can enter a customer message below to inform the Application owner!<br /><br />";"Вы собираетесь отменить эту подписку, платежи будут остановлены, и приложение будет отключено!<br />вы можете ввести сообщение ниже поддержки, чтобы сообщить владельцу приложения!<br /><br />"
"You are about to update to version %s, this version introduces breaking changes in the platform,";"Вы собираетесь обновить до версии %s, Эта версия вносит критические изменения в платформе,"
"You are going to love it!<br />Thanks to our effective features, you will be able to create great mobile apps in your name, within minutes.";"Вам понравится!<br />Благодаря множеству эффективных функций, вы сможете создавать отличные мобильные приложения, в течение нескольких минут."
"You are not allowed to access this page";"Вам не разрешен доступ к этой странице"
"You are not allowed to cancel child subscriptions.";"Не допускается отмена подписок субприложений."
"You are not allowed to cancel free subscriptions.";"Вы не можете отменить бесплатную подписку."
"You are not allowed to cancel offline/paid subscriptions.";"Не допускается отмена автономных/платных подписок."
"You are not allowed to cancel online/paid subscriptions.";"Вы не можете отменить онлайн/платные подписки."
"You are not allowed to delete applications.";"Вам не разрешается удалять приложения."
"You can activate <b>%s</b> more App%s";"Вы можете активировать <b>%s</b>  на другое приложение%s"
"You can contact your Administrator to get more informations.";"Вы можете связаться с администратором, чтобы получить больше информаций."
"You can disable a template globally!";"Вы можете отключить шаблон глобально!"
"You can only edit offline subscriptions!";"Вы можете только редактировать подписки в автономном режиме!"
"You can publish <b>up to %s Apps</b>";"Вы можете опубликовать  <b>до %s приложений</b>"
"You can't activate an online subscription!";"Вы не можете активировать онлайн подписку!"
"You can't assign a role to this child role, this will break the hierarchy!";"Вы не можете назначить роль, это роль суб приложения, это нарушит иерархию!"
"You can't deactivate an online subscription!";"Вы не можете отключить онлайн подписки!"
"You can't go back to Angular.";"Вы не можете вернуться на Angular."
"You can't go back with Angular.";"Ты не можешь вернуться с Angular."
"You cannot add a Folder feature inside a folder!";"Нельзя добавить папку в папки!"
"You cannot change Firewall settings, it's a demo version.";"Вы не можете изменить параметры брандмауэра, это демо-версия."
"You cannot change translation, it's a demo version.";"Вы не можете изменить перевод, это демо-версия."
"You don't have any plans yet";"У вас еще нет никаких планов "
"You don't have created any taxes yet";"Вы не создали никаких налогов"
"You have exceeded the number of attempts to validate points.<br />Your card is locked for 24h";"Вы превысили количество попыток для проверки очков..<br />ваша карта заблокирована на 24 часа"
"You have no subscription with free slots, please proceed to a new purchase.";"У вас нет оплаченного тарифа, пожалуйста, выберете и оплатите тариф для дальнейшей работы."
"You have no subscription.";"У вас нет подписки."
"You have no users.";"У вас нет пользователей."
"You have no whitelabel yet.";"У вас нет whitelabel ."
"You have received a publication request:";"Вы получили запрос на публикацию:"
"You manually handle the payments via check, cash, etc... and activations/deactivations.";"Вы вручную обрабатывать платежи с помощью чека, наличными, и т. д.... и активаций/деактиваций."
"You must be connected to create a post!";"Вы должны быть зарегистрированы!"
"You must select a subscription!";"Вы должны выбрать подписку!"
"You must select an existing subscription!";"Вы должны выбрать уже существующую подписку!"
"You must set a Google Maps API Key in <b>Settings > Advanced</b> in order to use this feature.";"У вас должен быть установлен API Карт Google ключ в <b>Параметры > Дополнительно</b> в целях использования этой функции."
"You must upgrade Java to 1.8";"Вы должны обновить Java до 1,8"
"You will disable the current Application subscription!<br />You can enter a customer message below to inform the Application owner!<br /><br />";"Вы отключаете текущую подписку приложения!<br />вы можете ввести сообщение ниже поддержки, чтобы сообщить владельцу приложения!<br /><br />"
"You will enable the current Application subscription!<br />You can enter a customer message below to inform the Application owner!<br /><br />";"Активация текущей подписки приложения!<br />вы можете ввести сообщение ниже, чтобы сообщить владельцу приложения!<br /><br />"
"Your %s version is %s.";"Ваш %s версия %s"
"Your APK is being generated. Please come back in a few minutes.";"APK не создается. Пожалуйста, повторите через несколько минут."
"Your PHP version %s is not supported, PHP versions from 5.6 to 7.0 are supported.";"Ваш PHP версии %s Не поддерживается, версиях PHP от 5.6 до 7.0 поддерживаются."
"Your account doesn't exists on editor side. Please create it before using tour edition.";"Ваша учетная запись не существует на стороне редактора. Пожалуйста, создайте её, используя данное издание."
"Your application has been successfully added to your subscription!";"Ваша заявка успешна добавлена в ваши подписки!"
"Your subscription expired!";"Срок действия вашей подписки истек!"
"Your subscription was automatically cancelled.";"Ваша подписка будет автоматически отменена."
