"%s Text";"%s Текст"
"An error occurred while adding the option";"Произошла ошибка при добавлении опции"
"An error occurred while changing your layout.";"Произошла ошибка при смене макета."
"An error occurred while deleting the option";"Произошла ошибка во время удаления опции"
"An error occurred while deleting your picture";"Произошла ошибка во время удаления вашего изображения"
"An error occurred while editing file (%s).";"Произошла ошибка при редактировании файла (%s)."
"An error occurred while generating. Please try again later.";"Произошла ошибка при создании. Пожалуйста, попробуйте снова позже."
"An error occurred while hidding the iOS Status Bar";"Произошла ошибка при скрытии строки состояния IOS"
"An error occurred while loading";"Произошла ошибка при загрузке"
"An error occurred while saving the application. Please try again later.";"Произошла ошибка при сохранении приложения. Пожалуйста, повторите попытку позже."
"An error occurred while saving your colors.";"Произошла ошибка при сохранении ваших цветов"
"An error occurred while saving your page name.";"Произошла ошибка при сохранении имени вашей страницы"
"An error occurred while saving. Please try again later.";"Произошла ошибка при сохранении. Пожалуйста, попробуйте снова позже."
"An error occurred while saving. The selected icon is not valid.";"Произошла ошибка при сохранении. Выбранный значок не является действительным."
"An error occurred while sorting your pages. Please try again later.";"Произошла ошибка при сортировке страниц. Пожалуйста, повторите попытку позже."
"An error occurred while sorting your slider images. Please try again later.";"Произошла ошибка при сортировке слайдов изображений. Пожалуйста, повторите попытку позже."
"An error occurred. Sorry for the inconvenience.";"Произошла ошибка. Извините за неудобства."
"Analytics";"Аналитика"
"Analyzing fetched data...";"Анализ полученных данных..."
"Android";"Андроид"
"Android APK Generation";"Андроид APK генератор"
"Android APK version";"Apk Версия для Android"
"Android Version";"Версия Андроида"
"Android push";"PUSH для Android"
"Angle";"Угол"
"App ID";"App ID"
"App Store Icon";"App Store иконка"
"App design";"Дизайн App"
"Apple rejects apps that includes Ad Support but doesn't use it.<br />Generate your iOS app out of this source code if you don't include Ads.";"Apple, не пропускает те приложения, которые имеют поддержку рекламы, но не использует её. <br /> Сгенерировать это приложение IOS из этого исходного кода, даже если не включена реклама?"
"Apple's Information";"Информация от Apple"
"Application icon";"Иконка приложения"
"Application name";"Имя приложения"
"Application:";"Приложения:"
"Are you sure you want to remove this application?";"Вы уверены, что хотите удалить это приложение?"
"Around you";"Вокруг вас"
"At least 200 characters in the description";"В описании должно быть не менее 200 символов."
"At least, 4 pages in the application";"Должно быть не менее 4 страниц в приложении"
"Attachment";"Вложение"
"Audio";"Аудио"
"Available SCSS Variables corresponding to previously set colors";"Доступные переменные SCSS, соответствующий набор цветов"
"Average by customer";"Среднее по клиенту"
"Background";"Фон"
"Backoffice";"Офис"
"Banner";"Баннер"
"Banner Android price";"Banner Android цена"
"Banner Android store label";"Баннер Android store лого"
"Banner author";"Автор баннера"
"Banner button label";"Текст на кнопке банера"
"Banner iOS price";"Banner iOS цена"
"Banner iOS store label";"Баннер iOS store лого"
"Banner iOS store label
\"eBanner iOS price";"Баннер iOS магазина \"eBanner iOS цена"
"Banner iOS store label
Banner settings\"";"Баннер iOS магазин"
"Banner settings";"Настройки баннеров"
"Banner title";"Название баннера"
"Book";"Книга"
"Border";"Рамка"
"Border shadow";"Границы теней"
"Bottom";"Снизу"
"Build a mobile app easily";"Легко создать мобильное приложение"
"Build date";"Дата"
"Build information";"Информация о сборке"
"Bundle Id";"Bundle Id"
"Business";"Бизнес"
"Button";"Кнопка"
"Buy one, get one!";"Купите один кофе, получите второй в подарок!"
"Cache";"Кэш"
"Calendar";"Календарь"
"Catalogs";"Каталоги"
"Certificate";"Сертификат"
"Change your";"Изменить"
"Change your icon";"Сменить иконку"
"Change your layout";"Изменить ваш макет"
"Change your picture";"Сменить картинку"
"Change your template";"Изменить шаблон"
"Change your<br /><span class=\"bold\">picture</span>";"Сменить<br /><span class=\"bold\">картинку</span>"
"Change your<br /><span class='bold'>picture</span>";"Измените свой <br /><span class='bold'> рисунок </span>"
"Change your<br /><span>picture</span>";"Изменить<br /><span>картинку</span>"
"Checking CNAME configuration:";"Проверка CNAME конфигурации:"
"Choose a <br /><span class=\"bold\">picture</span>";"Выберите <br /><span class=\"bold\">картинку</span>"
"Choose a <br /><span class='bold'>picture</span>";"Выбрать <br /><span class='bold'>картинку</span>"
"Choose a country";"Выберите страну"
"Choose a font family";"Подберите шрифт"
"Choose a picture";"Выбрать картинку"
"Choose a template to customize";"Выберите шаблон для редактирования"
"Choose an icon";"Выбрать иконку"
"Choose your colors";"Подберите цветовую схему приложения"
"Choose your country";"Выберите свою страну"
"Choose your design";"Подберите свой дизайн"
"Choose your font style";"Подберите свой стиль шрифта"
"Choose your homepage image";"Выберите изображение для главной страницы"
"Choose your icons color";"Подберите дизайн кнопок управления "
"Choose your layout";"Выберите макет меню"
"Choose your template";"Подберите шаблон"
"Click here to download the source code:";"Нажмите здесь, чтобы загрузить исходный код:"
"Click here to send your certificate";"Нажмите здесь, чтобы отправить сертификат"
"Client ID";"ID клиента"
"Cms";"CMS"
"Code Scan";"Код сканер"
"Color";"Цвет"
"Colorize pager";"Раскрасить"
"Colors";"Стиль"
"Comments";"Комментарии"
"Configuration";"Конфигурации"
"Connect Button";"Кнопка коннект"
"Contact";"Контакты"
"Core";"Основной"
"Cover background images";"Обложка для фоновых изображений"
"Create a place";"Создать место"
"Currently only one language can be selected";"В настоящее время можно выбрать только один язык"
"Currently only one language can be selected.";"В настоящее время можно выбрать только один язык."
"Custom";"Настраиваемый"
"Custom SMTP";"Пользовательские SMTP"
"Custom domain name:";"Пользовательское доменное имя:"
"Customization";"Кастомизация"
"Customize your app's style";"Настроить стиль приложения"
"Dashboard icon";"Иконка в панели"
"Deactivated";"Деактивировано"
"Default";"По умолчанию"
"Default (none)";"По умолчанию (нет)"
"Delete this page?";"Удалить эту страницу?"
"Depth";"Глубина"
"Design";"Дизайн"
"Developer Accounts";"Аккаунты разработчиков"
"Device Information";"Информация об устройстве "
"Discount Zone";"Скидки"
"Discount zone description. Here your clients will be able to see the details of each discount";"Описание раздела скидок. Здесь ваши клиенты смогут увидеть подробные сведения о каждой скидке."
"Display Border Circle";"Отобразить границы круга"
"Display Borders";"Отобразить границы"
"Display Image";"Дисплей изображение"
"Display Shadow";"Дисплей Тень"
"Display address";"Показать адрес"
"Display borders";"Отобразить границы"
"Display image in page";"Отображения изображения на странице"
"Display location button";"Кнопка расположение на дисплеи"
"Display the homepage slider";"Показать слайдер на главной странице"
"Display title and subtitle in page";"Заголовок и подзаголовок на странице"
"Display titles";"Заголовок на дисплеи"
"Domain";"Домен"
"Domain name";"Имя домена"
"Don't order:";"Нет заказа:"
"Download";"Скачать"
"Download last build";"Скачать последнюю сборку"
"Download latest";"Скачать свежую"
"Download our app previewer";"Загрузите наше приложение предварительного просмотра"
"Download your QRCode";"Скачать QR-код"
"Drop your certificate here";"Оставьте свой сертификат здесь"
"Dynamic: percentage";"Указать: процент"
"E-mail";"E-mail"
"Edit";"Редактировать"
"Edit my";"Редактировать мой"
"Edit place";"Изменение места"
"Edit the application \"%s\"";"Изменение приложения \"%s\""
"Edit the application %s";"Редактирование заявки %s"
"Editor";"Редактор"
"Education";"
Образование"
"Enable Offline content ?";"Подключить автономный режим ?"
"Enable custom SMTP";"Включить пользовательские SMTP"
"Enable search filters:";"Включить фильтры поиска:"
"Enter your AdMob ID for each platform.";"Введите ваш AdMob ID для каждой платформы"
"Enter your Facebook page";"Введи свою страницу на Facebook"
"Entertainment";"Развлечения"
"Event";"Событие"
"Events";"События"
"Export";"Экспорт"
"Export App & Selected features.";"Экспортировать приложение и некоторые функции."
"Export as global Template";"Экспорт в существующий шаблон"
"Export your application to a re-usable template & share it across Apps & Platforms.";"Экспортировать приложения для повторного использования шаблонов и поделиться им через приложения и платформы."
"Extension not allowed, '%s' only";"Расширение не допускается, только '%s'"
"Facebook";"Facebook"
"Facebook API Keys";"Facebook API ключ"
"Facebook API settings";"Параметры API Facebook"
"Feature icons";"Характеристика значков"
"Features";"Функции"
"Features Access Settings";"Настройки доступа к функциям"
"Fetching data from Facebook and creating your features. It can take a while, be patient!";"Извлечение данных из Facebook. Это может занять некоторое время, будьте терпеливы!"
"Fidelity points";"Настройка очков"
"Fidelity points rate";"Точность очков"
"Filter";"Фильтр"
"Finance";"Финансы"
"Fixed: pixels";"Настройка: пикселей"
"Flickr API key";"Ключ API Flickr"
"Flickr API secret";"Flickr API"
"Flickr API settings";"Параметры API фликра"
"Font-size";"Размер шрифта"
"Food & Drink";"Еда и Напитки"
"Form has the following errors";"Форма содержит следующие ошибки"
"Fred W.";"Иванов И.В."
"Free until %s";"Доступно до %s"
"Front";"Фронтально"
"Games";"Игры"
"General Information";"Общая информация"
"General Settings";"Основные настройки"
"General information";"Общая информация"
"Generate";"Сгенерировать"
"Generate APK";"Генерация APK"
"Generate Android APK";"Сгенерировать Android APK"
"Generate analytics for given period";"Создать аналитику за определенный период"
"Generate analytics for the current day";"Генерировать аналитику за текущий день"
"Generate and Publish";"Создать и опубликовать"
"Generate and publish iOS Application";"Создать и опубликовать приложение для iOS"
"Generate builds";"Создать сборки"
"Generate source";"Генерация кода"
"Generate the source code";"Сгенерировать source code"
"Generation cancelled.";"Генерация отменена."
"Generation successfully queued.";"Генерация в очереди."
"Global visits";"Глобальные посещения"
"Go to first images on loop";"Сделать loop на первое изображение"
"Google Maps JavaScript API Key";"Google ключ API для карт"
"Google Play Icon";"Google Play иконка"
"Google's Information";"Информация от Google"
"Header";"Заголовок"
"Health & Fitness";"Здоровье и Фитнес"
"Here is our latest creation. What do you think?";"Вот наше последнее творение. Что вы думаете об этом?"
"Hidden";"Скрытые"
"Hide Android status bar";"Скрыть статус  андроид"
"Hide iOS status bar";"Скрыть строку состояния IOS"
"Homepage preview";"Предпросмотр главной страницы"
"Homepage slider options";"Главная, опции слайдера"
"I don't have a Google developer account and I want to create one";"У меня нет учетной записи разработчика Google, и я хочу её создать."
"I don't have an Apple developer account and I want to create one";"У меня нет учетной записи разработчика Apple, и я хочу её создать."
"I have an Apple developer account";"У меня есть аккаунт разработчика Apple,"
"I have an Google developer account";"У меня есть аккаунт разработчика Google"
"I let you publish my application under your Apple developer account";"Я позволю вам опубликовать мое приложение под Вашей учетной записью разработки Apple"
"I let you publish my application under your Google developer account";"Я позволю вам опубликовать мое приложение под Вашей учетной записью разработчика Google"
"Icon";"Иконка"
"Icons";"Иконки"
"Icons & Images";"Иконки и Изображения"
"Id";"Id"
"If a feature is not listed, it yet can't be exported.";"Если объект не указан, он не может быть экспортирован."
"If you decide to change the slider size, all images will be dropped. Are you sure ?";"Если вы решили изменить размер слайдера, все изображения будут удалены. Вы уверены ?"
"If you validate, your app's colors and background image will be replaced";"Если вы подбираете цвета для приложения и фоновое изображение. Будет заменено."
"If you want to change the push icon, you <b>must re-publish</b> the application";"Если вы хотите изменить иконку , вы  <b>должны переопубликовать<b> приложение"
"If your app is already published on the stores, be sure you have sent an update with the Ionic version, and that this update has already been accepted, otherwise your app may be broken.";"Если ваше приложение уже опубликовано в магазинах, убедитесь, что вы отправили обновление с ионной версией и что это обновление уже принято, иначе ваше приложение может быть сломано"
"If your app is already published, changing the URL key or domain will break it. You will have to republish it. Change it anyway?";"Если ваше приложение уже опубликовано, изменение  URL-адрес или домена будут нарушены. Вам придется переиздавать его. В любом случае его менять?"
"If your app is already published, changing the domain will break it. You will have to republish it. Change it anyway?";"Если ваше приложение уже опубликовано, меняя домен будут проблемы. Вам придется переиздавать его. В любом случае его менять?"
"If your messages do not comply with App Store Review Guidelines, %s, your app might be possibly refused after Apple's review.";"Если Ваши сообщения не соответствуют рекомендации приложение магазина, %s, ваше приложение может быть отклонено после обзора от Apple."
"Image size";"Размер изображения"
"Images";"Изображения"
"Images height";"Высота изображения"
"Import / Export";"Импорт / Экспорт"
"Import an application template or a single feature.";"Импорт шаблона приложения или один объект."
"Import features from Facebook";"Особенности импорта из Facebook"
"Import zip or yml";"Импорт zip или в формате yml"
"Imported features";"Импортированные элементы"
"In case you have a main domain containing numbers you can change here the base for your App identifiers.";"В случае, если у вас основной домен, содержащий числа, вы можете изменить пакет для идентификаторов."
"In order to help you start your application, we can retrieve some data from Facebook.";"Для того, чтобы помочь вам запустить приложения, мы можем извлечь некоторые данные из Facebook."
"In order to insert a promote banner for your application on your site, please follow those steps:";"Для того, чтобы вставить промоут-баннер приложения на ваш сайт, пожалуйста, сделайте следующее:"
"In-App Messages";"In-App Сообщения"
"In-app links";"Cсылки в приложении"
"Info successfully saved";"Информация успешно сохранена"
"Input your SCSS here, save to validate & preview";"Введите свой SCSS код, если сохранится, то значит код верный"
"Insert";"Вставить"
"Insert & close";"Вставить и закрыть"
"Instagram API Keys";"Ключи API Instagram"
"Instagram API settings";"Параметры API Instagram"
"Installed application";"Установленных приложений"
"Installer";"Установщик"
"Integration";"Интеграция"
"Invalid period, end date is before start date.";"Неверный срок, Дата окончания раньше даты начала."
"Invalid version";"Неверная версия"
"Job";"Работа"
"Key Password";"Ключ Пароль"
"Keywords";"ключевые слова"
"Label";"Название"
"Landscape";"Горизонтальное"
"Landscape Left";"Пейзаж Слева"
"Landscape Right";"Пейзаж Справа"
"Language";"Язык"
"Languages";"Языки"
"Last name:";"Фамилия:"
"Latitude";"Широта"
"Layout options";"Параметры макета"
"Left";"Слева"
"Left position";"Позиция - слево"
"Library icons";"Библиотека иконок"
"License key";"Лицензионный ключ"
"Lifestyle";"Стиль жизни"
"Line-height";"Линии-высота"
"List of my applications";"Список моих приложений"
"List of your applications";"Список ваших приложений"
"Loading";"Загрузка"
"Lock the entire application";"Блокировка всего приложения"
"Longitude";"Долгота"
"Loop features";"Характеристики"
"Loop over images";"Просмотр фото"
"Love it <3";"Любовь это <3"
"Lower case";"Снизу"
"LoyaltyCard";"Карта лояльности"
"Main";"Главная"
"Manage Access";"Управление доступом"
"Manage Admins access feature by feature.";"Управление функциями доступа Администратора по функциям."
"Manage Companies";"Управление компанией"
"Manage icons";"Управление иконками"
"Manage your app's features";"Управление функциями приложения"
"Mcommerce";"Коммерция"
"Media";"Медиа"
"Medical";"Медицина"
"Menu-position";"Меню-позиция"
"Message";"Сообщение"
"Message for both the two previous usages.";"Сообщение для двух предыдущих использований."
"Misc";"Разное"
"Missing Information";"Отсутствует информация"
"Missing parameters for cancellation.";"Отсутствуют параметры для его отмены."
"Mobile Source Codes";"Мобильный исходный код"
"Mobile source codes";"Мобильные исходные коды"
"Mobile website information";"Мобильный информационный сайт"
"Monetization";"Монетизация"
"Monetize my app using AdMob?";"Монетизировать мое приложение с помощью AdMob"
"Monetize your app";"Монетизация приложения"
"My Invoices";"Мои счета"
"My QRCode";"Мой QR код"
"My application in figures";"Статистика приложения"
"Name";"Имя"
"Navigation";"Навигация"
"News";"Новости"
"Next";"Далее"
"No";"Нет"
"No Facebook page? You can";"Нет страницы Facebook? Вы можете"
"No account for now.";"Нет аккаунта"
"No data found";"Нет данных"
"No features available for this application.";"Нет доступных функций для этого приложения."
"No message sent, there is no available applications.";"Нет доступных приложений."
"No options available.";"Нет вариантов."
"Not available offline.";"Не работает в offline."
"Note that if you want to add ads later, you will have to publish the app again.";"Обратите внимание, что если вы захотите добавить объявления позже, то вам придется опубликовать приложение снова."
"Nothing to show for now.";"Ничего нет"
"Notification center";"Центр уведомлений"
"Off";"Выключено"
"Offset";"Смещение"
"On!";"Включить!"
"One free coffee";"Один бесплатный кофе"
"Option successfully saved";"Функция успешно сохранена"
"Options";"Опции"
"Options saved";"Настройки сохранены"
"Or go on your store<br />and look for \"Apps Company Previewer\"";"Или зайти в наш магазин <br /> и скачайте \"Apps Company Previewer\""
"Or go on your store<br />and look for 'Apps Company Previewer'";"Или зайдите в свой магазин <br/> и посмотрите 'Apps Company Previewer'"
"Order places";"определение места"
"Order places by distance:";"Поиск места по расстоянию:"
"Order results alphebetically:";"Результаты поиска по алфавиту :"
"Orientations saved!";"Ориентации сохранены!"
"Other";"Другое"
"Package Name";"Имя Пакета"
"Page name:";"Страница:"
"Partially available offline.";"Частично доступны в offline."
"Percentage of returning customers";"Процент возвращающихся клиентов"
"Period to long, please select less than one month.";"Период, пожалуйста, выберите менее одного месяца."
"Permissions Modal Alerts messages describe why your apps requires some permissions,";"Сообщение, почему ваши приложения требует некоторые разрешения"
"Photo & Video";"Фото и видео"
"Places";"Места"
"Please check your messages before sending your app to be published, specifically if you are using iOS Auto publish service: if your app is refused after review, one build will be consumed.";"Пожалуйста, проверьте Ваши сообщения перед отправкой вашего приложения"
"Please enter a correct URL for the %s store";"Пожалуйста, введите правильный URL-адрес для  %s магазина"
"Please enter a number for the duration.";"Пожалуйста, введите кол-во продолжительности."
"Please enter a subdomain.";"Пожалуйста, введите субдомен."
"Please enter a valid URL";"Пожалуйста, введите действительный URL"
"Please enter a valid address";"Пожалуйста, введите действительный адрес"
"Please enter a valid mobile website address.";"Пожалуйста, введите действующий адрес мобильного веб-сайта"
"Please fill iTunes Connect Identifier.";"Заполните, пожалуйста,  iTunes Connect id"
"Please note that AAC+ streams aren't managed yet on Firefox browser, but it will work well in the app.";"Пожалуйста, обратите внимание, что \"AAC+ потоки\" не управляются в Firefox, но это будет хорошо работать в приложении."
"Please select at least one language.";"Пожалуйста, выберите по крайней мере один язык."
"Please wait while we generate application source.";"Пожалуйста подождите пока сгенерируется сборка"
"Port";"Порт"
"Portrait";"Портретное"
"Preset";"Предустановленные"
"Preview";"Предпросмотр"
"Preview and test your native apps directly on your mobile.";"Предварительный просмотр и тест как нативное приложение, непосредственно на вашем мобильном телефоне."
"Preview on your phone";"Просмотр на телефоне"
"Privacy policy URL";"Политика конфиденциальности URL-адрес"
"Proceed to checkout before downloading the source code.";"Оформите заказ перед загрузкой исходного кода."
"Productivity";"Продуктивность"
"Promote";"Промо"
"Promote your app!";"Продвижение вашего приложения!"
"Promotion";"Продвижение"
"Publication";"Публикация"
"Publish automatically to iTunes Connect";"Автоматически публиковать в iTunes Connect"
"Publish the application";"Опубликовать приложение"
"Publish under our account";"Опубликовать под нашим аккаунтом"
"QR Coupons";"QR-Купоны"
"Ready ? Publish my app!";"Нажмите для выбора и оплаты тарифа"
"Recommanded size:";"Рекомендованные размеры:"
"Recommended size:";"Рекомендованный размер:"
"Reference";"Справка"
"Remaining build";"Оставшаяся сборка"
"Remaining builds";"Оставшиеся сборки"
"Remove this page from this folder?";"Удалить эту страницу из этой папки?"
"Reset";"Сброс"
"Return to current feature";"Вернуться к текущей функции"
"Right";"Справо"
"Right position";"Позиция справо"
"Rss";"RSS-канал"
"SMTP Configuration";"Настройки SMTP"
"SSL";"Протокол SSL"
"Save";"Сохранить"
"Save publication settings";"Сохранить настройки публикации"
"Scan this QR Code";"Сканировать этот QR код"
"Scan this QR Code:";"Сканировать этот QR код:"
"Search by keywords ...";"Поиск по ключевым словам ..."
"Search filters & Options";"Поиск, фильтр и опции"
"Search radius";"Радиус поиска"
"Search settings";"Параметры поиска"
"Secondary category";"Вторичная категория"
"Secondary category<br />(Optional)";"Вторичная категория <br /> (Необязательно)"
"Secret Key";"Секретный ключ"
"Send here your iOS certificate to enable the push notifications for this application.";"Загрузите свой сертификат .pem, чтобы отправлять PUSH в IOS в этом приложении."
"Send request";"Отправить запрос"
"Send you .pem certificate";"Отправить Ваш .pem сертификат"
"Sender name/e-mail";"Имя отправителя и адрес электронной почты"
"Sender name/e-mail & Custom SMTP";"Имя отправителя/e-mail и собственный SMTP"
"Server";"Сервер"
"Show";"Показать"
"Show the applications waiting for publication only.";"Показать приложения ожидающих публикации."
"Show\"
Show the applications waiting for publication only.\"";"\"Показать приложения в ожидании публикации\"."
"Sidebar width";"Ширина боковой панели"
"Slider";"Слайдер"
"Slider height";"Высота слайдера"
"Slider images duration, in seconds:";"Slider изображений (продолж., в сек.):"
"Slideshow duration";"Продолжительность слайд-шоу"
"Social";"Социальные"
"Social Networking";"Социальные сети"
"Social Sharing";"В соцсетях"
"Socialgaming";"Социальные"
"Sorry, an error occurred while fetching data from Facebook. Please contact an admin.";"К сожалению, произошла ошибка при получении данных с Facebook. Пожалуйста, свяжитесь с администратором."
"Sorry, it seems that Facebook credentials are invalid. Please contact an administrator.";"К сожалению, похоже, что учетные данные Facebook являются недействительными. Пожалуйста, свяжитесь с администратором."
"Sorry, no data was found for this page. Maybe you used the wrong page id?";"К сожалению, нет данных  на этой странице. Может быть, вы использовали неверный идентификатор страницы?"
"Sorry, we need a page id.";"К сожалению, нам нужен идентификатор страницы."
"Source type";"Тип исходника"
"Source type:";"Тип исходника:"
"Sourcecode";"Исходник"
"Specifies the reason for your app to access the device's accelerometer.";"Указать причину для своего приложения, что бы получить доступ к акселерометру устройства."
"Specifies the reason for your app to access the device's camera.";"Указывает причину для своего приложения получить доступ к камере устройства."
"Specifies the reason for your app to access the user's location information at all times.";"Указывает причину для своего приложения получить доступ к информации о местоположении пользователя в любое время."
"Specifies the reason for your app to access the user's photo library.";"Указывает причину для своего приложения получить доступ к библиотеке фотографий пользователя."
"Specifies the reason for your app to access the user’s location information while your app is in use.";"Указывает причину для своего приложения получить доступ к информации о местоположении пользователя, когда приложение находится в использовании."
"Sports";"Спорт"
"Square icons";"Квадратные иконки"
"Startup image";"Стартовая картинка"
"Status";"Статус"
"Status bar";"Строка состояния"
"Store App ID";"Store App ID"
"Store Password";"Пароль магазина"
"Store URL";"URL Магазина"
"Stores Info";"Информация о магазине"
"Stores URL";"URL Ваших опубликованных приложений"
"Stretch";"Стрейтч"
"Subheader";"Подзаголовок"
"Subtitle:";"Подзаголовок:"
"Success.";"Успешно"
"System";"Система"
"Tabbar";"Вкладка"
"Tags";"Теги"
"Tags separated by commas";"Теги через запятую"
"Template";"Шаблон"
"Template description";"Описание шаблона"
"Template name";"Название шаблона"
"Template preview";"Шаблон предварительный просмотр"
"Template version";"Версия шаблона"
"Terms & Conditions";"Правила и условия"
"The Bundle Id is required";"Необходим Bundle Id"
"The CNAME for the URL \"%s\" is not properly set";"Запись cname для URL \"%s\" не правильно установлена"
"The QR Code is not available at this moment";"QR коды не доступны в данный момент"
"The White-label you are trying to edit doesn't exists.";"White-label не существует."
"The application has been successfully saved";"Приложение было успешно сохранено"
"The application name";"Название приложения"
"The application's name cannot start with a number";"Название приложения не может начинаться с цифр"
"The bundle id";"Bundle id"
"The description";"Описание"
"The description must be at least 200 characters";"Описание должно быть не менее 200 символов"
"The desktop icon";"Иконка на экране"
"The entered bundle id is incorrect, it should be like: com.nwicode.app";"Ваш bundle ID неправильный, он должен быть как: ru.nwicode.app"
"The entered bundle id is incorrect, it should be like: com.nwicodecms.app";"Введенный идентификатор пакета неверен, он должен быть как: com.nwicodecms.app"
"The field is required";"Поле обязательные для заполнения"
"The file has been successfully uploaded";"Файл успешно загружен"
"The following information are needed to download the source codes:<br />";"Следующая информация необходима для загрузки исходных кодов: <br />"
"The homepage image";"Изображение для главной страницы"
"The key cannot be empty.";"Пароль не может быть пустым."
"The key is already used by another application.";"Пароль уже используется другим приложением."
"The keywords";"Ключевые слова"
"The main category";"Основная категория"
"The startup image";"Загрузочная страница"
"This application does not exist";"Это приложение не существует"
"This application is no longer available";"Это приложение временно не доступно"
"This application is visible on the front";"Это приложение отображается во фронтенде"
"This key is already used by system features.";"Этот ключ уже используется системными функциями."
"This option enables you to set the currency used in your app";"Эта опция позволит вам установить, какая валюта используется в вашем приложении"
"This page will be displayed to mobile users to enable them to login and manage their account. It is automatically added when you use features which need user login.";"Эта страница будет отображаться для пользователей мобильных телефонов, чтобы позволить им войти и управлять своим аккаунтом. Она добавляется автоматически, когда вы используете функции, которые нужно активировать для входа пользователя."
"This user can add pages to this application.";"Пользователь сможет добавлять страницы в приложение"
"Tip";"Совет"
"Tips calculator";"Складчина"
"Title";"Название"
"Title case";"Заглавные буквы"
"Title position";"Позиция"
"Titles";"Названия"
"To be able to download source codes, please provide the following information:<br />";"Для того, чтобы загрузить исходные коды, пожалуйста, предоставьте следующую информацию: <br />"
"Top";"Топ"
"Topic";"Тема"
"Translation";"Перевод"
"Transparent";"Прозрачность"
"Travel";"Путешествие"
"Twitter API Keys";"Ключи API Твиттера"
"Twitter API secret";"Пароль от Твиттера"
"Twitter API settings";"Параметры API Твиттера"
"Twitter API token";"Твиттер токен API"
"Twitter consumer key";"Ключ клиента Twitter"
"Twitter consumer secret";"Твиттер секрет"
"Type";"Тип"
"UP";"Вверх"
"URL";"URL"
"URL Key";"URL Ключ"
"Upload icon";"Загрузить иконку"
"Upload image";"Загрузить изображение"
"Upper case";"Сверху"
"Upside Down";"Вверх Ногами"
"Use Owner AdMob";"Использовать наш AdMob"
"Use ads for platform owner";"Использование рекламы для владельца платформы"
