"Delivery fees";"Стоимость доставки"
"Delivery fees:";"Стоимость доставки:"
"Delivery methods";"Способы доставки"
"Delivery methods:";"Способы доставки:"
"Delivery radius";"Радиус доставки"
"Delivery radius:";"Радиус доставки:"
"Delivery time";"Срок доставки в минутах"
"Delivery time:";"Срок доставки:"
"Details";"Детали"
"Discound code";"Код скидки"
"Discount";"Скидка"
"Discount Settings";"Параметры Скидки"
"Discount amount";"Сумма скидки"
"Discount amount si very high";"Скидка суммы очень высокая"
"Discount code";"Код купона"
"Discount code already exists";"Код скидки уже существует"
"Discount code is missing";"Скидка код отсутствует"
"Discount code is missing,";"Скидка код отсутствует"
"Discount label is missing";"Скидка этикетка отсутствует"
"Discount label is missing,";"Скидка этикетка отсутствует,"
"Discount minimum amount is missing";"Скидка минимальная сумма отсутствует"
"Discount minimum amount is missing,";"Скидка минимальная сумма отсутствует"
"Discount no longer available";"Скидка больше не предоставляется"
"Discount only for carts with total more than: ";"Скидка только для суммы больше:"
"Discount settings";"Параметры скидки"
"Discount total";"Общая скидка"
"Discount type";"Тип скидки"
"Discount type is missing";"Тип скидки отсутствует"
"Discount type is missing,";"Тип скидки отсутствует"
"Discount used";"Скидка используется"
"Discount validation date";"Дата проверки скидки"
"Discounted amount is missing";"Дисконтированная сумма отсутствует"
"Discounted amount is missing,";"Дисконтированная сумма отсутствует"
"Discounted amount should be a positive number";"Дисконтированная сумма должна быть положительным числом"
"Do you confirm you want to remove your card?";"Вы подтверждаете, что вы хотите удалить карту?"
"Done";"Готово"
"Duplicate this product";"Дублировать продукт"
"Edit a store";"Редактирование магазина"
"Edit the choice list group";"Редактирование группы список выбора"
"Edit the discount %s";"Редактирование скидки %s"
"Edit the options group %s";"Редактировать группу опций %s"
"Edit the product %s";"Редактировать продукт %s"
"Edit the tax %s";"Редактировать налог %s"
"Enabled";"Включен"
"Error while using your points";"Ошибки при использовании очков"
"Estimated discount:";"Оцененная скидка:"
"First";"Первый"
"First Name";"Имя"
"Firstname";"Имя"
"Format";"Формат"
"Format:";"Формат:"
"Free delivery starting from";"Бесплатная доставка от"
"Free delivery starting from:";"Бесплатная доставка от:"
"Free purchase";"Бесплатные покупки"
"From";"От"
"Gratuity";"Чаевые"
"Guest Order";"Быстрый заказ"
"Here is the detail of the order";"Вот детали заказа"
"Here is the detail of your order";"Вот детали Вашего заказа"
"Hidden";"Скрыть"
"Hours of operation";"с 9:00 до 19:00"
"Hours of operation:";"Часы работы:"
"I will pay";"К оплате"
"In store";"На почте"
"Incl.";"Вкл."
"Invalid code";"Неверный код"
"Invoicing address";"Адрес для выставления счета"
"Keep card information";"Сохранить информацию о карте"
"Label";"Название"
"Last";"Последнее"
"Last Name";"Фамилия"
"Lastname";"Фамилия"
"Loading...";"Загрузка..."
"Login";"Логин"
"MM";"ММ"
"Manage discounts";"Управлять скидками"
"Manage user fields";"Управление пользовательскими полями"
"Mandatory";"Обязательное"
"Meal Voucher";"Купоны"
"Merchant ID";"ID мерчанта"
"Merchant ID:";"ID мерчанта:"
"Minimum amount";"Минимальная сумма"
"Minimum amount should be a positive number";"Минимальная сумма должна быть положительным числом"
"Minimum order";"Минимальный заказ"
"Minimum order:";"Минимальный заказ:"
"My Cart";"Корзина"
"My cart is empty";"Моя корзина пуста"
"My categories";"Мои категории"
"My information";"Моя информация"
"My orders";"Мои заказы"
"My product's categories";"Мои категории"
"My product's list choice options";"Список вариантов продукта выбор"
"My product's options";"Опции для продукта"
"My products";"Мои товары"
"My stores";"Мои магазины"
"My taxes";"Мои налоги"
"Name of the options group:";"Название группы опций:"
"New order from the application";"Новый заказ через мобильное приложение."
"Next";"Далее"
"No data available in table";"Нет данных в таблице"
"No matching records found";"Нет подходящих товаров"
"Notes";"Примечания"
"Number";"номер"
"Offline text";"Текст, показываемый в нерабочее время"
"Option $1 is required.";"Опция $1 обязательна"
"Option name";"Опция"
"Option name:";"Товар:"
"Optional";"Необязательный"
"Options";"Опции"
"Options group successfully deleted";"Группа для Опций успешно удалена"
"Options group successfully saved";"Группа для Опций успешно сохранены"
"Order %s cancelled";"Заказ %s отменен"
"Order Number";"Номер Заказа"
"Order N°";"Заказ N°"
"Order Total";"Итого"
"Order confirm";"Подтверждение заказа"
"Order confirmation";"Подтверждение заказа"
"Order details";"Детали заказа"
"Order history";"История заказов"
"Order successfully cancelled";"Заказ успешно отменен"
"Order successfully saved";"Заказ успешно сохранен"
"Orders";"Заказы"
"Paid";"Оплачен"
"Paid by the client:";"Оплата от клиента:"
"Password";"Пароль"
"Password:";"Пароль:"
"Pay";"Оплатить"
"Payment";"Оплата"
"Payment Method";"Способ Оплаты"
"Payment methods:";"Способы оплаты:"
"Paypal";"PayPal"
"Paypal settings";"Paypal настр.:"
"Pending payment";"Ожидает оплаты"
"Percentage is a least 1%, at max 99%";"Процент не менее 1%, максимум  99%"
"Percentage must be at least 1 percent, at most 99 percent";"Процент должен быть не менее 1%, не больше 99 процентов"
"Permit unregistered user to make order?";"Разрешить незарегистрированному пользователю сделать заказ?"
"Phone";"Телефон"
"Phone number";"Номер телефона"
"Picture";"Фото"
"Please choose a delivery method";"Пожалуйста, выберите способ доставки"
"Please choose a payment method";"Пожалуйста, выберите способ оплаты"
"Please fill in your card information to process Credit card payment:";"Заполните, пожалуйста, данные вашей карты, чтобы обработать платеж:"
"Please, enter an email address for the store %s";"Пожалуйста, введите адрес электронной почты для магазина %s"
"Points";"Очки"
"Points available:";"Доступные пункты:"
"Postcode";"Почтовый индекс"
"Previous";"Предыдущие"
"Price";"Цена"
"Price:";"Цена:"
"Price: %s";"Цена: %s"
"Prices";"Цены"
"Printer successfully saved";"Принтер успешно сохранен"
"Proceed";"Далее"
"Processing...";"Processing..."
"Product";"Товар"
"Product SKU:";"Артикул:"
"Product formats";"Форматы продукта"
"Product model:";"Модель:"
"Product name";"Название товара"
"Product name:";"Название товара:"
"Product successfully duplicated";"Товар успешно дублирован"
"Product successfully saved";"Товар успешно сохранен"
"Publishable Key";"Публичный Ключ"
"Publishable Key:";"Публичный Ключ:"
"Qty";"кол-во"
"Qty: %s";"Кол-во: %s"
"Quantity:";"Количество:"
"Radius in Km";"Радиус в км"
"Remaining amount due";"Остаться должно количество"
"Remaining due";"Оставшаяся задолженность"
"Remove card";"Удалить карту"
"Return URL:";"Return URL:"
"Review";"Обзор"
"Row";"Строка"
"Search:";"Поиск::"
"Secret Key";"Секретный Ключ"
"Secret Key:";"Секретный Ключ:"
"Settings";"Настройки"
"Settings successfully saved";"Настройки сохранены"
"Show _MENU_ entries";"Показать _MENU_ товары"
"Show category info";"Показывать описание к текущей категории"
"Show if the quantity is less than zero";"Показывать товар, даже если его количество меньше нуля"
"Show search fields on product list ?";"Показать поля поиска в списке продукции?"
"Showing 0 to 0 of 0 entries";"Показать 0 до 0 из 0 товаров"
"Showing _START_ to _END_ of _TOTAL_ entries";"Показать _START_ до _END_ из_TOTAL_ товаров"
"Signature";"Signature PayPal"
"Signature:";"Подпись Signature:"
"Signup";"Регистрация"
"Some mandatory fields are empty.";"Некоторые обязательные поля пусты."
"Sorry we can't proceed to deliver your order. It has been canceled.";"К сожалению, мы не сможем доставить ваш заказ. Он был отменен."
"Sort order:";"Сортировка:"
"Status";"Статус"
"Sticker name";"Название стикера"
"Sticker text";"Текст на стикере"
"Stickers settings";"Настройки стикеров"
"Stiker";"Стикер"
"Stikers";"Стикеры на товаре"
"Store choice";"Выбор магазина"
"Store information";"Информация о магазине"
"Store name";"Название магазина"
"Store name:";"Название магазина:"
"Store successfully deleted";"Магазин успешно удален"
"Store successfully saved";"Магазин успешно сохранен"
"Stored card information.";"Сохраненные данные карты."
"Stores";"Магазины"
"Street";"Улица"
"Stripe settings";"Stripe настройки"
"Subtotal";"Подитог"
"Subtotal Excl. Tax";"Итого без налога"
"Subtotal before deduction";"Итого до вычета"
"Tax";"Налог"
"Tax name";"Название налога"
"Tax name:";"Название налога:"
"Tax rate";"Ставка налога"
"Tax rate:";"Ставка налога:"
"Tax successfully deleted";"Налог успешно удален"
"Tax successfully saved";"Налог успешно сохранен"
"Tax:";"Налог:"
"Text color";"Цвет текста"
"Thank you!";"Спасибо!"
"The clients calculate the change:";"Перерасчет изменений у клиентов:"
"The delivery method";"Способ доставки"
"The following options are required:<br />%s";"Требуются следующие опции:<br />%s"
"The option %s is required";"Требуется вариант опции %s"
"The payment has been cancelled, something wrong happened? Feel free to contact us";"Оплата была отменена, наверное что то случилось? Не стесняйтесь обращаться к нам."
"The payment method";"Способ оплаты"
"Time in minutes";"Время в минутах"
"Tip";"Тип"
"Total";"Итого"
"Total Excl. Tax";"Итог без налога"
"Total Tax";"Общий налог"
"Total:";"Итого:"
"Total: %s";"Итого:"
"Unable to proceed to checkout the minimum order amount is %s";"Невозможно приступить к оформлению заказа, так как минимальная сумма заказа от %s"
"Unit Price";"Цена за ед."
"Unit price";"Цена за ед."
"Updating price";"Обновление цен"
"Usable once";"Можно использовать один раз"
"Use categories";"Использовать категории"
"Use my points?";"Использовать мои очки?"
"Use quantity";"Использовать количество товара"
"Use:";"Использование:"
"Username";"Username"
"Username:";"Username PayPal:"
"Validity date";"Срок действия"
"Validity date should be a valid date";"Срок действия должен быть действителен"
"Verify Key";"Ключ верификации"
"Verify Key:";"Verify Key:"
"Waiting for payment";"Ожидает оплаты"
"We apologize but the payment method %s is currently not available";"Мы приносим свои извинения, но способ оплаты %s в настоящее время не доступен"
"We thank you for your order. A confirmation email has been sent";"Мы благодарим Вас за Ваш заказ. Мы отправили подтверждение по электронной почте."
"Working hours";"Режим работы магазина"
"Working hours period";"Часы работы магазина"
"YYYY";"ГГГГ"
"You did not login.";"Вы не заходили."
"You don't have any categories yet";"У Вас пока нет категорий"
"You don't have enough points";"Вам не хватает очков"
"You have a connected printer? Enter the email address";"У вас есть подключенный принтер? Введите адрес электронной почты<br>Если принтер не настроен, то счет придет на указанную почту"
"You have a connected printer? Enter the email address for each store";"У вас есть подключенный принтер? Введите адрес электронной почты для каждого магазина<br>Если принтер не настроен, то счет придет на указанную почту"
"You have to choose a delivery method.";"Вы должны выбрать способ доставки."
"You must be logged in to continue";"Зарегистрируйтесь пожалуйста"
"You used the code before";"Вы использовали код, прежде чем"
"Your address";"Ваш адрес"
"Your email address";"Ваш email"
"Your firstname";"Ваше имя"
"Your lastname";"Ваша фамилия"
"Your phone number";"Ваш номер телефона"
"e.g., Sauces";"например: Цвета, или с соусом. и тд."
"without taxes";"без налога"
"your choice";"ваш заказ"
