"Category successfully deleted.";"Категория успешно удалена."
"Choose Category";"Выбрать категорию"
"Choose Location";"Выбрать Место"
"Choose Provider";"Выбрать специалиста"
"Choose Service";"Выбрать сервис"
"Choose a Date and Time";"Выберите дату и время"
"Choose a Date and Time(GMT)";"Выберите дату и время (мск)"
"Client";"Клиент"
"Comments:";"Комментарии:"
"Completed";"Завершен"
"Confirm";"Подтвердить"
"Confirm cancel";"Подтвердить отмену"
"Confirm your information";"подтвердить вашу информацию"
"Confirmation";"Подтверждение"
"Confirmation & Cancellation Emails";"Подтверждение и отмена Emails"
"Confirmation Email";"Подтверждение по email"
"Cover Image";"Обложка"
"Cover image";"Обложка"
"Create a new category";"Создать новую категорию"
"Create a new location";"Создать новое место"
"Create a new provider";"Добавить нового специалиста"
"Create a new service";"Создать новый сервис"
"Customer";"клиент"
"Customer registered successfully";"Клиент успешно зарегистрирован"
"Customer successfully deleted.";"Пользователь успешно удален."
"Date";"Дата"
"Date & Time";"Дата И Время"
"Date Format";"Формат Даты"
"Date breaks";"Время перерывов"
"Day breaks";"День"
"Days";"Дней"
"Dec";"Декабрь"
"December";"Декабрь"
"Default location";"Расположение по умолчанию"
"Delete";"Удалить"
"Design";"Дизайн"
"Done";"Закрыть"
"Duration";"Продолжительность"
"Edit - ";"Редактирование - "
"Edit the options";"редактирование вариантов"
"Edit timings";"Редактировать время"
"Email";"Email"
"Email Address";"Email"
"End Time";"Время Окончания"
"End Time:";"Время окончания:"
"End time";"Время Окончания"
"Enter Your Email";"Введите Ваш Email"
"Enter Your Name";"Введите Ваше Имя"
"Enter Your Number!";"Введите свой номер!"
"Evening";"Вечером"
"Feb";"Февраль"
"February";"Февраль"
"First";"Первый"
"First name";"Имя"
"Fri";"Пт"
"Friday";"В пятницу"
"Hello";"Здравствуйте"
"Info";"Информация"
"Integrations";"Интеграция"
"Internal Notes:";"Примечания:"
"Jan";"Январь"
"January";"Январь"
"Jul";"Июль"
"July";"Июль"
"Jun";"Июнь"
"June";"Июнь"
"Last";"Последние"
"Last name";"Фамилия"
"Load Calendar";"Календарь записи"
"Load calendar";"Календарь записей"
"Location";"Место"
"Locations";"Места"
"MANAGE CATEGORIES";"УПРАВЛЕНИЕ КАТЕГОРИЯМИ"
"MANAGE LOCATIONS";"УПРАВЛЕНИЕ РАСПОЛОЖЕНИЯМИ"
"MANAGE PROVIDERS";"УПРАВЛЕНИЕ МАСТЕРАМИ"
"MANAGE SERVICES";"УПРАВЛЕНИЕ СЛУЖБАМИ"
"Manage categories";"Управление категориями"
"Manage locations";"Управление местами"
"Manage providers";"Управление специалистами"
"Manage services";"Управление сервисами"
"Mar";"Март"
"March";"Март"
"May";"Май"
"Min";"Мин"
"Miss";"Жен"
"Mobile";"Мобильный"
"Mobile Number";"Номер Мобильного Телефона"
"Mon";"Пн"
"Monday";"В понедельник"
"Morning";"Утром"
"Mr";"Муж."
"Mrs";"Девушка"
"NO";"Нет"
"Name";"Имя"
"New Calendar Event";"Новая запись"
"Next";"Далее"
"No appointments booked!";"Никаких услуг не забронировано!"
"No data available in table";"Нет данных в таблице"
"No matching records found";"Нет подходящих записей"
"No recods founds!";"Нет записей!"
"No service available";"Услуга не доступна"
"Not a valid email!";"Не действительный email!"
"Note:";"Примечание:"
"Notification";"Уведомление"
"Notification Icon";"Иконка уведомления"
"Notification Time not present";"Время - уведомления нет"
"Notification icon";"Иконка уведомления"
"Nov";"Ноябрь"
"November";"Ноябрь"
"OK";"Ок"
"Oct";"Октябрь"
"October";"Октябрь"
"Operation performed successfully";"Операция успешно выполнена"
"Options";"Варианты"
"Password";"Пароль"
"Phone No.";"Телефон"
"Phone No:";"Телефон:"
"Phone no not less that 10 char.";"Телефон не менее 10 знаков."
"Phone no not more than 12 char.";"Телефон не более 11зн."
"Please accept this friendly reminder for your appointment";"Пожалуйста, примите это напоминание о встрече"
"Please enter a valid email address";"Пожалуйста, введите email"
"Please enter valid number";"Пожалуйста, введите действительный номер"
"Please fill in the following fields:";"Пожалуйста, заполните следующие поля:"
"Please read our cancellation policy";"Пожалуйста, прочитайте нашу политику отмены"
"Please select a location";"Пожалуйста, выберите место"
"Please select a provider";"Пожалуйста, выберите специалиста"
"Please select provider";"Пожалуйста, выберите мастера"
"Please select service";"Пожалуйста, выберите услугу"
"Please select user";"Пожалуйста, выберите клиента"
"Previous";"Предыдущие"
"Price";"Цена"
"Price Hide";"Скрыть цену"
"Profile Image";"Изображение Профиля"
"Provider";"Специалист"
"Provider Name";"Имя специалиста"
"Provider Timing successfully deleted.";"Время мастера успешно удалено."
"Provider successfully deleted.";"Мастер успешно удален."
"Providers";"Мастера"
"Regards";"С Уважением"
"Reminder Email";"Напоминание по email"
"Request date have no availability!";"Дата запроса закрыта!"
"Required fields";"Обязательные поля"
"Required!";"Обязательно!"
"Sat";"Сб"
"Saturday";"В субботу"
"Save";"Сохранить"
"Search ...";"Поиск ..."
"Search:";"Поиск:"
"Select Day";"Выберите День"
"Select End Time";"Выберите время окончания"
"Select Provider";"Выберите специалиста"
"Select Start Time";"Выберите время начала"
"Select a location";"Выберите место"
"Select a provider";"Выберите специалиста"
"Select day";"Выберите День"
"Sep";"Сентябрь"
"September";"Сентябрь"
"Service";"Услуги"
"Service Location successfully deleted.";"Место сервиса успешно удалено."
"Service Name";"Наименование услуги"
"Service Provider Timing successfully deleted.";"Мастер - услуги, сроки успешно удалены."
"Service Time";"Время на услугу"
"Service Time (min)";"Время обслуживания (мин)"
"Service Time(Min)";"Время Обслуживания(Мин)"
"Service successfully deleted.";"Сервис успешно удален."
"Service time";"Время услуги"
"Service:";"Услуги:"
"Services";"Услуги"
"Set Your Bussiness Hours";"Установите Ваши Часы работы"
"Settings";"Параметры"
"Showing";"Показывая"
"Showing _START_ to _END_ of _TOTAL_ entries";"Показаны с _start по _END_ из _total записей"
"Something went wrong";"Что-то пошло не так"
"Sorry you are not allowed to access the page!";"К сожалению вам не разрешен доступ к странице!"
"Start Time";"Время Начала"
"Start Time:";"Время Начала:"
"Start time";"Время Начала"
"Status";"Статус"
"Store";"Сервис"
"Store Owner";"Владелец сервиса"
"Store Owner E-mail";"Владельцу сервиса по email"
"Submit";"Сохранить"
"Sun";"Вс"
"Sunday";"В воскресенье"
"Telephone Number";"Телефонный Номер"
"Tell us your name";"Скажи нам свое имя"
"Thank You";"Спасибо"
"Thank You!";"Спасибо!"
"The Appointment you are trying to edit doesn't exists.";"Бронирование, которое вы пытаетесь изменить, не существует."
"The Category you are trying to edit doesn't exists.";"Категории, которые вы пытаетесь изменить, не существуют."
"The Customer you are trying to edit doesn't exists.";"Клиент, которого вы пытаетесь изменить, не существует."
"The Location you are trying to edit doesn't exists.";"Место, которые вы пытаетесь изменить, не существует."
"The Provider Timing you are trying to edit doesn't exists.";"Тайминг сервиса, который вы пытаетесь изменить, не существует."
"The Provider you are trying to edit doesn't exists.";"Мастера, которого вы пытаетесь изменить, не существует."
"The Service Location you are trying to edit doesn't exists.";"Место сервиса, которое Вы пытаетесь изменить, не существует."
"The Service you are trying to edit doesn't exists.";"Сервис, который Вы пытаетесь изменить, не существует."
"The date you are looking for is invalid!";"Дата, которую вы ищете, является занятой!"
"The following booking has been cancelled";"Следующий заказ был отменен"
"The following booking has been made";"Было сделано следующее бронирование"
"The requested date has no availability!";"Запрошенные даты уже заняты!"
"There was an error while processing the request please try again later!";"Произошла ошибка при обработке запроса, пожалуйста, попробуйте снова позже!"
"This category belongs to existing services, please remove them first.";"Эта категория принадлежит для существующих услуг, пожалуйста, удалите их в первую очередь."
"This location belongs to existing services, please remove them first.";"Это место закреплено за услугами, пожалуйста, удалите их в первую очередь."
"This message was sent to";"Это сообщение было отправлено"
"Thu";"Чт"
"Thursday";"В четверг"
"Time";"Время"
"Time Format";"Формат Времени"
"Time before appointment:";"Время до назначения:"
"Timings";"Время"
"Title";"Обращаться"
"Today";"сегодня"
"Tue";"Вт"
"Tuesday";"Во вторник"
"Upload file";"Загрузить файл"
"View Booked Appointments";"Мои записи"
"View booked appointments";"Информация о записях"
"Void";"Нету"
"We are sorry but the %s account is already linked to one of our customers";"Нам очень жаль, но на %s учетная запись уже связана с одним из наших клиентов"
"Wed";"Ср"
"Wednesday";"В среду"
"Working";"Рабочая"
"YES";"Да"
"You'll be notified 1 day before the appointment.";"Вы будете уведомлены за 1 день до начало."
"You'll be notified 1 week before the appointment.";"Вы будете уведомлены за 1 неделю до начало."
"You'll be notified 1hr before the appointment.";"Вы будете уведомлены, за 1 час до встречи."
"You'll be notified 2hr before the appointment.";"Вы будете уведомлены за 2ч до начало."
"You'll be notified 30 min before the appointment.";"Вы будете уведомлены за 30 минут до начало."
"Your Information";"Ваша информация"
"Your booking with %s has been cancelled";"Бронь с %s был отменен"
"Your booking with %s!";"Бронь с %s!"
"confirm ";"подтвердить "
"confirm your information";"подтвердить вашу информацию"
"edit the options";"редактирование вариантов"
"entries";"записи"
"min";"Мин"
"mobile_number";"номер телефона"
"of";"из"
"the email address";"email"
"the first name";"первое имя"
"the gender";"пол"
"the last name";"фамилия"
"the password";"пароль"
"to";"для"
"today";"сегодня"
"with";"у"
