"%s / Month";"%s / Месяц"
"Android base Package Name must contain only letters, dots & minus with at least two dots.<br />Example: com.mydomain.admin";"Название пакета для Android должен содержать только буквы, точки и минуса как минимум с двух точек.<br />Example: com.mydomain.admin"
"Android base Package Name must contain only letters, dots & minus.";"Название пакета для Android должно содержать только буквы, точки и знаки."
"Android only";"Только Android"
"Answers";"Ответы"
"App";"Приложение"
"App analytics";"App Аналитика"
"App id";"Идентификатор приложения"
"Appearance";"Внешность"
"Apple Development teams";"Группы разработчиков Apple"
"Application";"Приложение"
"Application Name";"Название App"
"Application base Bundle ID (iOS)";"Основание применения идентификатора пакета (иос)"
"Application base Package Name (Android)";"База приложения имя пакета (Android)"
"Applications";"Приложения"
"Are you sure you want to delete this admin?";"Вы уверены, что хотите удалить администратора?"
"Are you sure you want to delete this element?";"Вы уверены, что хотите удалить этот элемент?"
"Are you sure you want to delete this invoice?";"Вы уверены, что хотите удалить этот счет?"
"Are you sure you want to delete this subscription?";"Вы уверены, что хотите удалить эту подписку?"
"Are you sure you want to remove this account?";"Вы уверены, что хотите удалить этот аккаунт?"
"Artist";"Художник"
"At least one <b>published</b> application is required in order to use global push notifications.";"Нужно минимум одно <b>опубликованное</b> приложение, для того, чтобы использовать глобальные push-уведомления."
"At least, 1 page in the application";"По крайней мере, 1 страница в заявке"
"Attachment";"Вложение"
"Audio";"Аудио"
"Authentication failed";"Ошибка аутентификации"
"Authentication failed. Please check your email and/or your password";"Ошибка аутентификации. Пожалуйста, проверьте свою электронную почту или пароль"
"Authentication failed. Please, check the username and/or the password";"Ошибка аутентификации. Пожалуйста, проверьте имя пользователя или пароль"
"Autocomplete & Suggestions ...";"Автозаполнение И Предложения ..."
"Average cart";"Средняя покупка"
"Average for active users";"Средник активных пользователей"
"Average for all users";"Среднее для всех пользователей"
"Back";"Назад"
"Back button icon";"Значок кнопки \"Назад\" "
"Background";"Фон"
"Background (landscape)";"Фон (пейзаж)"
"Background (portrait)";"Фон (портрет)"
"Backoffice";"Офис"
"Bad settings can break your APK Generator, leave empty to use defaults.";"Плохие настройки могут привести к повреждению вашего APK-генератора, оставьте пустым, чтобы использовать настройки по умолчанию."
"Banner";"Баннер"
"Banner & Interstitial";"Баннер И Интерстициальные"
"Be careful you are working in";"Будьте осторожны, вы работаете в"
"Before you can send push notification, you must have at least one of iOS or Android application in a published state.";"Прежде чем вы сможете отправлять push-уведомления, вы должны иметь по крайней мере один из iOS или Android приложение в опубликованном состоянии."
"Booking";"Бронирование"
"Booking details";"Детали бронирования"
"Booking::findAction An unknown error occurred, please try again later.";"Бронирование::findAction неизвестная ошибка, пожалуйста, повторите попытку позже."
"Bottom";"Снизу"
"Browse";"Обзор"
"Button";"Кнопка"
"Button assertive";"Кнопка подтверждения"
"Button balanced";"Кнопка balanced"
"Button calm";"Кнопка спокойно"
"Button dark";"Темная кнопка"
"Button energized";"Кнопка"
"Button light";"Кнопка светлая"
"Button positive";"Положительная кнопка"
"Button royal";"Кнопки"
"By checking this, a search field will appear in your folder feature";"По проверке этого, появится окно поиска, в папку "
"By default, popups steps try to use a smart placement. You can force this placement if needed.";"По умолчанию всплывающие окна, шаги старайтесь использовать смарт-размещения. Вы можете выключить это размещение, если необходимо."
"Cache";"Кэш"
"Calendar";"Календарь"
"Callback URIs";"Обратный URIs"
"Can only be used once";"Это предложение может быть использовано только один раз."
"Cancel";"Сброс"
"Card";"Карточка товара"
"Card Item";"Элементы корзины"
"Careful, someone else is working on this application.";"Не стесняйтесь задавать нам вопросы, мы поможем!"
"Cart";"Корзина"
"Catalog";"Каталог"
"Certificate is valid and SSL is reachable, valid until: %s.<br />Issuer: %s%s";"Сертификат является действительным и SSL можно, действует до: %s.<br />Issuer: %s%s"
"Change password";"Сменить пароль"
"Change your<br /><span class='bold'>picture</span>";"Сменить<br /><span class='bold'>картинку</span>"
"Changing the Application icon requires a rebuild / republication.";"Изменение иконки приложений требует перестроения и републикация."
"Changing this option requires you to republish your iOS application.";"Изменение этой опции требует от вас, чтобы опубликовать приложение для iOS."
"Checkbox";"Чекбокс"
"Checkbox off";"Чекбокс OFF"
"Checkbox on";"Чекбокс ON"
"Checking Permissions";"Проверка Разрешений"
"Choose a file to import:";"Выбрать файл для импорта:"
"Choose an object to import:";"Выбирите объект для импорта:"
"City";"Город"
"City:";"Город:"
"ClamAV is an optional anti-virus, you can enable it up below.";"ClamAV является дополнительным антивирусом, вы можете включить его ниже."
"ClamAV settings";"Настройки ClamAV"
"ClamAV settings have been saved.";"Настройки ClamAV сохранены."
"Click here to log-in";"Жми, чтобы войти"
"Click here to open the application";"Щелкните здесь, чтобы открыть приложения"
"Click on";"Нажмите на"
"Click on a feature to add it to the folder";"Нажмите на функцию, чтобы добавить его в папку"
"Click on a feature to add it to the folder %s";"Нажмите на функцию, чтобы добавить его в папку %s"
"Click to import your file";"Выбирите файл для импорта"
"Close";"Закрыть"
"Close mobile display";"Закрыть мобильный дисплей"
"CloudFlare is not supported, please use a CNAME.";"Cloudflare  не поддерживается, пожалуйста, используйте запись cname."
"CloudFlare is not supported, you must use a CNAME targeting your main domain.";"Компания cloudflare не поддерживается, вы должны использовать запись cname таргетинга вашего основного домена."
"Codescan";"codescan"
"Comment";"Комментарий"
"Comments";"Комментарии"
"Commerce";"Коммерция"
"Communication";"Связи"
"Company";"Компания"
"Coms";"Система связи"
"Conditions";"Условия"
"Configuration partially saved";"Конфигурация частично сохранены"
"Confirm";"Подтвердить"
"Confirm Password";"Подтвердите пароль"
"Confirm new password";"Подтвердите новый пароль"
"Confirmation";"Подтверждение"
"Confirmation required";"Подтверждение требуется"
"Connection type";"Тип соединения"
"Contact";"Контакт"
"Contact successfully added to your address book";"Обратный адрес успешно добавлен в вашу адресную книгу"
"Contact us";"Контакты"
"Contest";"Рейтинги"
"Coordinates";"Координаты"
"Copy";"Copy"
"Copying";"Копирование"
"Core";"Основной"
"Country";"Страна"
"Country:";"Страна:"
"Cover";"Обложка"
"Create";"Создать"
"Create / Edit a User";"Создавать / редактировать пользователей"
"Create a new account";"Создать новый аккаунт"
"Create an account";"Создать аккаунт"
"Created at";"Создано в"
"Created at:";"Создано с:"
"Creator Email";"Электронной Почты Творца "
"Currency";"Валюта"
"Current load is";"Текущая нагрузка"
"Current password";"Текущий пароль"
"Current status is";"Текущее состояние"
"Custom Page";"Своя страница"
"Customization";"Кастомизация"
"Customization mode activated";"Режим Настройки активен"
"Customize your app's colors";"Настройка цветовой схемы приложения"
"DEFAULT";"По умолчанию"
"DELETE";"Удалить"
"Dashboard";"Консоль"
"Data saved successfully.";"Данные успешно сохранены."
"Date";"Дата"
"Date and time";"Дата и время"
"Date of birth";"Дата рождения"
"Date of birth:";"Дата рождения:"
"Deactivate";"Отключить"
"Debug";"Отлаживать"
"Debug output";"Отладочный вывод "
"Default Languages";"Язык по умолчанию"
"Default role for all new users";"Роль по умолчанию для всех новых пользователей"
"Default search distance";"Расстояние по умолчанию поиск"
"Delete";"Удалить"
"Delete a feature";"Удаление объекта"
"Delete the Application";"Удалить приложение"
"Delete this folder and all its subfolders?";"Удалить эту папку и все ее подпапки?"
"Delivered";"Доставили"
"Delivery Cost";"Стоимость Доставки "
"Delivery method";"Способ доставки "
"Description";"Описание"
"Description:";"Описание:"
"Details";"Детали"
"Development";"Разработчик"
"Dialog";"Диалог"
"Dialog background";"Диалоговое окно фон"
"Dialog button";"Кнопки диалогового окна"
"Dialog text";"Диалоговое окно текст"
"Discount";"Скидка"
"Discounts";"Скидки"
"Display pictogram instead of image in map";"Дисплей пиктограммы вместо изображения на карте"
"Distance unit";"Расстояние"
"Do not export";"Не экспортировать"
"Do you want to download all the contents now to access it when offline? If you do, we recommend you to use a WiFi connection.";"Хотите загрузить весь контент приложения, для дальнейшего доступа к нему в режиме offline? Для этого рекомендуется подключение Wi-Fi."
"Do you want to return to the homepage?";"Вы хотите вернуться на главную страницу?"
"Don't close the app while downloading. This may take a while.";"Не закрывайте приложение при загрузке. Это может занять некоторое время."
"Done";"Закрыть"
"Download APK";"Скачать APK"
"Download a copy of my data";"Скачать копию моих данных"
"Download as zip";"Скачать как zip"
"Download complete list for this metric";"Скачать полный список метрики"
"Download current search as CSV";"Загрузить текущий поиск в формате CSV"
"Download file is not available in DEMO mode.";"Файл не доступен для скачивания в ДЭМО-режиме"
"Download latest APK";"Скачать последнюю apk"
"Download latest sources";"Скачать последнюю источники"
"Download list of user who used this discount";"Скачать список пользователей Дисконт. сист."
"Download list of user who used this loyalty card";"Скачать список тех, кто пользуется картами лояльности"
"Download list of user who used this scratch card";"Скачать список пользователей, которые использовали эту скретч-карту"
"Download only winner list for this scratch card";"Скачать только список победителей скретч-карты"
"Download the APK";"Скачать APK"
"Download the Source code";"Скачать исходный код"
"Downloading...";"Загрузка..."
"Drop your json here";"Уроните свой JSON здесь"
"EDIT";"Редактировать"
"Edit";"Редактировать"
"Edit an invoice for this plan";"Редактировать счет-фактуру этого тарифа"
"Edit folder";"Изменить папку "
"Edit step for this element";"Редактировать шаг для этого элемента"
"Editing";"Редактирование"
"Editor";"Редактор"
"Editor note: A user with a given role can only assign Self role (if the role is SELF-ASSIGNABLE) & Child roles.";"Примечание редактора. Пользователь с заданной ролью может назначать только роль Self (если роль принадлежит SELF-ASSIGNABLE) и дочерние роли."
"Editor note: A user with a given role can only assign self & child roles.";"Редактор Примечание: пользователь с данной ролью может назначить только самооценки и роли ребенка."
"Element n°";"Элемент N°"
"Email";"Email"
"Email address";"Адрес Email"
"Email:";"Email:"
"Enable search in folders";"Включить поиск в папках"
"Enable test API ?";"Включить тест API ?"
"End at";"Окончание действия"
"End tour";"Конец тура"
"Enter your twitter handle";"Введите ваше имя пользователя в Twitter"
"Error";"Ошибка"
"Error : <br/>";"Ошибка: <br/>"
"Error on import configuration.";"Ошибка импорта."
"Errors : <br/>";"Ошибки: <br/>"
"European <b>General Data Protection Regulation (GDPR)</b>";"Европейское <b>Общее Регулирование Защиты Данных (GDPR)</b>"
"Event";"Событие"
"Events";"События"
"Export / Import";"Экспорт / Импорт"
"Export / Import of features is currently in beta and available only with some features.";"Экспорт / Импорт функций в настоящее время находится в стадии бета-тестирования и доступен только с некоторыми функциями."
"Export your customers";"Экспорт клиентов"
"Extension";"Расширение"
"Extension %s is strictly forbidden.";"Расширение %s строго запрещено."
"Extension can't be empty.";"Расширение не может быть пустым."
"Extension not allowed, '%s' only";"Расширение не допускается, '%s' только"
"Extension: txt, png, jpeg, avi, etc...";"Расширение: txt, png, jpeg, avi и т.д."
"Facebook";"Facebook"
"Fan Wall";"Стена"
"Fanwall";"Стена"
"Feature Analytics";"Характеристика и аналитика"
"Feature Top 5 visits";"Топ-5 посещений"
"Feature settings";"Настройка характеристик"
"Features";"Функции"
"Filter metrics";"Фильтр метрики"
"Firewall";"Брандмауэр"
"First Name";"Ваше Имя"
"First name";"Ваше Имя"
"First name / Last name";"Имя / Фамилия / Отчество"
"Firstname";"Имя"
"Firstname:";"Ваше Имя:"
"Folder";"Папка"
"Folder title is required";"Требуется название папки"
"Folders";"Папки"
"Folders (v2)";"Папки (В2)"
"Forbidden image format";"Запретный формат изображения "
"Force request & Upload to panel";"Запрос и загрузки из панели"
"Forgot your password ?";"Забыли пароль?"
"Forgot your password?";"Напомнить пароль?"
"Forgot your password? Don't worry! Simply enter your email address and we'll send you a new one right now.";"Забыли пароль? Не волнуйтесь! Просто введите свой адрес электронной почты, и мы вышлем вам новый прямо сейчас."
"Form";"Форма"
"Form has the following errors";"Форма содержит следующие ошибки"
"Free until";"Бесплатно до"
"From";"от"
"From:";"От:"
"Front";"Фронт"
"GCM settings saved.";"Настройки GCM сохранены."
"GRADLE extended options";"Расширенные опции GRADLE"
"General";"Основная"
"Generate";"Создать"
"Generate an invoice for this offline plan by using the form below.";"Создать счет-фактуру на данную автономного плана, используя форму ниже."
"Generate build";"Сгенерировать"
"Generate sources";"Генерировать исходники"
"Global push";"Глобальная отправка"
"Global push notifications";"Глобальные push-уведомления"
"Go back";"Вернуться"
"Google Maps settings";"Настройки Google Карты "
"Hello,";"Здравствуйте,"
"Here is your new password:";"Вот ваш новый пароль:"
"Hi. I just found: $1 in the $2 app.";"Смотри что я нашел: $1 в $2 ."
"Hide";"Скрыть"
"Hide iOS status bar";"Скрыть строку состояния в iOS "
"Hint";"Подсказка"
"Home";"Главная"
"Homepage";"Менюшка"
"Host";"Хозяин"
"Hostnames associated with this Certificate";"Имена, связанные с этим сертификатом"
"How do you want to access the backoffice if you remove the only user remaining?";"Как вы хотите получить доступ к бэк-офис, нужно чтобы остался хотя бы один пользователь?"
"I'm listening to $1 from $2 on $3 app.";"Я слушаю $1 из $2 в приложении $3 ."
"I'm listening to $1 on $2 app.";"Я слушаю $1 в $2"
"ID";"ID"
"IP, example: 127.0.0.1";"IP, например: 127.0.0.1"
"IP:Port";"IP:Порт"
"Icons size";"Размер иконки "
"If user doesn't use AdMob, split revenue will default to 100.";"Если пользователь не используют admob, распределение дохода по умолчанию 100."
"Image";"Фото"
"Image not high enough, %spx minimum allowed.";"Изображение не достаточно хорошего качества, %spx минимально допустимое."
"Image not large enough, %spx minimum allowed.";"Изображение не достаточно большое %spx минимально допустимое."
"Image not large enough, '%s' allowed.";"Изображение не достаточно большое, '%s' допускается."
"Image successfully saved";"Образ успешно сохранен"
"Image too high, %spx maximum allowed.";"Изображение слишком большое, %spx максимально допустимое."
"Image too large, %spx maximum allowed.";"Снимок слишком большой, %spx  максимально допустимое значение."
"Image too large, '%s' allowed.";"Снимок слишком большой, '%s' допускается."
"Images";"Фото"
"Images opacity";"Прозрачность изображений"
"Import";"Импорт"
"Import a background image";"Импорт фонового изображения"
"Import a cover image";"Импортировать изображение обложки"
"Import a single feature.";"Импортируйте одну функцию."
"Import a thumbnail";"Импорт миниатюры"
"Import a thumbnail image";"Импорт эскиз"
"Import yml";"Импорт yml"
"In order to fully enjoy our features, we encourage you to use at least:.<br />";"Для того, чтобы в полной мере насладиться нашими возможностями, мы рекомендуем вам использовать по крайней мере :. <br />"
"In order to publish your application, we need:";"Для того, чтобы опубликовать свое приложение, нам понадобится:"
"In order to publish your application, we need:<br />- ";"Для того, чтобы опубликовать свое приложение, нам понадобится: <br /> -"
"In order to use global push notifications your app must be published.";"Для того, чтобы использовать глобальные push-уведомления приложение должно быть опубликовано."
"Incorrect filetype.";"Неправильный тип файла."
"Info";"Инфо"
"Info successfully saved";"Информация успешно сохранена"
"Information";"Информация"
"Infos successfully saved";"Информация успешно сохранена"
"Inherit global layout";"Наследование глобальный макет"
"Insert a <br /><span class'bold'>cover image</span>";"Вставить a <br /><span class'bold'>фото</span>"
"Insert a <br /><span class=\"bold\">cover image</span>";"Вставьте <br /><span class=\"bold\">картинку</span>"
"Insert a cover image";"Вставить изображение обложки"
"Insert a picture";"Вставить картинку"
"Installer";"Установщик"
"Installs";"Установки"
"Integration";"Интеграция"
"Interstitial";"Интерстициальный"
"Invalid place";"Неверное место"
"Invoice creation date";"Дата создания счета-фактуры"
"Invoice payment date";"Дата оплаты счета-фактуры"
"Invoices";"Счета"
"Issuer";"Эмитент"
"It seems that the renewal of the following SSL Certificate %s is failing, please check in <b>Settings > Advanced > Configuration</b> for the specified certificate.";"Похоже, что продление SSL-сертификата следующие % - ов не удается, пожалуйста, проверьте в <B>параметры > дополнительно > настройки</B> для указанного сертификата."
"JAVA Extended options";"Расширенные опции JAVA"
"Landscape";"Пейзаж"
"Last Name";"Фамилия"
"Last action";"Последнее действие"
"Last error";"Последняя ошибка"
"Last login";"Послед"
"Last name";"Фамилия"
"Last update date";"Дата последнего обновления "
"Lastname";"Фамилия"
"Lastname:";"Ваша Фамилия:"
"Layout #1";"Макет #1"
"Layout #2";"Макет #2"
"Layout #3";"Макет #3"
"Layout #4";"Макет #4"
"Layout #5";"Макет #5"
"Layout #6";"Макет #6"
"Leave blank if your web space is the current domain.";"Оставьте пустым, если ваш веб-пространства для текущего домена."
"Left";"слево"
"Let your users know what is locked";"Пусть ваши пользователи знают, что заблокированы"
"Like";"Нравится"
"Likes";"Лайки"
"Link";"Сайт"
"Links";"Ссылки"
"Links are now re-ordered!";"Ссылки сейчас повторно заказал!"
"List";"Лист"
"List Item";"Пункты листа"
"List of your invoices";"Список ваших счетов"
"Load More";"Загрузить еще"
"Loading";"Загрузка"
"Loading picture";"Загрузка изображения"
"Local APK Generator";"Местный генератор АПК "
"Local APK build";"Локальная сборка APK"
"Locate";"Расположение"
"Location";"Локация"
"Location:";"Где? В каком месте?:"
"Location: %s";"Расположено: %s"
"Log in";"Войти"
"Log-in";"Войти"
"Log-out";"Выход"
"Logged in as";"Вы вошли как"
"Login to access your data";"Логин для доступа к вашим данным"
"Login to your admin interface";"Логин к вашей админке"
"Loyalty Card";"Дисконтная карта"
"LoyaltyCard";"Дисконтная карта"
"Main Platform";"Основная Платформа"
"Main category";"Главная категория"
"Main domain";"Основной домен"
"Main domain (without https?://) is required for services, and tools.";"Основной домен (без https?: //) необходим для служб и инструментов."
"Main hostname";"Главное имя хоста"
"Make this image colorizable";"Сделать изображение колоризованным"
"Manage";"Управление"
"Manage Folders";"Управление папками"
"Manage Places";"Управление Местами"
"Manage Tour";"Управление Тур"
"Manage content";"Управление контентом"
"Map";"Карта"
"Maps";"Карты"
"Mcommerce";"Коммерция"
"Media";"Медиа"
"Message";"Сообщение"
"Message from your app %s";"Сообщение из вашего приложения %s"
"Messages";"Сообщения"
"Metadata";"Метаданные"
"Method";"Способ"
"Middle";"Средний"
"Migrate sessions";"Перенос сессий"
"Migrate sessions to Redis";"Перенос сессий в Redis"
"Misc";"Разное"
"Missing appId";"Отсутствует appId"
"Missing gallery_id";"Отсутствует gallery_id"
"Missing parameters.";"Недостающие параметры."
"Missing params";"Недостающие параметры"
"Missing status";"Отсутствует статус"
"Missing value";"Отсутствующее значение"
"Missing values";"Отсутствуют значения"
"Mobile display";"Мобильный дисплей"
"Modal";"Модальные"
"Modules";"Модули"
"Monetization";"Монетизация"
"Month";"Месяц"
"Monthly";"Ежемесячно"
"More";"Ещё"
"My Users List";"Мой Список Пользователей"
"My account";"Мой аккаунт"
"My custom template";"Мой пользовательский шаблон"
"My invoices";"Мои счета"
"MyTemplate";"Шаблон mytemplate"
"NSCameraUsageDescription";"NSCameraUsageDescription"
"NSLocationAlwaysUsageDescription";"NSLocationAlwaysUsageDescription"
"NSLocationWhenInUseUsageDescription";"NSLocationWhenInUseUsageDescription"
"NSMotionUsageDescription";"NSMotionUsageDescription"
"NSPhotoLibraryUsageDescription";"NSPhotoLibraryUsageDescription"
"Name";"Имя"
"Never";"Никогда "
"New";"Новый"
"New folder";"Новая папка"
"New format";"Новый формат"
"New password";"Новый пароль"
"New positions are missing.";"Новых позиций не хватает."
"New subfolder";"Новую подпапку"
"Newswall";"Новости"
"Next";"Далее"
"No";"Нет"
"No Results";"Нет Результатов"
"No address to display on map.";"Нет адреса для отображения на карте."
"No data for this metrics for now.";"Нет информации для этой метрики"
"No features";"Нет возможности"
"No invoice for now.";"Нет счетов на данный момент"
"No items found";"Ничего не найдено"
"No linkable element found on this page.";"Ни могу найти  элемен на этой странице."
"No logs";"Без логов"
"No modules";"Нет модулей"
"No place to display on map.";"Нет этого места для отображения на карте."
"No profile found. Please create one in Settings tab.";"Профиль не найдено. Пожалуйста создайте вкладку настроек."
"No published applications available.";"Нет опубликованных приложений."
"No results";"Нет результатов"
"No results for your request.";"Нет результатов для вашего запроса."
"No rules";"Без правил"
"No uploaded image";"Нет загруженного изображения"
"Not available offline.";"Не доступна в offline."
"Note";"Примечание"
"Note: A disabled feature is not removed from published applications & can still be edited, but users can't add it anymore!";"Примечание: функция отключена не удаляется из опубликованных приложений и еще может быть отредактировано, но пользователи больше не могу добавить!"
"Note: Let's encrypt X1 is a staging certificate.";"Примечание: Let's encrypt  Х1 представляет собой сертификат, постановка."
"Nothing to display";"Пока тут пусто"
"Nothing to display.";"Нет данных"
"Number";"Количество"
"Number of people";"Количество людей"
"Number of reward used";"Кол-во вознагражденных юзеров."
"Nwicode current installation path";"Nwicode текущий путь установки "
"Nwicode domain";"Домен Nwicode "
"Nwicode informations";"Информация Nwicode "
"Nwicode uses it to scan all uploaded files that have passed the soft Firewall.";"CMS использует его для сканирования всех загруженных файлов, которые прошли брандмауэр."
"OK";"ОК"
"Offline Payment";"Оффлайн оплаты"
"Offline content";"Оффлайн контент"
"Old Password";"Старый пароль"
"Only active";"Только активный"
"Only inactive";"Только неактивные"
"Only offline";"Только в автономном режиме"
"Only published application are available for global push notifications.";"Только опубликованные приложения доступны для отправки push-уведомления."
"Open custom URL";"Откройте пользовательский URL"
"Open settings";"Откройте Настройки"
"Options";"Опции"
"Or do you want to return to editor?";"Или вы хотите, чтобы вернуться в редактор?"
"Order";"Заказ"
"Order date";"Дата заказа "
"Origin";"Первоисточник"
"Ouch, this page doesn't exist";"Ой, этой страницы не существует"
"Override layout";"Переопределение макетов "
"PHP Version";"Версия PHP"
"Package name";"Имя Пакета"
"Padlock";"Замок"
"Page settings";"Параметры страницы"
"Paid At";"Заплатили В"
"Paid amount";"Уплаченной суммы"
"Paid at";"Заплатили в"
"Parent";"Родитель"
"Password";"Пароль"
"Password (clear)";"Пароль (очистить)"
"Password (hashed)";"Пароль (хешированный)"
"Password:";"Пароль:"
"Passwords don't match";"Пароли не совпадают"
"PayPal Express Checkout";"PayPal Экспресс"
"Payment";"Оплата"
"Payment ID";"Идентификатор платежа "
"Payment Method";"Способ оплаты"
"Payment method";"Способ оплаты "
"Payments";"Платежи"
"Permissions";"Разрешения"
"Personal data";"Персональные данные"
"Phone";"Телефон"
"Phone and/or E-mail";"Телефон или E-mail"
"Phone:";"Телефон:"
"Photos";"Фото"
"Place disabled";"Место отключены"
"Places";"Места"
"Plain";"Равнина"
"Plans";"Тарифы"
"Platform";"Платформа"
"Platform Name";"Имя платформы"
"Platform hostname";"Имя платформы "
"Player";"Player"
"Please create the API keys to enable this feature.";"Пожалуйста создайте API keys, чтобы использовать функцию"
"Please enter a password";"Пожалуйста, введите пароль"
"Please enter a valid URL.";"Пожалуйста, введите URL-адрес."
"Please enter a valid credit card number.";"Пожалуйста, введите действительный номер кредитной карты."
"Please enter a valid date (ISO).";"Пожалуйста, введите дату (ISO)."
"Please enter a valid date.";"Пожалуйста, введите дату."
"Please enter a valid email address";"Пожалуйста, введите верный адрес"
"Please enter a valid email address.";"Пожалуйста, введите действительный адрес электронной почты."
"Please enter a valid number.";"Пожалуйста, введите правильный номер."
"Please enter a valid url";"Пожалуйста, введите правильный URL"
"Please enter a value between {0} and {1} characters long.";"Пожалуйста, введите значение между {0} и {1} символов."
"Please enter a value between {0} and {1}.";"Пожалуйста, введите значение между {0} и {1}."
"Please enter a value greater than or equal to {0}.";"Пожалуйста, введите значение, большее или равное {0}."
"Please enter a value less than or equal to {0}.";"Пожалуйста, введите значение, которое меньше или равно {0}."
"Please enter at least {0} characters.";"Пожалуйста, введите по крайней мере {0} символов."
"Please enter no more than {0} characters.";"Пожалуйста, введите не более {0} символов."
"Please enter only digits.";"Пожалуйста, введите только цифры."
"Please enter the same value again.";"Пожалуйста, введите то же значение снова."
"Please enter your email address";"Пожалуйста, введите ваш адрес электронной почты"
"Please fill in the following fields:";"Пожалуйста, заполните следующие поля:"
"Please fill out the following fields";"Пожалуйста, заполните следующие поля"
"Please fix this field.";"Пожалуйста, исправьте это поле."
