"%MONTH%/%YEAR%";"%МЕСЯЦ%/%ГОД%"
"Ride details: ";"Детали поездки:"
"Ride estimation";"Стоимость поездки"
"Ride finished";"Поездка окончена"
"Ride has been paid by client";"Поездка была оплачена клиентом"
"Ride has been paid by client.";"Поездка была оплачена клиентом"
"Ride is finished";"Поездка окончена"
"Ride is marked as paid";"Отметить поездку как оплачено"
"Ride is not finished";"Поездка не завершена"
"Ride price:";"Цена Поездки:"
"Ride to passenger";"Путь до пассажира"
"Ride was cancelled";"Поездка отменена"
"Ride was refused";"Поездка отменена"
"Saving";"Сохраниние"
"Search Radius";"Радиус Поиска"
"Search timeout";"Таймаут поиск"
"Search:";"Поиск:"
"Searching";"Поиск"
"Selected vehicle type is unknown";"Выбранный тип автомобиля неизвестен"
"Send";"Отправить"
"Sending request";"Сделать запрос"
"Set price";"Цены"
"Set price and finish ride";"Цена и стоимость поездки"
"Settings";"Настройки"
"Sorry, but no driver can pick you up. Please try again in a few moment.";"Извините, но ни один водитель не может забрать вас. Пожалуйста, повторите попытку через несколько минут."
"Sorry, you haven't selected a driver before timeout. Your request has been cancelled.";"К сожалению время ожидание истекло, пока Вы выбирали водителя. Ваш запрос был отменен."
"Start ride";"Начать поездку"
"Started at";"Начали в"
"State";"Область"
"State is required";"Состояние"
"Status";"Статус"
"Success";"Принять"
"Success.";"Принять"
"Switch info view";"Включить обзор Информации"
"Thank you for using our application.";"Спасибо, что пользуетесь нашим приложением"
"This action cannot be reverted!";"Это действие не может быть отменено!"
"Time fare:";"Тариф ожидание:"
"Total charge";"Всего вышло"
"Total price";"Итог цена"
"Total price: ";"Итого:"
"Unable to process the request";"Не удалось обработать запрос"
"Unauthorized";"Несанкционированно"
"Unknown";"Неизвестно"
"Unpaid";"Неоплачен"
"Use Cash";"За наличные"
"Username";"Имя пользователя"
"Vehicle Model";"Модель Авто"
"Vehicle Model is required";"Нужна модель авто"
"Vehicle Type";"Тип Авто"
"Vehicle Type is required";"Нужен тип авто"
"Vehicle Types";"Типы авто"
"Vehicle model";"Модель авто"
"Vehicle type";"Тип авто"
"Vehicle type successfully deleted.";"Тип авто, успешно удален"
"Waiting";"Ожидание"
"Waiting for client confirmation...";"Ожидает подтверждение клиента..."
"We are sorry, but no driver was found for your request.";"Мы сожалеем, но ни одного водителя не было найдено по вашему запросу."
"We couldn't find a matching route for your destination...";"Мы не смогли найти соответствующий маршрут для вашего назначения ..."
"We couldn't verify your credit card. Please try again later.";"Мы не смогли верифицировать Вашу карту. Попробуйте еще раз"
"We need some informations before going any further...";"Нам необходима некоторая информацию, прежде чем продолжить ..."
"We need you to re-enter your credit card informations.";"Вы должны еще раз указать данные карты"
"You do not have any card configurated. Go to settings?";"Вы не настроили конфигурацию карт. Вернуться в настройки?"
"You do not have any card configured. Go to settings?";"Вы не настроили прием платежей. В настройки?"
"You finish your ride with %s";"Вы закончили поездку с %s"
"You have been accepted as a driver for application %s.";"Вы были приняты в качестве водителя в приложение %s."
"You have been deleted as a driver for application %s.";"Вы были удалены из приложения %s. В Ваших услугах не нуждаются."
"You have been refused as a driver for application %s.";"Вы были отклонены как водитель в приложении %s."
"You haven't been accepted as a driver by your app administrator yet, please check back later.";"Вы не были приняты администратором в качестве водителя, пожалуйста, проверьте позже."
"You haven't been accepted as a driver by your app administrator.";"Вы пока еще не были приняты в качестве водителя."
"You must register or login to continue...";"Здравствуйте! Вы должны сначала зарегистрироваться или авторизоваться..."
"You need to specify at least one method of payment!";"Вы должны выбрать хотя бы один метод оплаты"
"Your card has expired. Please update your informations";"Ваша карта устарела, пожалуйста обновите информацию"
"Your credit card has been declined because of the currency you are attempting to pay in.  Please change the currency of the transaction or use a different card and try again.";"Ваша кредитная карта была отклонена из-за валюты, которую вы пытаетесь заплатить. Пожалуйста, изменения валюты транзакции или используйте другую карту и попробуйте снова."
"Zip Code";"Индекс"
"Zip Code is required";"Нужен индекс"
"aboard";"на борту"
"accepted";"принято"
"cancelled";"не активно"
"created";"создано"
"credit card";"кредитная карта"
"driven";"водители"
"finished";"окончено"
"finishing";"завершение"
"for every";"будет учитываться каждая(ый)"
"going";"буду"
"kilometer";"километр"
"mile";"миля"
"minute";"минута"
"n/a";"н/д"
"paid";"оплачен"
"requesting";"запрос"
"searching";"поиск"
"unpaid";"неоплаченный"
