"%d Unread Message";"%d Непрочитанное сообщение"
"Download latest source";"Скачать последнюю версию исходного кода"
"Drop your certificate here";"Загрузите свой сертификат здесь"
"Edit the account \"%s\"";"Редактировать учетную запись \"%s\""
"Edit the user";"Редактирование пользователя"
"Editor's Design";"Дизайн редактора"
"Enable custom SMTP configuration";"Включить пользовательские конфигурации SMTP"
"Enter your credentials:";"Введите учетные данные:"
"Environment";"Среда"
"Error, order already paid.";"Ошибка, заказ уже оплачен."
"Errors are displayed on page, outputs are more verbose, this is an option for debug purpose, use with care as it may output some critical informations about your server.";"Ошибки отображаются на странице, выдает более подробный, это вариант для целей отладки, использовать с осторожностью, поскольку она может выводить некоторые данные информацию о вашем сервере."
"Exists";"Существует"
"External extensions";"Расширения"
"Failed";"Неудачно"
"File hash is different from manifest.";"Файл-хэш отличается от манифеста."
"File is missing.";"Файл отсутствует."
"Forgot password";"Забыли пароль"
"Full";"Все"
"Full path to use within your webserver.";"Полный путь для использования в вашем веб-сервере."
"General settings";"Главные настройки"
"Generate";"Создать"
"Generate a certificate via Let's Encrypt.";"Создать сертификат через Let's Encrypt."
"Generate source";"Сгенерировать исходник"
"Generating";"Генерация"
"Grant user";"Грант пользователей"
"HTTP Basic Auth (API)";"Базовой http-аутентификации (API)"
"HTTP Basic Auth is valid.";"Протокол http Basic авторизации действителен."
"HTTPS & SSL Certificates";"Сертификаты https и SSL"
"HTTPS host is unreachable.";"Протокол https, хост недоступен."
"HTTPS is not available on your server.";"Https не доступен на сервере."
"HTTPS not reachable";"Https не доступен"
"HTTPS support is in <b>Beta</b>, you should test it on your <b>development server</b> first & prepare for further migration.";"Поддержка https в <b>Beta</b>, то вы должны проверить его на вашем <b>сервере<b>  и подготовиться к дальнейшей миграции."
"HTTPS support is in test, you should only try it on your development server prior to prepare for further migration.";"Поддержка https в тесте, вы должны только попробовать это на вашем сервере разработки до подготовки к дальнейшей миграции."
"Hide";"Скрыть"
"Host";"Хост"
"Hostname";"Имя"
"Hostnames associated with this Certificate";"Имена, связанные с этим сертификатом"
"Hour";"Час"
"ID";"ID"
"If inactive, your customer won't see the tour.";"Если не активен, ваш клиент не увидит тура."
"If you are unable to install or run the cronjob on your hosting/server you can disable it.";"Если Вы не можете установить или запустить задачу cron на вашем хостинге/сервере, Вы можете отключить его."
"Info";"Информация"
"Installed";"Установлен"
"Installed icon packs";"Установлены пакеты иконок"
"Installed layouts";"Стили меню"
"Installed modules";"Установленные модули"
"Installed, version";"Установлено, версия"
"Integrity check";"Проверка целостности"
"Invoice options";"Варианты счета-фактуры"
"Issued certificates";"Выданные сертификаты"
"Last cron error";"Последняя ошибка хрона"
"Last failure";"Последний провал"
"Last success";"Последний успех"
"Last trigger";"Последний триггер"
"Let's Encrypt certificates renewal";"Let's Encrypt обновление сертификатов"
"Let's Encrypt environment";"Let's Encrypt шифрование"
"Link preview";"Ссылка"
"List of backoffice accounts";"Список Бэк-офис счетов "
"List of the messages";"Список сообщений"
"Loaded";"Заргужено"
"Log";"Журнал"
"Log (var/log, log files)";"Логи (var/log, log файлы)"
"Login to your backoffice interface";"Войдите в свой Бэк-офис"
"Logs cleared.";"Логи очищены"
"Mark all as read";"Отметить все как прочтенное"
"Mark as new";"Отметить как новое"
"Mark as read";"Отметить как прочитанное"
"Messages";"Сообщения"
"Minute";"Минута"
"Missing parameters for generation.";"Отсутствующие параметры для генерации."
"Mobile Source Codes & Builds";"Мобильные исходные коды & Сборки"
"Module/User tasks";"Модуль задач/пользователей"
"Month";"Месяц"
"My Invoices";"Мои счета"
"My tour is active";"Мой тур активный"
"Name";"Название"
"New messages";"Новые сообщения"
"New users";"Новые пользователи"
"No";"Нет"
"No file has been sent";"файл не был отправлен"
"No icon packs";"Нет иконки пакета"
"No informations.";"Нет информации."
"No layouts";"Нет Стилей Меню"
"No module/user tasks";"Нет модуля/задачи пользователей"
"No system tasks";"Нет задачи системы"
"None";"Пусто"
"None = no sign-up form, validation = admin must validate created account, full = free sign-up";"None = отключено, validation = авторизация админом, full = свободная регистрация"
"Not found";"Не найдено"
"Not running";"Не пашет"
"Not yet generated.";"Пока не сгенерировалось"
"Note:";"Примечание:"
"Note: Let's encrypt X1 is a staging certificate.";"Примечание: Let's encrypt Х1 представляет собой сертификат, постановка."
"Number of typed characters:";"Количество набранных символов:"
"Nwicode - Backoffice";"Nwicode - Backoffice"
"Nwicode CMS";"Nwicode CMS"
"OR";"Или"
"Ok";"Ок"
"Ok, you may consider upgrade to >=5.4";"Ок, вы можете рассмотреть возможность обновления до>=7.0"
"Ok, you may upgrade to php 5.6";"ОК, можете обновиться до php 7.0"
"One of the three given Certificates path is not readable, please make sure they have the good rights.";"Один из трех заданной траектории сертификата не читается, пожалуйста, убедитесь, что они имеют правильные права."
"Open";"Открыт"
"Open the tour editing mode";"Откройте режим редактирования тур"
"Optional binaries";"Дополнительные двоичные файлы"
"Optional libraries";"Дополнительные библиотеки"
"Otherwise install it manually, from your panel, or directly from your ssh access.";"В противном случае установить его вручную, из панели, или прямо с вашего SSH."
"Overview - WebApp (var/apps/browser, overview & webapp cache)";"Обзор - Кэша от Web App (var/apps/browser, обзоры & webapp кэши)"
"Overview cache cleared.";"Обзорный кэш очищен"
"PEM Connection test:";"PEM Connection test:"
"PEM test:";"PEM тест:"
"PHP version %s:";"PHP версия %s:"
"Password";"Пароль"
"Path to your CA certificate";"Путь к вашему сертификату CA"
"Path to your Certificate";"Путь к вашему сертификату"
"Path to your Private certificate";"Путь к вашим KEY"
"Path to your Private key";"Путь к закрытому ключу"
"Payment received";"Платеж получен"
"People who are allowed to access the backoffice";"Люди, которым позволили получить доступ к Бэк-офису"
"Permission, denied from Plesk, please use the admin account.";"Разрешение, отказывают из plesk, пожалуйста, используйте учетную запись администратора."
"Plesk";"Plesk"
"Plesk 12+";"В plesk 12+"
"Port";"Порт"
"Preview 5.0";"Предварительный просмотр 5.0"
"Privacy policy URL";"Политика конфиденциальности URL-адрес"
"Private";"Private"
"Private certificate";"Private certificate"
"Private path:";"Private path:"
"Production";"Продуктивность"
"Progress";"Прогресс"
"Publication access type";"Тип доступа к публикации"
"Push messages:";"Push сообщения:"
"Queued";"В очереди"
"Queued %s/%s";"В очереди %s/%s"
"Read";"Читать"
"Rebuild";"Пересоздать"
"Rebuild manifest";"Восстановить манифест"
"Rebuilding application manifest files.";"Восстановление файлов манифеста приложений"
"Regular updates system";"Регулярные обновления системы"
"Remove locks";"Удалить локи"
"Remove locks now";"Удалить замки"
"Removing CRON Scheduler lock files.";"Удаление CRON Scheduler lock файлы"
"Removing domains: %s";"Удаление доменов: %s"
"Request";"Запрос"
"Request the certificate via Let's Encrypt.";"Запросить сертификат через Let's Encrypt."
"Required extensions";"Необходимые расширения"
"Revoke user";"Отзовы пользователей"
"Run test";"Тестирование"
"SSL";"Протокол SSL"
"Sales";"Продажи"
"Sales configuration";"Конфигурации продаж"
"Save";"Сохранить"
"Select API access";"Выберите доступ к API"
"Select a panel type or self-managed";"Выберите Тип панели или самоуправляемые"
"Self-managed";"Самоуправляемые"
"Self-managed sync is not available for now.";"Самоуправляемые синхронизация не доступна."
"Send anonymous statistics to improve the apps builder.";"Отправлять анонимную статистику для улучшения конструктор приложений."
"Server";"Сервер"
"Services";"Службы"
"Show All Applications";"Показать все приложения"
"Show more";"Подробнее"
"Sign-up mode for your platform.";"Режим ПОДПИСАТЬСЯ для вашей платформы."
"Something went wrong with the API Sync to %s, retry or check in your panel if your SSL certificate is correctly setup.";"Что-то пошло не так с API синхронизации на %s, повторите попытку или проверьте в панели управления если ваш сертификат SSL настроено правильно."
"Source";"Исходник"
"Source Queue empty";"Исходная очередь пуста"
"Source Queue status";"Статус очередей"
"Sources code";"Исходный код"
"Stable";"Стабильный"
"Staging";"Постановка"
"Start editing your platform tour";"Начать редактирование вашей платформы тура"
"Statistics";"Статистика"
"Statistics are used to improve the platform and help understanding usage of the apps builder.";"Статистические данные используются для улучшения платформы и помочь использование конструктора приложений."
"Status";"Статус"
"Submit a bug report or improvement request for beta/preview";"Отправить сообщение об ошибке или запрос улучшений для бета/превью"
"Success";"Успешно"
"Successfully cleaned-up old certificate.";"Успешно очищен старый сертификат."
"Successfully installed new certificate.";"Успешно установлен новый сертификат."
"Successfully removed the certificate.";"Успешно удален сертификат."
"Successfully saved Certificate to %s";"Успешное сохранение сертификата на %s"
"Sync files";"Синхронизация файлов"
"System Diagnostic";"Система Диагностики"
"System tasks";"Задачи системы"
"System was unable to validate any Bearer Token Auth call.";"Системе не удалось проверить какие-либо маркера носителя авт колл."
"System was unable to validate any HTTP Basic Auth call.";"Системе не удалось проверить какие-либо базовой аутентификации http-вызов."
"Temp (var/tmp, application sources & apk)";"Временные файлы (var/tmp, application sources & apk)"
"Templates";"Шаблоны"
"Test SSL/HTTPS";"Тест SSL/https и"
"Testing: %s";"Тестирование: %s"
"The PHP executable guessed path <b>'%s'</b> may be incorrect, please double check for it.";"Исполняемый файл PHP угадал путь <b>'%s'</b> может быть неправильным, пожалуйста, проверьте его."
"The default setting to run your production server.";"По умолчанию для запуска производственного сервера."
"The domain %s doesn't belong to you, or is not configured on your server.";"Домен %s не принадлежат вам, или не настроен на сервере."
"The given CA certificate doesn't match the hostname.";"Данный сертификат CA не соответствует имени хостинга."
"The given certificate doesn't match the hostname or wiSibldcard.";"Данный сертификат не соответствует имени хостинга или wiSibldcard."
"The given certificate doesn't match the hostname.";"Данный сертификат не соответствует имени хостинга."
"This account can't be deleted, it's the only one";"Эта учетная запись не может быть удалена, она одна."
"This action mainly serves as a development & support purpose<br />This will restore App sources 'iOS', 'Android', 'HTML5' & 'Overview' from the latest Nwicode version, then rebuild the manifest to restore installed modules.";"Это действие, в основном, служит целью развития и поддержки <br /> Это позволит восстановить «Источники iOS», «Android», «HTML5» и «Обзор» из последней версии, а затем перестроить манифест для восстановления установленных модулей."
"This e-mail address must be reachable, as you will receive important e-mails from the system & user actions.";"Этот E-mail адрес должен быть доступен, так как вы будете получать важные сообщения от системы и действий пользователей."
"This message will be displayed as a waiting message when your users chose an offline payment method";"Это сообщение будет отображаться как сообщение в ожидании, когда пользователи выбрали способ оплаты в автономном режиме"
"This message will be displayed as an information message to describe which offline payment method you offer";"Это сообщение будет отображаться как информационное сообщение, чтобы описать, что автономный способ оплаты Вы предлагаете"
"This privacy policy will be used for every new Application created as a template.";"Эта Политика конфиденциальности будет использоваться для каждого нового приложения, созданного в качестве шаблона."
"This test is for development & support usage, this only highlights potential missing and/or modified files, results need to be interpreted.";"Этот тест предназначен для разработки и использования поддержки, это только подчеркивает потенциал отсутствует и/или измененных файлов, результаты должны быть интерпретированы."
"Tools";"Утилиты"
"Total sales";"Всего продано"
"Total usage:";"Общее использование:"
"Tour settings";"Параметры тура"
"Tour status";"Статус тур"
"Tour status successfully saved.";"Статус тур успешно сохранен."
"Unable to connect in HTTPS or to validate the SSL Certificate.<br />Check if your are not in `Staging`";"Не удается подключиться по https или для проверки SSL-сертификата.<br />Проверьте, не находитесь ли вы в \"постановке\""
"Unknown";"Неизвестно"
"Unknown - Self-managed";"Неизвестен - самоуправляемые"
"Update";"Обновление"
"Update channel";"Канал обновлений"
"Updated At";"Обновлено"
"Upload";"Загрузить"
"Upload files or use existing certificates on my server";"Загрузить файлы или пользоваться действующими сертификатами на моем сервере"
"Upload my certificates";"Загрузить мои сертификаты"
"Upload your own certificates";"Загрузить свои собственные сертификаты"
"Use HTTPS";"Использовать https"
"Use existing certificates on my server";"Использовать существующие сертификаты на моем сервере"
"User successfully deleted";"Пользователь успешно удален"
"User's status successfully edited";"Статус пользователя успешно изменен"
"Username";"Имя пользователя"
"VAT check options";"Параметры проверки НДС"
"Validation";"Валидация"
"VestaCP";"VestaCP"
"VestaCP (php 5.6+ only)";"VestaCP (на PHP 5.6+ )"
"View Details";"Просмотреть подробности"
"WHM cPanel";"В whm и cpanel"
"Waiting for %s to reload, this can take a while...";"Ждем %s - ов перезагрузки, это может занять некоторое время..."
"We recommned using <b>preview</b> on a testing or development server, we won't provide regular ticket support for these update channels, only bug reports via the form below.";"Мы рекомендуем использовать теги <b>обзор</b>, и на тестирование или сервер разработки, мы не будем предоставлять регулярную поддержку билетов на эти каналы обновления, только сообщения об ошибках через форму ниже."
"Web space";"веб-пространство"
"White Label";"White Label"
"Whitelabel";"Whitelabel"
"Whitelabel hostnames associated with this Certificate";"Whitelabel хост, связанный с этим сертификатом"
"Whitelabel request";"Whitelabel запрос"
"Whitelabels";"Whitelabels"
"Yes";"Да"
"Yes, install the update.";"Да, установить обновление."
"You are about to clean all the cron lock files !\nAre you sure ?";"Вы пытаетесь очистить файлы задач cron! Сделать это?"
"You are about to clean all your log files !\nAre you sure ?";"Вы собираетесь очистить все файлы журнала! \ Вы уверены?"
"You are about to delete this certificate, Are you sure ?";"Вы собираетесь удалить этот сертификат, вы уверены ?"
"You are about to wipe all your temporary files, this includes the generated sources & apk builds !\nAre you sure ?";"Вы собираетесь стереть все временные файлы, включая исходные и & apk builds !\Вы уверены ?"
"You can use <b>%s</b> as a dynamic variable for your application name.";"Вы можете использовать <b>%s</b> в качестве динамической переменной для имени приложения."
"You have a Source generation stuck for more than 1 hour, please check in <b>Settings > Advanced > Cron</b> for the stuck build.<br />To unlock further builds you can remove locks from the button below.";"Генерация исходного кода застряла более чем на 1 час, пожалуйста, проверьте <b> Настройки> Дополнительно> Cron </ b> для зависшего билда. <br /> Чтобы разблокировать другие сборки, вы можете снять блокировки с кнопки ниже."
"You have an APK generation stuck for more than 1 hour, please check in <b>Settings > Advanced > Cron</b> for the stuck build.<br />To unlock further builds you can remove locks from the button below.";"У вас зависание сборки APK на срок более 1 часа, пожалуйста, проверьте <b> Настройки> Дополнительно> Cron </ b> для зависшей сборки. <br /> Чтобы разблокировать другие сборки, вы можете снять блокировки с кнопки ниже."
"You have no certificate yet.";"У вас нет сертификата."
"You have no new messages.";"У вас нет новых сообщений."
"You must select an Admin panel type before requesting a Certificate.";"Необходимо выбрать тип панели администрирования для запроса сертификата."
"Your HTTPS/SSL Certificate is about to expire in <b>%s day%s</b>, don't forget to renew it on the following page <a href=\"%s\"\"\"\">configuration</a>.\"\"\"";"Срок действия вашего HTTPS / SSL-сертификата истекает в <b>%s day%s</b>, не забудьте обновить его на следующей странице <a href=\"%s\"\"\"\"> конфигурации </a>.\"\"\""
"Your HTTPS/SSL Certificate is about to expire in <b>%s day%s</b>, don't forget to renew it on the following page <a href=\"%s\"\">configuration</a>.\"";"Ваш сертификат HTTPS и SSL истекает в <b>%s день на%s</b>,  не забывайте обновлять его на следующей странице <а href=\"%s\">настройки</а>."
"Your HTTPS/SSL Certificate is about to expire in <b>%s day%s</b>, don't forget to renew it on the following page <a href=\"%s\">configuration</a>.";"Срок действия сертификата HTTPS/SSL истекает через <b>%s дней%s</b>, не забудьте обновить его на следующей странице <a href=\"%s\">configuration</a>."
"Your certificate is invalid";"Ваш сертификат недействителен"
"Your certificate is valid until:";"Ваш сертификат действителен до:"
"Your certificates are saved.";"Ваши сертификаты будут сохранены."
"Your new password";"Ваш новый пароль"
"Your password";"Ваш пароль"
"[Global]";"[Глобально]"
"[Let's Encrypt] renewing certificate.";"[Let's Encrypt] обновление сертификата."
"[Let's Encrypt] will add %s to SAN.";"[Let's Encrypt] будет добавлен %s в ."
"[Nwicode_Cpanel] Unable to update cPanel SSL Certificate for %s";"[Nwicode_Cpanel] не удалось обновить сертификат SSL для управления cpanel %s"
"[Nwicode_VestaCP] requires php 5.6+";"[Nwicode_VestaCP] требуется PHP 5.6+"
"[Plesk] Unknown error.";"[Plesk] Неизвестная ошибка."
"[Sources]";"[Исходник]"
"customer";"клиент"
"for the bundle id:";"для bundle id:"
"letsencrypt";"letsencrypt"
"per page";"на странице"
"see Settings > Advanced > Configuration > Cron to edit options.";"в разделе настройки > дополнительно > настройки > cron, чтобы изменить параметры."
"values are refreshed once a day only!";"значения обновляются один раз в день!"
"Size app settings";"Настройки размера приложения"
"Free app size";"Бесплатный размер приложения"
"Free app size (MB) - Max - ";"Бесплатный размер приложения (MB) - Макс - "
"Max size per app";"Максимальный размер на приложение"
"Max size per app (MB) - Max - ";"Максимальный размер на приложение (MB) - Макс - "
"Price per MB";"Цена за MB"
"Size settings successfully saved";"Настройки размера успешно сохранены"
"The module version is the most current!";"Версия модуля самая актуальная!"
