"%s Subscription for %s";"%s için üyelik %s"
"You have chosen an offline plan. Once submitted, your subscription will be activated by an admin when your payment is received.";"Çevrimdışı plan seçtiniz. Gönderildikten sonra, ödemeniz alındığında aboneliğiniz bir yönetici tarafından etkinleştirilecektir."
"You're almost done! After subscribing, we will publish your application on both the AppStore and the Google Play.";"Neredeyse bitirdiniz! Abone olduktan sonra, App Store ve Google Play de hem yayınlayacağız."
"You've made a sale!";"Satış yaptınız!"
"Your VAT Number is not valid";"KDV Numaranız geçerli değil"
"Your order has been canceled. If you need any help to place your order, please feel free to contact us.";"Siparişiniz iptal edildi. Eğer sipariş için herhangi bir yardıma ihtiyacınız varsa, bizimle temas kurmaktan çekinmeyin lütfen."
"Your order has been successfully paid. Your application will be published very soon.";"Siparişiniz başarıyla ödenmiştir. Başvurunuz çok yakında yayınlanacaktır."
"Your subscription must have at least one price";"Aboneliğiniz en az bir fiyata sahip olmalıdır"
"Zip Code";"Posta kodu"
"price";"fiyat"
"to view this app if you are connected to your backoffice.";"backoffice'e bağlıysanız bu uygulamayı görmek içni"
