"%s Text";"%s metin"
"An error occurred while sorting your pages. Please try again later.";"Sayfalarınızı sıralama sırasında bir hata oluştu. Daha sonra tekrar deneyiniz."
"An error occurred while sorting your slider images. Please try again later.";"Kaydırma alanına görsel yüklerken bir hata oluştu. Lütfen daha sonra tekrar deneyin."
"An error occurred. Sorry for the inconvenience.";"Bir hata oluştu. Özür dileriz."
"Analytics";"Analizler"
"Analyzing fetched data...";"Veri analiz ediliyor."
"Android";"Android"
"Android APK Generation";"Android APK Generation"
"Android APK version";"Android"
"Android Version";"Android Version"
"Android push";"Android push"
"Angle";"Açı"
"App ID";"Uygulama kimliği"
"App Store Icon";"App Mağza ikonu"
"App design";"Uygulama tasarımı"
"Apple rejects apps that includes Ad Support but doesn't use it.<br />Generate your iOS app out of this source code if you don't include Ads.";"Apple, Reklam desteği içeren uygulamaları reddeder, kullanmaz. <br />Reklam eklemediyseniz, iOS uygulamanızı bu kaynak koddan oluşturun."
"Apple's Information";"Apple'ın Bilgisi"
"Application icon";"Uygulama ikonu"
"Application name";"Uygulam ismi"
"Application:";"Uygulama:"
"Are you sure you want to remove this application?";"Bu uygulamayı silmek istediğinize emin misiniz?"
"Around you";"Etrafınızda"
"At least 200 characters in the description";"Açıklamasında en az 200 karakter olmalı"
"At least, 4 pages in the application";"Uygulamanızda en az 4 sayfa olmalı"
"Attachment";"Ek"
"Audio";"Audio"
"Auth";"Yetkili"
"Available SCSS Variables corresponding to previously set colors";"Önceden ayarlanmış renklere karşılık gelen mevcut SCSS Değişkenleri"
"Average by customer";"Müşteri tarafından ortalama"
"Background";"Arka plan"
"Backoffice";"Backoffice"
"Banner";"Banner"
"Banner Android price";"Banner Android fiyatı"
"Banner Android store label";"Banner Android mağaza etiketi"
"Banner author";"Banner sahibi"
"Banner button label";"Banner butonu etiketi"
"Banner iOS store label";"Banner iOS mağaza etiketi"
"Banner settings";"Banner ayarları"
"Banner title";"Banner başlığı"
"Book";"Ayır"
"Border";"Sınır"
"Border shadow";"Kenar gölgesi"
"Bottom";"En alt"
"Build a mobile app easily";"Kolayca bir mobil uygulama yap"
"Build date";"Tarih oluştur"
"Build information";"Bilgi topla"
"Bundle Id";"Paket Id"
"Business";"İş"
"Button";"Buton"
"Buy one, get one!";"Bir alana bir bedava!"
"Cache";"Cache"
"Calendar";"Takvim"
"Catalogs";"Kataloglar"
"Certificate";"Sertifika"
"Change your";"Değiştirin"
"Change your icon";"İkonunuzu değiştirin."
"Change your layout";"Layout'ı değiştirin"
"Change your picture";"Resmini değiştir"
"Change your template";"Temanızı değiştirin"
"Change your<br /><span class='bold'>picture</span>";"<br /> <span class='bold'>resminizi değiştirin</span>"
"Change your<br /><span>picture</span>";"Resminizi<br /><span>değiştirin</span>"
"Checking CNAME configuration:";"CNAME yapılandırmasını denetleme:"
"Choose a <br /><span class=""bold"">picture</span>";"<br /><span class=""bold"">bir resim</span> seç"
"Choose a <br /><span class='bold'>picture</span>";"<br /><span class='bold'>resim</span> seçin"
"Choose a country";"Bir ülke seç"
"Choose a font family";"Yazı tipi seçin"
"Choose a picture";"Bir resim seç"
"Choose a template to customize";"Özelleştirmek için bir tema seçin"
"Choose an icon";"İkon seçin"
"Choose your colors";"Renklerinizi seçin"
"Choose your country";"Ülkenizi seçin"
"Choose your design";"Tasarımınızı seçin"
"Choose your font style";"Yazı tipi stilini seçin"
"Choose your homepage image";"Ana sayfanız için resim seçin......<span class=""bold""><a href=""gsgsgsg"">Yardım</a></span>"
"Choose your icons color";"İkonlarınızın renklerini seçin"
"Choose your layout";"Ekran planınızı değiştirin"
"Choose your template";"Temanızı seçin"
"Click here to download the source code:";"Kaynak kodu indirmek için buraya tıklayın:"
"Click here to send your certificate";"Sertifikanızı göndermek için buraya tıklayın"
"Client ID";"Müşteri kimliği"
"Cms";"CMS"
"Code Scan";"Kod Tarama"
"Codescan";"Kod tarama"
"Color";"Renk"
"Colorize pager";"Renklendirme çağrı"
"Colors";"Renkler"
"Comments";"Yorumlar"
"Configuration";"Konfigürasyon"
"Connect Button";"Bağlantı butonu"
"Contact";"İletişim"
"Core";"Çekirdek"
"Cover background images";"Arka plan görüntülerini gizle"
"Create a place";"Yer oluştur"
"Currently only one language can be selected.";"Şu anda yalnızca bir dil seçilebilir."
"Custom";"Özel"
"Custom SMTP";"Özel STMP"
"Custom domain name:";"Kişisel domain adı:"
"Customization";"Kişiselleştirme"
"Customize your app's style";"Uygulamanızın tarzını kişiselleştirin"
"Dashboard icon";"Yönetim paneli ikonu"
"Deactivated";"Pasifleştirildi"
"Default";"Default"
"Default (none)";"Default (hiçbiri)"
"Delete this page?";"Bu sayfa silinsin mi?"
"Depth";"Derinlik"
"Design";"Dizayn"
"Developer Accounts";"Geliştirici Hesapları"
"Device Information";"Aygıt Bilgileri"
"Discount Zone";"İndirim alanı"
"Discount zone description. Here your clients will be able to see the details of each discount";"İndirim tanımı. Müşterileriniz burda indirim detaylarını görebilir."
"Display Border Circle";"Border Circle'ı göster"
"Display Borders";"Sınırları göster"
"Display Image";"Görseli göster"
"Display Shadow";"Gölge göster"
"Display address";"Adresi göster"
"Display borders";"Sınırları göster"
"Display image in page";"Sayfada görsel göster"
"Display location button";"Konum butonunu göster."
"Display the homepage slider";"Ana sayfa kaydırma çubuğunu göster."
"Display title and subtitle in page";"Alt yazı ve başlığı sayfada göster"
"Display titles";"Başlıkları göster"
"Domain";"Domain"
"Domain name";"Domain name"
"Don't order:";"Sipariş etme:"
"Download";"İndir"
"Download last build";"Son kurguyu indir"
"Download latest";"Sonuncuyu indir"
"Download our app previewer";"App önizleyicimizi indir"
"Download your QRCode";"QR kodunu indir"
"Drop your certificate here";"Sertifikanızı buraya sürükleyin"
"Dynamic: percentage";"Dinamik: yüzde"
"E-mail";"E-posta"
"Edit";"Düzenle"
"Edit my";"Düzenle"
"Edit place";"Yeri düzenle"
"Edit the application ""%s""";"""%s"" uygulamasını Düzenle"
"Edit the application %s";"%s uygulamasını düzenle"
"Editor";"Editör"
"Education";"Eğitim"
"Enable Offline content ?";"Çevrimdışı içeriğe izin ver"
"Enable custom SMTP";"Özel SMTP'ye izin ver"
"Enable search filters:";"Arama filtrelerine izin ver:"
"Enter your AdMob ID for each platform.";"Her bir platform için AdMob kimliği girin."
"Enter your Facebook page";"Facebook sayfanızı girin"
"Entertainment";"Eğlence"
"Event";"Etkinlik"
"Events";"Etkinlikler"
"Export";"Çıkar"
"Export App & Selected features.";"Uygulamayı ve seçili özellikleri dışa aktar"
"Export as global Template";"Global Template olarak dışa aktar"
"Export your application to a re-usable template & share it across Apps & Platforms.";"Uygulamanızı yeniden kullanılabilir bir şablona aktarın ve Uygulamalar & Platformlar üzerinden paylaşın."
"Extension not allowed, '%s' only";"Uzatma mümkün değil, yanlızca '%s'"
"Facebook";"Facebook"
"Facebook API Keys";"Facebook API Anahtarları"
"Facebook API settings";"Facebook API ayarları"
"Feature icons";"Özellik ikonları"
"Features";"Özellikler"
"Features Access Settings";"Özellikler erişim ayarları"
"Fetching data from Facebook and creating your features. It can take a while, be patient!";"Facebook'tan veri alınıyor ve özellikleriniz oluşturuluyor. Zaman alabilir. Lütfen bekleyin."
"Fidelity points";"Sadakat puanları"
"Fidelity points rate";"Uygunluk puan oranı."
"Filter";"Filtre"
"Finance";"Finans"
"Fixed: pixels";"Düzeltildi: pikseller"
"Flickr API key";"Flickr API anahtarı"
"Flickr API secret";"Flickr API Secret"
"Flickr API settings";"Flickr API ayarları"
"Font-size";"Yazı boyutu"
"Food & Drink";"Yiyecek & İçecek"
"Form has the following errors";"Formda aşağıdaki hatalar var."
"Fred W.";"NKT"
"Free until %s";"%s e kadar serbest"
"Front";"Ön"
"Games";"Oyunlar"
"General Information";"Genel Bilgi"
"General Settings";"Genel ayarlar."
"General information";"Genel Bilgi"
"Generate";"Üret"
"Generate APK";"APK üret."
"Generate Android APK";"Android APK üret."
"Generate analytics for given period";"Verilen süreden önce analytics üret."
"Generate analytics for the current day";"Bu güne analiz üret"
"Generate and Publish";"Üret ve yayınla."
"Generate and publish iOS Application";"iOS uygulaması üret ve yayınla"
"Generate builds";"Kurgu üret"
"Generate source";"Kaynak üret."
"Generate the source code";"Kaynak kodu üret"
"Generation cancelled.";"Üretim iptal edildi."
"Generation successfully queued.";"Üretim başarıyla tamamlandı."
"Global visits";"Global ziyaretler"
"Go to first images on loop";"Loop'taki ilk görsele git."
"Google Maps JavaScript API Key";"Google Haritalar JavaScript API Key"
"Google Play Icon";"Google Play Ikonu"
"Google's Information";"Google'ın Bilgisi"
"Header";"Header"
"Health & Fitness";"Sağlık & Fitness"
"Here is our latest creation. What do you think?";"Son kreasyonumuz,ne düşünüyorsunuz?"
"Hidden";"Gizli"
"Hide Android status bar";"Android durum çubuğunu gizle"
"Hide iOS status bar";"iOS durum çubuğunu gizle."
"Homepage preview";"Anasayfa önizleme"
"Homepage slider options";"Ana sayfa kaydırma butonu ayarları"
"I don't have a Google developer account and I want to create one";"Google geliştirici hesabım yok ve bir tane oluşturmak istiyorum"
"I don't have an Apple developer account and I want to create one";"Apple geliştirici hesabım yok ve bir tane oluşturmak istiyorum"
"I have an Apple developer account";"Apple geliştirici hesabım var"
"I have an Google developer account";"Google geliştirici hesabım var"
"I let you publish my application under your Apple developer account";"Uygulamamı Apple geliştiri hesabınız altında yayınlamanıza izin veriyorum"
"I let you publish my application under your Google developer account";"Uygulamamı Google geliştiri hesabınız altında yayınlamanıza izin veriyorum"
"Icon";"İkon"
"Icons";"İkonlar"
"Icons & Images";"İkonlar ve görseller"
"Id";"Id"
"If a feature is not listed, it yet can't be exported.";"Özellik listelenmemişse dışarı aktarılamaz."
"If you decide to change the slider size, all images will be dropped. Are you sure ?";"Slider boyutunu değiştirirseniz tüm görseller kaybolacak. Emin misiniz?"
"If you validate, your app's colors and background image will be replaced";"Eğer doğrularsanız, uygulamanızın renkleri ve arka plan görüntüsü değişecek"
"If you want to change the push icon, you <b>must re-publish</b> the application";"Push ikonunu değiştirmek istiyorsanız,  uygulamanızı <b>yeniden yayınlamanız gerekir</b>"
"If your app is already published on the stores, be sure you have sent an update with the Ionic version, and that this update has already been accepted, otherwise your app may be broken.";"Uygulamanız mağazada yayınlandıysa Ionic versiyonuyla güncelleme gönderdiğinizden ve bu güncellemenin kabul edildiğinden emin olun. Aksi takdirde uygulamanız bozulabilir."
"If your app is already published, changing the URL key or domain will break it. You will have to republish it. Change it anyway?";"Eğer uygulamanızı yayınladıysanız URL anahtarı veya domain değiştirdiğinizde yeniden yayınlamak zorunda kalacaksınız. Değiştirilsin mi?"
"If your app is already published, changing the domain will break it. You will have to republish it. Change it anyway?";"Eğer uygulamanızı yayınladıysanız domain değiştirdiğinizde yeniden yayınlamak zorunda kalacaksınız. Değiştirilsin mi?"
"If your messages do not comply with App Store Review Guidelines, %s, your app might be possibly refused after Apple's review.";"İletileriniz App Store Review Guidelines ile uyumlu değilse, %s, Apple'ın incelemesi sonrasında uygulamanız reddedilebilir."
"Image size";"Görsel boyutu"
"Images";"Görseller"
"Images height";"Görsek yüksekliği"
"Import / Export";"Ekle / Çıkar"
"Import an application template or a single feature.";"Bir uygulama şablonunu veya tek bir özelliği içe aktarın."
"Import features from Facebook";"Özellikleri Facebook'tan aktar"
"Import zip or yml";"Zip ya da yml içe aktar"
"Imported features";"Alınan özellikler"
"In case you have a main domain containing numbers you can change here the base for your App identifiers.";"Numaralar içeren ana alanınız vıcılarınızarsa, burada Uygulama tanımlayın base'ini değiştirebilirsiniz."
"In order to help you start your application, we can retrieve some data from Facebook.";"Uygulamanıza başlamanıza yardımcı olmak için Facebook'tan bazı verileri alabiliriz."
"In order to insert a promote banner for your application on your site, please follow those steps:";"Sitenizde uygulamanızı tanıtmak üzere ekleyeceğiniz banner için lütfen aşağıdaki adımları takip edin:"
"In-App Messages";"Uygulama içi mesajlar"
"In-app links";"Uygulama için linkler"
"Info successfully saved";"Info başarıyla kaydedildi"
"Input your SCSS here, save to validate & preview";"SCSS'inizi buraya koyun, doğrulama & önizlemeye kaydedin"
"Insert";"Ekle"
"Insert & close";"Ekle & kapat"
"Instagram API Keys";"Instagram API anahtarları"
"Instagram API settings";"Instagram API ayarları"
"Installed application";"Yüklenmiş uygulamalar"
"Installer";"Installer"
"Integration";"İntegrasyon"
"Invalid period, end date is before start date.";"Geçersiz süre, bitiş tarihi başlangıç tarihinden önce."
"Invalid version";"Geçersiz versiyon"
"Job";"İş"
"Key Password";"Anahtar şifre"
"Keywords";"Anahtar Kelimeler"
"Label";"Etiket"
"Landscape Left";"Yatay sol"
"Landscape Right";"Yatay Sağ"
"Language";"Dil"
"Languages";"Diller"
"Last name:";"Soyad:"
"Latitude";"Genişlik"
"Layout options";"Layout ayarları"
"Left";"Sol"
"Left position";"Sol konum"
"Library icons";"Kütüphane ikonları"
"License key";"Lisans anahtarı"
"Lifestyle";"Yaşam Tarzı"
"Line-height";"Satır yüksekliği"
"List of my applications";"Uygulamalarımın listesi"
"List of your applications";"Uygulamalarının listesi"
"Loading";"Yükleniyor"
"Lock the entire application";"Uygulamayı kilitleyin"
"Longitude";"Boylam"
"Loop features";"Loop özellikleri"
"Loop over images";"Görselleri loop yap"
"Love it <3";"Beğen <3"
"Lower case";"Küçük harf"
"LoyaltyCard";"Sadakat kartı"
"Main";"Ana"
"Manage Access";"Erişimi düzenle"
"Manage Admins access feature by feature.";"Admin erişimini her bir özelliğe göre düzenleyin."
"Manage Companies";"Şirketleri Yönet"
"Manage icons";"İkonları yönetin"
"Manage your app's features";"Uygulamanın özelliklerini yönet"
"Mcommerce";"M-ticaret"
"Media";"Media"
"Medical";"Tıbbi"
"Menu-position";"Menü pozisyonlu"
"Message";"Mesaj"
"Message for both the two previous usages.";"Önceki her iki kullanım için mesaj."
"Misc";"Mısc"
"Missing Information";"Eksik bilgi"
"Missing parameters for cancellation.";"İptal etme için eksik parametre."
"Mobile Source Codes";"Mobil Kaynak Kodları"
"Mobile source codes";"Mobil Kaynak Kodları"
"Mobile website information";"Mobil web sitesi bilgileri"
"Monetization";"Kazanç kaynağı haline getirme"
"Monetize my app using AdMob?";"AdMob kullanarak uygulamadan para kazan"
"Monetize your app";"Uygulamanızdan para kazanın"
"My Invoices";"Faturalarım"
"My QRCode";"QRKodum"
"My application in figures";"Rakamlarla Benim uygulamam"
"Name";"İsim"
"Navigation";"Navigasyon"
"News";"Haberler"
"Next";"Sonraki"
"No";"Hayır"
"No Facebook page? You can";"Facebook sayfası yok mu? Oluşturabilirsiniz"
"No account for now.";"Şu an için hesap yok."
"No data found";"Veri bulunamadı"
"No features available for this application.";"Bu uygulama için uygun bir özellik yok."
"No message sent, there is no available applications.";"Gönderilen mesaj yok, mevcut uygulama yok."
"No options available.";"Mevcut ayar yok."
"Not available offline.";"Çevrimışı erişilebilir değil."
"Note that if you want to add ads later, you will have to publish the app again.";"Daha sonra reklam ekleyecekseniz belirtin. Uygulamayı tekrar yayınlamanız gerekecek."
"Nothing to show for now.";"Şu an gösterilecek bir şey yok."
"Notification center";"Bildirim merkezi"
"Off";"Kapalı"
"Offset";"Düz"
"On!";"on"
"One free coffee";"Bir ücretsiz kahve"
"Option successfully saved";"Ayar başarıyla kaydedildi."
"Options";"Ayarlar"
"Options saved";"Ayarlar kaydedildi"
"Or go on your store<br />and look for ""Apps Company Previewer""";"Ya da mağzanızda gidin <br />""Uygulamalar şirket önizleyicisi"" de arayın"
"Or go on your store<br />and look for 'Apps Company Previewer'";"Ya da mağazanıza gidin  ve <br /> 'Uygulamalar Şirket Önizleyicisi'ni arayın"
"Order places";"Yerleri düzenle"
"Order places by distance:";"Yerleri mesafelere göre sırala:"
"Order results alphebetically:";"Sonuçları alfabetik olarak sırala:"
"Orientations saved!";"Oryantasyon kaydedildi."
"Other";"Diğer"
"Package Name";"Paket adı"
"Page name:";"Sayfa adı"
"Partially available offline.";"Kısmen çevrimdışı kullanılabilir."
"Percentage of returning customers";"Geri dönen müşterilerin yüzdesi"
"Period to long, please select less than one month.";"Süre çok uzun, lütfen bir aydan daha kısa bir süre seçin."
"Permissions Modal Alerts messages describe why your apps requires some permissions,";"İzinler Modal Uyarı mesajları, uygulamalarınızın neden bazı izinler gerektirdiğini açıklar."
"Photo & Video";"Poto & Video"
"Places";"Yerler"
"Please check your messages before sending your app to be published, specifically if you are using iOS Auto publish service: if your app is refused after review, one build will be consumed.";"Uygulamanızı yayınlanmadan önce, özellikle iOS Otomatik yayınlama hizmetini kullanıyorsanız iletilerinizi kontrol edin: Uygulamanız incelenmeden sonra reddedilirse, bir build* tüketilecektir."
"Please enter a correct URL for the %s store";"Lütfen %s mağzası için doğru URL'yi girin"
"Please enter a number for the duration.";"Lütfen süre için bir sayı girin."
"Please enter a subdomain.";"Lütfen bir subdomain girin."
"Please enter a valid URL";"Lütfen geçerli bir URL girin"
"Please enter a valid address";"Lütfen geçerli bir adres girin"
"Please enter a valid mobile website address.";"Geçerli bir mobil web sitesi adresi girin."
"Please fill iTunes Connect Identifier.";"Lütfen iTunes Connect tanımlayıcıyı doldurun."
"Please note that AAC+ streams aren't managed yet on Firefox browser, but it will work well in the app.";"Lütfen AAC+ streamlerinin Firefox'ta henüz düzenlenmediğini not edin. Ancak uygulamada doğru çalışacaktır."
"Please select at least one language.";"Lütfen en az bir dil seçin."
"Please wait while we generate application source.";"Lütfen uygulama kaynağı üretilirken bekleyin"
"Port";"Bağlantı noktası"
"Portrait";"Dikey"
"Preset";"Ön ayar"
"Preview";"Önizleme"
"Preview and test your native apps directly on your mobile.";"Mobil cihazınızda uygulamanıza önizleme yapın ve test edin."
"Preview on your phone";"Telefonunuzda önizleme yapın."
"Privacy policy URL";"Gizlilik politikası"
"Proceed to checkout before downloading the source code.";"Kaynak kodunu indirmeden önce ödeme işlemine devam edin."
"Productivity";"Üretkenlik"
"Promote";"Destekle"
"Promote your app!";"Uygulamanı tanıt!"
"Promotion";"Tanıtım"
"Publication";"Yayın"
"Publish automatically to iTunes Connect";"iTunes Connect'te otomatik olarak yayınla"
"Publish the application";"Uygulamayı yayınla"
"Publish under our account";"Hesabımız altında yayınla"
"QR Coupons";"QR Kuponları"
"Ready ? Publish my app!";"Hazır?Uygulamamı yayınla!"
"Recommanded size:";"Gerekli boyut:"
"Recommended size:";"Önerilen boyut"
"Reference";"Referans"
"Remaining build";"Kalan kurgu"
"Remaining builds";"Kalan kurgular"
"Remove this page from this folder?";"Bu sayfa bu dosyadan kaldırsın mı?"
"Reset";"Yenile"
"Return to current feature";"Mevcut özelliğe geri dön."
"Right";"Sağ"
"Right position";"Doğru konum"
"Rss";"Rss"
"SMTP Configuration";"STMP Konfigürasyonu"
"SSL";"SSL"
"Save";"Kaydet"
"Save publication settings";"Yayınlama ayarlarını kaydet"
"Scan this QR Code";"QR Kodu tara"
"Scan this QR Code:";"QR Kodu tara:"
"Search by keywords ...";"Anahtar kelimelerle ara"
"Search filters & Options";"Arama filtreleri ve seçenekler"
"Search radius";"Arama yarıçapı"
"Search settings";"Arama ayarları"
"Secondary category";"İkincil Kategori"
"Secondary category<br />(Optional)";"İkincil Kategori</br>(Zorunlu değil)"
"Secret Key";"Secret Key"
"Send here your iOS certificate to enable the push notifications for this application.";"Bu uygulama için push bildirimlerini etkinleştirmek için buradan iOS sertifikası gönder."
"Send request";"Talep gönder"
"Send you .pem certificate";".pem sertifikayı gönder"
"Sender name/e-mail";"Gönderici adı/e-postası"
"Sender name/e-mail & Custom SMTP";"Gönderici adı/e-postası & Özel STMP"
"Server";"Server"
"Show";"Göster"
"Show the applications waiting for publication only.";"Sadece yayın için bekleyen uygulamaları göster."
"Sidebar width";"Kenar çubuğu genişliği"
"Slider";"Kaydırma butonu"
"Slider height";"Kaydırma alanı yüksekliği"
"Slider images duration, in seconds:";"Saniye olarak kaydırma alanı görsel süreleri:"
"Slideshow duration";"Slayt gösterisi süresi"
"Social";"Sosyal"
"Social Networking";"Sosyal Ağ"
"Social Sharing";"Sosyal paylaşım"
"Socialgaming";"Sosyal oyun"
"Sorry, an error occurred while fetching data from Facebook. Please contact an admin.";"Facebook'tan veri aktarılırken sorun oluştu. Lütfen bir yönetici ile iletişime geçin."
"Sorry, it seems that Facebook credentials are invalid. Please contact an administrator.";"Üzgünüz, Facebook kimliği geçersiz görünüyor. Lütfen bir yöneticiyle iletişime geçin."
"Sorry, no data was found for this page. Maybe you used the wrong page id?";"Üzgünüz, bu sayfa için veri bulunamadı. Yanlış sayfa kimliği kullanmış olabilir misiniz?"
"Sorry, we need a page id.";"Üzgünüz, bir sayfa ID'sine ihtiyacımız var."
"Source type";"Kaynak türü"
"Sourcecode";"Kaynak kodu"
"Specifies the reason for your app to access the device's accelerometer.";"Uygulamanın neden cihazın ivme ölçer'İne erişim istediğini belirtir"
"Specifies the reason for your app to access the device's camera.";"Uygulamanızın neden cihazın kamerasına erişimi olduğunu belirtir."
"Specifies the reason for your app to access the user's location information at all times.";"Uygulamanızın kullanıcının konum bilgilerine her zaman erişebilmesi için nedenini belirtir."
"Specifies the reason for your app to access the user's photo library.";"Uygulamanızın kullanıcının fotoğraf kitaplığına erişme nedenini belirtir"
"Specifies the reason for your app to access the user’s location information while your app is in use.";"Uygulamanız kullanılırken neden kullanıcının konumuna erişim olduğunu belirtir."
"Sports";"Sporlar"
"Square icons";"Kare ikonlar"
"Startup image";"Başlangıç görüntüsü"
"Status";"Statü"
"Status bar";"Durum çubuğu"
"Store App ID";"Mağaza uygulama kimliği"
"Store Password";"Mağza Şifresi"
"Store URL";"Mağza URL si"
"Stores Info";"Mağza bilgisi"
"Stores URL";"Mağaza URL'i"
"Stretch";"Esnet"
"Subheader";"Alt başlık"
"Subtitle:";"Altyazı:"
"Success.";"Başarılı."
"System";"Sistem"
"Tabbar";"Sekme çubuğu"
"Tags";"Etiketler"
"Tags separated by commas";"Virgülle ayrılmış etiketler"
"Template";"Şablon"
"Template description";"Şablon açıklaması"
"Template name";"Şablon adı"
"Template preview";"Şablon önizleme"
"Template version";"Şablon versiyonu"
"Terms & Conditions";"Hüküm ve Koşullar"
"The Bundle Id is required";"Paket Id gerekli"
"The QR Code is not available at this moment";"QR Kodu şu an için uygun değil"
"The White-label you are trying to edit doesn't exists.";"Düzenlemeye çalıştığınız white label mevcut değil"
"The application has been successfully saved";"Uygulama başarıyla kaydedildi"
"The application name";"Uygulama adı"
"The application's name cannot start with a number";"Uygulama adı numara ile başlayamaz"
"The bundle id";"Paket kimliği"
"The description";"Açıklama"
"The description must be at least 200 characters";"Açıklama en az 200 karekter içermeli"
"The desktop icon";"Desktop ikonu"
"The entered bundle id is incorrect, it should be like: com.nwicodecms.app";"Girilen paket kimliği yanlış, com.turkapp.appo gibi olmalı"
"The field is required";"Bu alan zorunlu"
"The file has been successfully uploaded";"Dosya başarıyla yüklendi"
"The following information are needed to download the source codes:<br />";"Aşağıdaki bilgiler kaynak kodlarını indirmek için gereklidir: <br />"
"The homepage image";"Ana sayfa resmi"
"The key cannot be empty.";"Anahtar boş bırakılamaz."
"The key is already used by another application.";"Anahtar başka bir uygulama için kullanılmıştır"
"The keywords";"Anahtar Kelimeler"
"The main category";"Ana kategori"
"The startup image";"Başlangıç resmi"
"This application does not exist";"Bu uygulama mevcut değil"
"This application is no longer available";"Bu uygulama artık mevcut değil."
"This application is visible on the front";"Bu uygulama görülür durumda"
"This key is already used by system features.";"Bu anahtar zaten sistem özellikleri tarafından kullanılıyor."
