"%d Unread Message";"%d Okunmamış mesaj"
"Cache (var/cache, system cache)";"(Var/cache sistemi cache)önbellek "
"Cache cleared";"Cache temizlendi"
"Can generate APK";"APK üretebilir"
"Cert";"Sertf"
"Certificate";"Sertifika"
"Certificate is valid and SSL is reachable, valid until: %s.<br />Issuer: %s%s";"Sertifika geçerli ve SSL'ye erişilebilir, şu tarihe kadar geçerlidir:% s. <br /> İhraç eden:%s %s"
"Certificate path:";"Sertifika yolu:"
"Certificate successfully generated.";"Sertifika başarıyla üretildi."
"Certificate successfully generated. Please wait while %s is reloading configuration ...";"Sertifika başarıyla oluşturuldu. Lütfen %s yapılandırmayı yeniden yüklerken bekleyin..."
"Certificate successfully re-generated.";"Sertifika başarıyla yeniden üretildi."
"Change the password";"Şifreyi değiştir"
"Check if this cron command is installed under the web user & if you have set a timezone in Settings > General";"Cron komutu web kullanıcısının altında yüklüyse ve Ayarlar > Genel’de saat diliminizi ayarladıysanız kontrol edin"
"Clear";"Temizle"
"Clear cache";"Cache temizle"
"Clear logs";"Logları temizle"
"Cleared cron errors.";"Cron hataları giderildi."
"Click here to send your CA certificate";"CA sertifikanızı göndermek için buraya tıklayın"
"Click here to send your Private certificate";"Özel sertifika göndermek için buraya tıklayın"
"Click here to send your certificate";"Sertifikanızı göndermek için buraya tıklayın"
"Click to mark as not read";"Okunmamış olarak işaretle"
"Click to mark as read";"Okunmuş olarak işaretle"
"Closed";"Kapalı"
"Complete build log";"Kurgu log'unu tamamla"
"Configuration";"Konfigürasyon"
"Configuration successfully saved";"Yapılandırma başarıyla tamamlandı"
"Core modules";"Çekirdek modüller"
"Create a user";"Yeni kullanıcı oluştur"
"Created At";"Oluşturuldu"
"Creation date";"Oluşturma tarihi"
"Cron";"Cron"
"Cron alerts";"Cron alarmlaı"
"Cron interval";"Cron aralığı"
"Cron scheduler";"Cron planlayıcısı"
"Cron scheduler help";"Cron planlayıcı yardım"
"Custom SMTP Configuration";"Özel STMP Yapılandırması"
"Day of month";"Ayın günü"
"Day of week";"Haftanın günü"
"Deactivate user";"Aktif olmayan kullancı"
"Default (no)";"Default (hayır)"
"Development";"Geliştirme"
"DirectAdmin";"DirectAdmin"
"DirectAdmin (beta)";"DirectAdmin (beta)"
"Disable cron jobs";"Cron işlerini devredışı bırak"
"Disabled";"Engellendi"
"Disk usage & Cache:";"Disk kullanımı ve Cache:"
"Dismiss & install later";"Kapat ve daha sonra yükle"
"Display";"Göster"
"Doesn't meet the requirements";"Gereklilikleri karşılamıyor."
"Download latest source";"En son kaynağı indir"
"Drop your certificate here";"Sertifikanızı buraya bırakın"
"Edit the account \"%s\"";"\"%s\" hesabını düzenle"
"Edit the user";"Kullanıcı düzenle"
"Editor's Design";"Editörün tasarımı"
"Enable custom SMTP configuration";"Özel SMTP yapılandırmasını etkinleştir"
"Enter your credentials:";"Kimlik bilgilerinizi girin:"
"Environment";"Çevre"
"Error, order already paid.";"Hata, sipariş daha önce ödendi."
"Errors are displayed on page, outputs are more verbose, this is an option for debug purpose, use with care as it may output some critical informations about your server.";"Hata sayfasında görüntülenir, çıkışları daha ayrıntılı olup, bu hata ayıklama amacı, sunucunuz ilgili önemli bilgiler çıktı bile kullanmak için bir seçenek yoktur."
"Exists";"Mevcut"
"External extensions";"Dış uzantılar"
"Failed";"Başarısız"
"File hash is different from manifest.";"Dosya karma manifest'ten farklı."
"File is missing.";"Dosya eksik."
"Force re-generation";"Yeniden üretmeyi zorla"
"Forgot password";"Parolamı unuttum"
"Full";"Dolu"
"Full path to use within your webserver.";"Web sunucunuzda kullanmak için tam yol."
"General settings";"Genel ayarlar"
"Generate";"Üret"
"Generate a certificate via Let's Encrypt.";"Let's Encyript üzerinden sertifika üretin"
"Generate source";"Kaynak üret"
"Generating";"Üretiliyor"
"Grant user";"Kullanıcı ver"
"HTTP Basic Auth (API)";"HTTP Temel Yetkisi (API)"
"HTTP Basic Auth is valid.";"HTTP Temel Yetki geçerli."
"HTTPS & SSL Certificates";"HTTPS & SSL Sertifikaları"
"HTTPS host is unreachable.";"HTTPS host'u ulaşılabilir değil."
"HTTPS is not available on your server.";"HTTPS sunucunuzda mevcut değil."
"HTTPS not reachable";"HTTPS ulaşılabilir değil"
"HTTPS support is in <b>Beta</b>, you should test it on your <b>development server</b> first & prepare for further migration.";"HTTPS desteği <b> Beta </ b> ’da, önce <b> geliştirme sunucunuzda </ b> test etmeli ve daha fazla geçiş için hazırlamalısınız."
"HTTPS support is in test, you should only try it on your development server prior to prepare for further migration.";"HTTPS desteği test aşamasındadır, daha fazla geçiş için hazırlanmadan önce bunu yalnızca geliştirme sunucunuzda denemeniz gerekir."
"Hide";"Gizle"
"Host";"Sunucu"
"Hostname";"Sunucu ismi"
"Hostnames associated with this Certificate";"Bu sertifika ile ilişkili sunucu adları"
"Hour";"Saat"
"ID";"Kimlik"
"If inactive, your customer won't see the tour.";"Aktif değilse müşteriniz turu görüntüleyemeyecek."
"If you are unable to install or run the cronjob on your hosting/server you can disable it.";"Eğer cronjob'i sunucu/server'ınıza yükleyemiyorsanız veya çalıştıramazsanız, devre dışı bırakabilirsiniz."
"Info";"Bilgi"
"Installed";"Yüklendi"
"Installed icon packs";"Yüklenmiş ikon paketleri"
"Installed layouts";"Yüklenmiş layoutlar"
"Installed modules";"Yüklenmiş modüller"
"Installed, version";"Yüklendi, versiyon,"
"Integrity check";"Bütünlük denetimi"
"Invoice options";"Fatura ayarları"
"Issued certificates";"Verilen sertifikalar"
"JAVA:";"JAVA"
"Last cron error";"Son cron hatası"
"Last failure";"Son hata"
"Last success";"Son başarı"
"Last trigger";"Son tetikleyici"
"Let's Encrypt certificates renewal";"Sertifika yenileme işlemlerini şifreleyelim"
"Let's Encrypt environment";"Hadi Şifrelemek ortamı"
"Link preview";"Link önizleme"
"List of backoffice accounts";"Backofis kullanıcıları listesi"
"List of the messages";"Mesajlar listesi"
"Loaded";"Yüklendi"
"Log";"Günlük"
"Log (var/log, log files)";"Günlük (var/log, log dosyaları)"
"Login to your backoffice interface";"Backofis arabirimine giriş"
"Logs cleared.";"Kayıtlar temizlendi"
"Mark all as read";"Tamamını okundu olarak işaretle."
"Mark as new";"Yeni olarak işaretle"
"Mark as read";"Okundu olarak işaretle"
"Messages";"Mesajlar"
"Minute";"Dakika"
"Missing parameters for generation.";"Üretim için eksik parametreler"
"Mobile Source Codes & Builds";"Mobil Üretim Kodları & Kurgular"
"Module/User tasks";"Modül/kullanıcı görevleri"
"Month";"Ay"
"My Invoices";"Faturalar"
"My tour is active";"Turum aktif"
"Name";"İsim"
"New messages";"Yeni mesajlar"
"New users";"Yeni kullanıcılar"
"No";"Hayır"
"No file has been sent";"Hiçbir dosya gönderilmedi."
"No icon packs";"İkon paketi yok."
"No informations.";"Bilgi yok."
"No layouts";"Layout yok"
"No module/user tasks";"Modül/kullanıcı görevi yok"
"No system tasks";"Sistem görevi yok."
"None";"Hiçbiri"
"Not found";"Bulunamadı"
"Not running";"Çalışmıyor."
"Not yet generated.";"Henüz üretilmedi."
"Note:";"Not:"
"Note: Let's encrypt X1 is a staging certificate.";"Not: X1 şifreleyelim; kademelenme sertifikası."
"Number of typed characters:";"Yazılan karakter sayısı"
"OR";"OR"
"Ok";"Tamam"
"Ok, you may consider upgrade to >=5.4";"Tamam,> = 5.4’e yükseltebilirsiniz."
"Ok, you may upgrade to php 5.6";"Tamam, php 5.6'ya yükseltebilirsiniz"
"One of the three given Certificates path is not readable, please make sure they have the good rights.";"Verilen üç Sertifika yolundan biri okunamaz, lütfen iyi haklara sahip olduklarından emin olun."
"Open";"Açık"
"Open the tour editing mode";"Tur düzenleme modunu aç"
"Optional binaries";"İsteğe bağlı ikili"
"Optional libraries";"İsteğe bağlı kütüphaneler"
"Otherwise install it manually, from your panel, or directly from your ssh access.";"Ya da panalden veya doğrudan ssh erişiminizden manuel olarak yükleyin."
"Overview - WebApp (var/apps/browser, overview & webapp cache)";"(Var/apps/Tarayıcı, Genel Bakış & web önbellek)genel bakış - Web "
"Overview cache cleared.";"Genel bakış cache'si temizlendi"
"PEM test:";"PEM test:"
"PHP version %s:";"PHP versiyonu %s:"
"Password";"Parola"
"Path to your CA certificate";"Sertifikanıza yol"
"Path to your Certificate";"Sertifikanıza yol"
"Path to your Private certificate";"Özel sertifikaya yolunuz"
"Path to your Private key";"Özel anahtara yol"
"Payment received";"Ödeme alındı"
"People who are allowed to access the backoffice";"Backofis kullanmasına izin verilenler"
"Permission, denied from Plesk, please use the admin account.";"İzin, Plesk'den reddedildi, lütfen yönetici hesabını kullanın."
"Plesk";"Plesk"
"Plesk 12+";"Plesk 12+"
"Port";"Giriş/Bağlantı noktası"
"Preview 5.0";"Ön izleme 5.0"
"Privacy policy URL";"Gizlilik Politikası URL'i"
"Private";"Özel"
"Private certificate";"Özel sertifika"
"Private path:";"Özel yol:"
"Production";"Üretim"
"Progress";"İlerleme"
"Publication access type";"Yayınlama erişim türü"
"Push messages:";"Push mesajları"
"Queued";"Sıraya alındı"
"Queued %s/%s";"%s/%s sıraya alındı"
"Read";"Oku"
"Rebuild";"Yeniden kurgula"
"Rebuild manifest";"Tekrar manifest kurgula"
"Rebuilding application manifest files.";"Uygulama manifest dosyalarını yeniden oluşturma."
"Regular updates system";"Düzenli güncellem sistemi"
"Remove locks";"Kilitleri kaldır"
"Remove locks now";"Kilitleri limdi kaldır"
"Removing CRON Scheduler lock files.";"CRON Scheduler kilit dosyalarını kaldırma."
"Removing domains: %s";"Alan adları kaldırılıyor: %s"
"Request";"Talep"
"Request the certificate via Let's Encrypt.";"Sertifikayı Let's Encrypt üzerinden isteyin."
"Required extensions";"Gerekli uzantılar"
"Revoke user";"Kullanıcıyı iptal et"
"Run test";"Testi çalıştır"
"SSL";"SSL"
"Sales";"Satış"
"Sales configuration";"Satış konfigürasyonu"
"Save";"Kaydet"
"Select API access";"API erişimi seçin"
"Select a panel type or self-managed";"Bir panel türü veya self-managed türü seçin"
"Self-managed";"Kendi yöneten"
"Self-managed sync is not available for now.";"Kendi yöneten senkronizasyon şimdilik mevcut değil."
"Send anonymous statistics to improve the apps builder.";"Uygulama oluşturucuyu geliştirmek için anonim istatistikler gönderin."
"Server";"Sunucu"
"Services";"Servisler"
"Show All Applications";"Tüm uygulamaları göster"
"Show more";"Daha fazla göster"
"Nwicode - Backoffice";"Nwicode - Backoffice"
"Nwicode CMS";"Nwicode CMS"
"Something went wrong with the API Sync to %s, retry or check in your panel if your SSL certificate is correctly setup.";"API Senkronizasyonu ile % s arasındaki bir sorun oluştu, SSL sertifikanız doğru bir şekilde ayarlanmışsa panelinizi yeniden deneyin veya kontrol edin."
"Source";"Kaynak"
"Source Queue empty";"Kaynak sırası boş"
"Source Queue status";"Kaynak Sıra Durumu"
"Sources code";"Kaynak kodu"
"Stable";"Stabil"
"Staging";"Kademelendirme"
"Start editing your platform tour";"Platform turunuzu düzenlemeye başlayın"
"Statistics";"İstatistikler"
"Statistics are used to improve the platform and help understanding usage of the apps builder.";"İstatistikler platformu geliştirmek ve uygulama oluşturucunun kullanımını anlamada yardımcı olmak için kullanılır."
"Status";"Durum"
"Submit a bug report or improvement request for beta/preview";"Beta/önizleme için bir hata raporu veya iyileştirme isteği gönderin"
"Success";"Başarılı"
"Successfully cleaned-up old certificate.";"Eski sertifika başarıyla kaldırıldı."
"Successfully installed new certificate.";"Yeni sertifika başarıyla yüklendi."
"Successfully removed the certificate.";"Sertifika başarıyla kaldırıldı."
"Successfully saved Certificate to %s";"Sertifika başarıyla %s e kaydedildi."
"Sync files";"Senkronize dosyalar"
"System Diagnostic";"Sistem Tanısı"
"System tasks";"Sistem görevleri"
"System was unable to validate any Bearer Token Auth call.";"Sistem herhangi bir Bearer Token Auth çağrısını doğrulayamadı."
"System was unable to validate any HTTP Basic Auth call.";"Sistem, herhangi bir HTTP Temel Kimlik Doğrulama çağrısını doğrulayamadı."
"Temp (var/tmp, application sources & apk)";"Temp (var/tmp, uygulama kaynakları & apk)"
"Templates";"Şablonlar"
"Test SSL/HTTPS";"SSL/HTTPS'i test et"
"Testing: %s";"Test ediliyor: %s"
"The PHP executable guessed path <b>'%s'</b> may be incorrect, please double check for it.";"PHP çalıştırılabilir tahmin edilen yol <b>'%s'</b> yanlış olabilir, lütfen bunun için iki kez kontrol edin."
"The default setting to run your production server.";"Üretim sunucunuzu çalıştırmak için varsayılan ayar."
"The domain %s doesn't belong to you, or is not configured on your server.";"%s domaini size ait değil veya server'ınızda yapılandırılmamış."
"The given CA certificate doesn't match the hostname.";"Verilen CA sertifikası, sunucu adıyla eşleşmiyor."
"The given certificate doesn't match the hostname or wiSibldcard.";"Verilen sertifika, hostname veya wiSibldcard ile eşleşmiyor."
"The given certificate doesn't match the hostname.";"Verilen sertifika sunucu adıyla eşleşmiyor."
"This account can't be deleted, it's the only one";"Bu hesap silinemez"
"This action mainly serves as a development & support purpose<br />This will restore App sources 'iOS', 'Android', 'HTML5' & 'Overview' from the latest Nwicode version, then rebuild the manifest to restore installed modules.";"Bu eylem temel olarak bir geliştirme ve destek amacıyla işlev görür. <br /> Bu, en son Nwicode sürümünden uygulama kaynakları 'iOS', 'Android', 'HTML5' ve 'Genel Bakış'ı geri yükler, ardından yüklenen modülleri iyileştirmek için manifest'i yeniden oluşturur."
"This e-mail address must be reachable, as you will receive important e-mails from the system & user actions.";"Sistem ve kullanıcı işlemlerinden önemli e-postalar alacağınız için bu e-posta adresi erişilebilir olmalıdır."
"This message will be displayed as a waiting message when your users chose an offline payment method";"Kullanıcılarınız çevrimdışı ödeme yöntemi seçtiğinde bu mesaj bir bekleme mesajı olarak görüntülenir."
"This message will be displayed as an information message to describe which offline payment method you offer";"Bu mesaj, sunduğunuz çevrimdışı ödeme yöntemini tanımlamak için bir bilgi mesajı olarak görüntülenir."
"This test is for development & support usage, this only highlights potential missing and/or modified files, results need to be interpreted.";"Bu test geliştirme ve destek kullanımı içindir, sadece potansiyel eksik ve/veya değiştirilmiş dosyaları gösterir, sonuçlar yorumlanmalıdır."
"Tools";"Araçlar"
"Total sales";"Toplam satış"
"Total usage:";"Toplam kullanım:"
"Tour settings";"Tur ayarları"
"Tour status";"Tur statüsü"
"Tour status successfully saved.";"Tur başarıyla kaydedildi."
"UID";"UİD"
"Unable to connect in HTTPS or to validate the SSL Certificate.<br />Check if your are not in `Staging`";"HTTPS'ye bağlanılamıyor veya SSL Sertifikasını doğrulamıyor. <br/> \"Staging\"de olup olmadığınızı kontrol edin."
"Unknown";"Bilinmeyen"
"Unknown - Self-managed";"22/5000 Bilinmeyen - Kendi yöneten"
"Update";"Güncelle"
"Update channel";"Kanalı güncelle"
"Updated At";"Güncellendi"
"Upload";"Yükle"
"Upload files or use existing certificates on my server";"Sunucumdaki dosyaları yükle veya mevcut sertifikaları kullan"
"Upload my certificates";"Sertifikalarımı yükle"
"Upload your own certificates";"Kendinize ait tüm sertifikaları yükleyin"
"Use HTTPS";"HTTPS kullanın"
"Use existing certificates on my server";"Serverımda mevcut sertifikaları kullan"
"User successfully deleted";"Kullanıcı başarıyla silindi"
"User's status successfully edited";"Kullanıcı durumu başarıyla düzenlendi"
"Username";"Kullanıcı adı"
"VAT check options";"KDV kontrol seçenekleri"
"Validation";"Doğrulama"
"VestaCP";"VestaCP"
"VestaCP (php 5.6+ only)";"VestaCP (yalnızca php 5.6+)"
"View Details";"Ayrıntıları görüntüle"
"WHM cPanel";"WHM cPanel"
"Waiting for %s to reload, this can take a while...";"%s in yeniden yüklemesi bekleniyor, biraz zaman alabilir."
"We recommned using <b>preview</b> on a testing or development server, we won't provide regular ticket support for these update channels, only bug reports via the form below.";"Bir test veya geliştirme sunucusunda <b> önizleme </b> kullanmanızı öneririz. Bu güncelleme kanalları için normal bilet desteği sağlamayacağız, yalnızca aşağıdaki form aracılığıyla hata raporları sunacağız."
"Web space";"Web alanı"
"White Label";"White Label"
"Whitelabel";"Whitelabel"
"Whitelabel hostnames associated with this Certificate";"Bu sertifika ile ilişkili whitelabel sunucu adları"
"Whitelabel request";"Whitelabel talebi"
"Whitelabels";"Whitelabel'lar"
"Yes";"Evet"
"Yes, install the update.";"Evet, güncellemeyi indir."
"You are about to clean all the cron lock files !\nAre you sure ?";"Tüm cron kilit dosyalarınızı temizlemek üzeresiniz !\n Emin misiniz?"
"You are about to clean all your log files !\nAre you sure ?";"Tüm log dosyalarınızı temizlemek üzeresiniz !\n Emin misiniz?"
"You are about to delete this certificate, Are you sure ?";"Bu sertifikayı silmek üzeresiniz, emin misiniz?"
"You are about to wipe all your temporary files, this includes the generated sources & apk builds !\nAre you sure ?";"Tüm geçici dosyalarınızı silmek üzeresiniz, bu, oluşturulan kaynakları ve apk oluşumlarını içerir !\n Emin misiniz?"
"You can use <b>%s</b> as a dynamic variable for your application name.";"Uygulama adınız için <b>%s </b> bir dinamik değişken olarak kullanabilirsiniz."
"You have a Source generation stuck for more than 1 hour, please check in <b>Settings > Advanced > Cron</b> for the stuck build.<br />To unlock further builds you can remove locks from the button below.";"1 saatten daha uzun bir süredir bekleyen bir Kaynak oluşturma işleminiz var, lütfen <b> Ayarlar> Gelişmiş> Cron </ b> 'u kontrol edin. <br /> Daha fazla kurgunun kilidini açmak için aşağıdaki düğmeden kilitleri kaldırabilirsiniz."
"You have an APK generation stuck for more than 1 hour, please check in <b>Settings > Advanced > Cron</b> for the stuck build.<br />To unlock further builds you can remove locks from the button below.";"1 saatten fazla bir süredir takılı kalmış bir APK sürümünüz var, lütfen takılı yapı için <b> Ayarlar> Gelişmiş> Cron </ b> 'u kontrol edin. <br /> Daha fazla kurulumun kilidini açmak için aşağıdaki düğmeden kilitleri kaldırabilirsiniz."
"You have no certificate yet.";"Henüz sertifikanız yok."
"You have no new messages.";"Yeni mesajınız yok."
"You must select an Admin panel type before requesting a Certificate.";"Bir sertifika paneli türü seçmelisiniz."
"Your HTTPS/SSL Certificate is about to expire in <b>%s day%s</b>, don't forget to renew it on the following page <a href=\"%s\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\">configuration</a>.\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"";"HTTPS/SSL Sertifikanızın, <b>%s gün%s</ b> içinde sona ermek üzere aşağıdaki sayfada yenilemeyi unutmayın <a href=\"%s\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"> yapılandırma </a> .\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\""
"Your HTTPS/SSL Certificate is about to expire in <b>%s day%s</b>, don't forget to renew it on the following page <a href=\"%s\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\">configuration</a>.\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"";"HTTPS/SSL Sertifikanız, <b>%s gün%s </b> içinde sona ermek üzere, aşağıdaki sayfada yenilemeyi unutmayın <a href=\"%s\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"> yapılandırma</a> .\"\"\"\"\"\"\"\"\"\"\"\"\"\"\""
"Your HTTPS/SSL Certificate is about to expire in <b>%s day%s</b>, don't forget to renew it on the following page <a href=\"%s\"\"\"\"\"\"\"\">configuration</a>.\"\"\"\"\"\"\"";"HTTPS/SSL Sertifikanızın, <b>%sgün%s</b> içinde sona ermek üzere, aşağıdaki sayfada yenilemeyi unutmayın <a href=\"%s\"\"\"\"\"\"\"\"> yapılandırma </a> .\"\"\"\"\"\"\""
"Your HTTPS/SSL Certificate is about to expire in <b>%s day%s</b>, don't forget to renew it on the following page <a href=\"%s\"\">configuration</a>.\"";"HTTPS/SSL Sertifikası <b>%</b> s gün,%s, aşağıdaki sayfada a href=\"%s\"\">yapılandırma </a><yenilemek unutmayın.sona gelmek üzere \""
"Your HTTPS/SSL Certificate is about to expire in <b>%s day%s</b>, don't forget to renew it on the following page <a href=\"%s\">configuration</a>.";"HTTPS/SSL Sertifikası <b>%</b> s gün,%s, aşağıdaki sayfa yenilemek\"%>yapılandırma </a>s\"<a href=unutma.sona gelmek üzere "
"Your certificate is invalid";"Sertifikanız geçersiz"
"Your certificate is valid until:";"Sertifikanız şu tarihe kadar geçerli:"
"Your certificates are saved.";"Sertifikalarınız kaydedildi."
"Your new password";"Yeni şifreniz"
"Your password";"Şifreniz"
"[APK]";"[APK]"
"[Global]";"[Küresel]"
"[Let's Encrypt] renewing certificate.";"[Let's Encrypt] sertifika yenileniyor."
"[Let's Encrypt] will add %s to SAN.";"[Let's Encrypt] %s'i SAN'a ekler."
"[Plesk] Unknown error.";"Bilinmeyen hata."
"[Nwicode_Cpanel] Unable to update cPanel SSL Certificate for %s";"[Nwicode_Cpanel] %s için cPanel SSL Sertifikası güncellenemiyor"
"[Nwicode_VestaCP] requires php 5.6+";"[Nwicode_VestaCP], php 5.6+ gerektiriyor"
"[Sources]";"[Kaynaklar]"
"customer";"Müşteri"
"for the bundle id:";"Bundle kimliği için:"
"letsencrypt";"letsencrypt"
"per page";"Sayfa başına"
"see Settings > Advanced > Configuration > Cron to edit options.";"Seçenekleri düzenlemek için Ayarlar> Gelişmiş> Yapılandırma> Cron'a bakın."
"values are refreshed once a day only!";"Değerler sadece günde bir kez yenilenir!"
