"%s - Customer Service";"%s - Müşteri Hizmetleri"
"Discound code";"Discound kodu"
"Discount";"İndirim"
"Discount Settings";"İndirim Ayarları"
"Discount amount";"İndirim miktarı"
"Discount amount si very high";"İndirim miktarı si çok yüksek"
"Discount code";"İndirim kodu"
"Discount code already exists";"İndirim kodu zaten var"
"Discount code is missing";"İndirim kodu yok "
"Discount label is missing";"İndirim etiketi eksik "
"Discount minimum amount is missing";"İndirim minimum miktar eksik "
"Discount no longer available";"İndirim artık kullanılabilir"
"Discount only for carts with total more than: ";"Sadece daha fazla toplam arabaları için indirim: "
"Discount settings";"İndirim Ayarları"
"Discount total";"İndirim toplam"
"Discount type";"İndirim türü"
"Discount type is missing";"İndirim türü eksik "
"Discount used";"İndirim kullanılan"
"Discount validation date";"İndirim geçerlilik tarihi"
"Discounted amount is missing";"İndirimli miktar eksik "
"Discounted amount should be a positive number";"İndirimli miktarda pozitif bir sayı olmalıdır "
"Do you confirm you want to remove your card?";"Kartınız kaldırmak istediğinizi onaylamak mı?"
"Done";"Yapılan"
"Duplicate this product";"Bu ürün yinelenen "
"Edit a store";"Bir mağaza Düzenle "
"Edit the choice list group";"Seçim listesi grup Düzenle "
"Edit the discount %s";"İndirim %Düzenle s"
"Edit the options group %s";"Seçenekleri Düzenle grup %s"
"Edit the product %s";"Düzenleme ürün %s"
"Edit the tax %s";"Vergi %Düzenle s"
"Email";"E-posta"
"Enabled";"etkin"
"Error while using your points";"Puanlarınızı kullanırken hata "
"Estimated discount:";"Tahmini indirim:"
"First";"İlk"
"First Name";"İlk isim"
"Firstname";"Ad"
"Fixed Method #1";"Sabit Yöntem #1"
"Fixed Method #10";"Sabit Yöntem #10"
"Fixed Method #2";"Sabit Yöntem #2"
"Fixed Method #3";"Sabit Yöntem #3"
"Fixed Method #4";"Sabit Yöntem #4"
"Fixed Method #5";"Sabit Yöntem #5"
"Fixed Method #6";"Sabit Yöntem #6"
"Fixed Method #7";"Sabit Yöntem #7"
"Fixed Method #8";"Sabit Yöntem #8"
"Fixed Method #9";"Sabit Yöntem #9"
"Format:";"Biçimi:"
"Free delivery starting from";"Ücretsiz teslimat başlatılmasını"
"Free purchase";"Ücretsiz satın"
"From";"Dan"
"From module main settings";"Modülü ana ayarları "
"From up level category";"Seviye kategorisinden "
"Gratuity";"Bahşiş"
"Guest Order";"Misafir Sipariş"
"Here is the detail of the order";"Sipariş Ayrıntıları "
"Here is the detail of your order";"Sipariş Ayrıntıları "
"Hidden";"Gizli"
"Hours of operation";"Çalışma saatleri "
"I will pay";"Ödeyeceğim "
"In store";"Mağaza "
"Incl.";"Dahil."
"Invalid code";"Geçersiz kod"
"Invoicing address";"Fatura adresi"
"Items add to Cart.";"Eşyalar Sepete Ekle."
"Keep card information";"Kart bilgileri "
"Label";"Etiket"
"Last";"Son"
"Last Name";"Soyadı"
"Lastname";"Soyadı"
"Loading...";"Yükleniyor..."
"Login";"Giriş"
"MM";"MM"
"Manage discounts";"Yönetmek indirimler"
"Manage user fields";"Kullanıcı alanlarını yönetmek "
"Mandatory";"Zorunlu"
"Meal Voucher";"Yemek Çeki"
"Merchant ID:";"Tüccar KİMLİĞİ:"
"Minimum amount";"Minimum miktarda"
"Minimum amount should be a positive number";"Minimum miktarda pozitif bir sayı olmalıdır "
"Minimum order";"Minimum sipariş"
"My Cart";"Arabamı "
"My cart is empty";"Benim sepeti boş "
"My categories";"Kategoriler "
"My information";"Bilgilerimi "
"My orders";"Emirlerim "
"My product's categories";"Ürünün kategorileri"
"My product's list choice options";"Ürünün liste seçenekleri"
"My product's options";"Ürünün seçenekleri"
"My products";"Ürünlerimi "
"My stores";"Mağaza benim "
"My taxes";"Vergilerimi "
"Name of the options group:";"Seçenek grubunun adı:"
"New order from the application";"Uygulama yeni sipariş "
"Next";"Sonraki"
"No data available in table";"Tabloda veri mevcut değil "
"No matching records found";"Eşleşen kayıt bulundu"
"Notes";"Notlar"
"Number";"Numarası"
"Offline text";"Çevrimdışı metin"
"Option $1 is required.";"$1 seçeneği gereklidir."
"Option name";"Seçenek adı"
"Optional";"İsteğe bağlı"
"Options";"Seçenekleri"
"Options group successfully deleted";"Seçenekler grup başarıyla silindi"
"Options group successfully saved";"Seçenekler grup başarıyla kaydedildi"
"Order %s cancelled";"Sipariş %s iptal "
"Order Number";"Sipariş Numarası"
"Order N°";"Sipariş N°"
"Order Total";"Sipariş Toplam"
"Order confirm";"Sipariş onaylamak"
"Order confirmation";"Sipariş onayı"
"Order details";"Sipariş Ayrıntıları"
"Order history";"Sipariş geçmişi"
"Order successfully cancelled";"Sipariş başarıyla iptal edildi"
"Order successfully saved";"Sipariş başarıyla kaydedildi"
"Orders";"Emir"
"Our Sales";"Satışlarımız "
"Paid";"Ücretli"
"Paid by the client:";"Müşteri tarafından ödenmesi:"
"Password";"Şifre"
"Pay";"Ödeme"
"Payment";"Ödeme"
"Payment Method";"Ödeme yöntemi"
"Payment methods:";"Ödeme yöntemleri:"
"Paypal";"Paypal"
"Paypal settings";"Paypal ayarları"
"Pending payment";"Bekleyen ödeme"
"Percentage is a least 1%, at max 99%";"Yüzdesi en az %1, max 99% "
"Percentage must be at least 1 percent, at most 99 percent";"Yüzde 1'ini, en fazla yüzde 99 olmalı "
"Permit unregistered user to make order?";"Sipariş vermek için kayıtlı kullanıcı izni?"
"Phone";"Telefon"
"Phone number";"Telefon numarası"
"Picture";"Resim"
"Please choose a delivery method";"Lütfen bir teslim yöntemi seçin "
"Please choose a payment method";"Lütfen bir ödeme yöntemi seçin "
"Please fill in your card information to process Credit card payment:";"Kart bilgileriniz, Kredi kartı ile ödeme işlemi için doldurun lütfen:"
"Please, enter an email address for the store %s";"Lütfen, deposu %için bir e-posta adresi girin s"
"Points";"Puan"
"Points available:";"Noktaları mevcut:"
"Postcode";"Posta kodu"
"Previous";"Önceki"
"Price";"Fiyat"
"Price: %s";"Fiyat: %s"
"Prices";"Fiyatlar"
"Printer successfully saved";"Yazıcı başarıyla kaydedildi"
"Proceed";"Devam edin"
"Processing...";"İşleme..."
"Product";"Ürün"
"Product SKU:";"Ürün STB:"
"Product formats";"Ürün biçimleri"
"Product item note field";"Ürün madde not alan"
"Product list type";"Ürün listesi türü"
"Product model:";"Ürün modeli:"
"Product name";"Ürün Adı"
"Product successfully duplicated";"Ürün başarılı bir şekilde çoğaltılamaz"
"Product successfully saved";"Ürün başarılı bir şekilde kaydedildi"
"Publishable Key:";"Yayınlanabilir Anahtar:"
"Qty";"Miktar"
"Qty: %s";"Miktar: %s"
"Quantity:";"Miktar:"
"Radius in Km";"Km yarıçap "
"Re-order";"Yeniden Sipariş"
"Remaining amount due";"Nedeniyle kalan miktar "
"Remaining due";"Kalan nedeniyle"
"Remove card";"Kartı çıkarın "
"Return URL:";"Dönüş URL:"
"Review";"İnceleme"
"Row";"Satır"
"Search:";"Arama:"
"Secret Key";"Gizli Anahtar"
"Settings";"Ayarları"
"Settings successfully saved";"Ayarlar başarıyla kaydedildi"
"Show Model field";"Haritayı Model alan"
"Show SKU field";"Haritayı STB alan"
"Show _MENU_ entries";"Haritayı _MENU_ girişleri"
"Show category info";"Haritayı kategori bilgi"
"Show if the quantity is less than zero";"Eğer miktar sıfırdan olmadığını göstermek "
"Show price with VAT";"KDV ile göstermek fiyatı "
"Show search fields on product list ?";"Ürün listesi arama alanlarını gösterin ."
"Showing 0 to 0 of 0 entries";"0 0 0 girişler gösteriliyor "
"Showing _START_ to _END_ of _TOTAL_ entries";"_TOTAL_ bu _END_ için _START_ gösteren girişleri"
"Signature";"İmza"
"Signup";"Kayıt"
"Some mandatory fields are empty.";"Bazı zorunlu alanları boş."
"Sorry we can't proceed to deliver your order. It has been canceled.";"Kusura bakmayın siparişinizi teslim etmek için devam edebiliriz. İptal edildi."
"Sort order:";"Sıralama:"
"Special price:";"Özel fiyat:"
"Status";"Durumu"
"Sticker name";"Etiket adı"
"Sticker text";"Etiket metni"
"Stickers settings";"Etiketler ayarları"
"Stiker";"Stiker"
"Stikers";"Stikers"
"Store choice";"Mağaza seçimi"
"Store information";"Mağaza bilgileri"
"Store name";"Mağaza adı"
"Store successfully deleted";"Mağaza başarıyla silindi"
"Store successfully saved";"Mağaza başarıyla kaydedildi"
"Stored card information.";"Kart bilgileri saklı."
"Stores";"Mağaza"
"Street";"Sokak"
"Stripe settings";"Şerit ayarları"
"Subtotal";"Alttoplam"
"Subtotal Excl. Tax";"Subtotal Hariç. Vergi"
"Subtotal before deduction";"Tümdengelim önce Subtotal "
"Tax";"Vergi"
"Tax name";"Vergi adı"
"Tax rate";"Vergi oranı"
"Tax successfully deleted";"Vergi başarıyla silindi"
"Tax successfully saved";"Vergi başarıyla kaydedildi"
"Text color";"Metin rengi"
"Thank you!";"Teşekkür Ederim!"
"The clients calculate the change:";"Müşteriler değişikliği hesaplamak:"
"The delivery method";"Teslimat yöntemi"
"The following options are required:<br />%s";"Aşağıdaki seçenekler gereklidir:<br />%s"
"The option %s is required";"S seçeneği %gerekli"
"The payment has been cancelled, something wrong happened? Feel free to contact us";"Ödeme iptal edildi, yanlış bir şey mi oldu? Bize ulaşın "
"The payment method";"Ödeme yöntemi"
"Time in minutes";"Dakika cinsinden süre "
"Tip";"Ucu"
"Total";"Toplam"
"Total Excl. Tax";"Toplam Hariç. Vergi"
"Total Tax";"Toplam Vergi"
"Total: %s";"Toplam: %s"
"Unable to proceed to checkout the minimum order amount is %s";"Asgari sipariş miktarı ödemeye devam edemiyor %s"
"Unit Price";"Birim Fiyatı"
"Unit price";"Birim Fiyatı"
"Updating price";"Fiyat güncelleme "
"Usable once";"Kullanılabilir bir kez"
"Use categories";"Kullanım kategorileri"
"Use multiselect";"Kullanım görünüyor"
"Use my points?";"Puanlarımı kullanmak?"
"Use price in option";"Fiyat seçeneği kullanın "
"Use quantity";"Kullanım miktarı"
"Use quantity in option";"Seçeneği miktar kullanın "
"Use:";"Kullanımı:"
"Username";"Kullanıcı adı"
"Validity date";"Geçerlilik tarihi"
"Validity date should be a valid date";"Geçerlilik tarihi geçerli bir tarih olmalıdır "
"Verify Key:";"Doğrulama Anahtarı:"
"Waiting for payment";"Ödeme için bekliyor "
"We apologize but the payment method %s is currently not available";"Özür dileriz ama ödeme yöntemi %şu anda kullanılabilir değil "
"We thank you for your order. A confirmation email has been sent";"Siparişiniz için teşekkür ederiz. Bir onay e-postası gönderildi "
"Working hours";"Çalışma saatleri"
"Working hours period";"Çalışma saatleri süresi"
"YYYY";"YYYY"
"You did not login.";"Giriş yapmadın."
"You don't have any categories yet";"Henüz herhangi bir Kategori yok "
"You don't have enough points";"Yeterince puan yok "
"You have a connected printer? Enter the email address";"Bağlı bir yazıcı var mı? E-posta adresinizi girin "
"You have a connected printer? Enter the email address for each store";"Bağlı bir yazıcı var mı? Her Mağaza için e-posta adresinizi girin "
"You have to choose a delivery method.";"Bir teslim yöntemi seçin."
"You must be logged in to continue";"Giriş yapmalısınız devam "
"You used the code before";"Önce kod kullandın "
"Your address";"Adresi "
"Your email address";"E-posta adresinizi "
"Your firstname";"Ad senin "
"Your lastname";"Soyadı senin "
"Your phone number";"Telefon numarası "
"e.g., Sauces";"örneğin, Soslar"
"without taxes";"vergiler olmadan "
"your choice";"seçim senin "
