"%s - Customer Service";"%s – Müşteri hizmetleri"
"Tax";"Vergi"
"Tax name";"Vergi adı"
"Tax name:";"Vergi adı:"
"Tax rate";"Vergi oranı"
"Tax rate:";"Vergi oranı:"
"Tax successfully deleted";"Vergi başarıyla silindi"
"Tax successfully saved";"Vergi başarıyla kaydedildi"
"Tax:";"Vergi:"
"Thank you!";"Teşekkürler!"
"The clients calculate the change:";"Müşteriler değişikliği hesaplar:"
"The delivery method";"Teslim şekli"
"The following options are required:<br />%s";"Aşağıdaki seçenekler gereklidir:<br />%s"
"The option %s is required";"Seçenek %s gerekli"
"The payment has been cancelled, something wrong happened? Feel free to contact us";"Ödeme iptal edildi, bir şeyler yanlış oldu? Bizimle temas kurmaktan çekinmeyin"
"The payment method";"Ödeme Şekli"
"Time in minutes";"Zaman(dakika)"
"Tip";"Ucu"
"Total";"Toplam"
"Total Excl. Tax";"Vergi hariç toplam"
"Total Tax";"Toplam vergi"
"Total: %s";"Toplam: %s"
"Unable to proceed to checkout the minimum order amount is %s";"En az sipariş tutarı %s, ödemeye devam edilemedi"
"Unit Price";"BirimFiiyatı"
"Unit price";"Birim fiyatı"
"Updating price";"Fiyat güncelleniyor"
"Usable once";"Bir kez kullanılabilir"
"Use my points?";"Puanlarımı kullan"
"Use:";"Kullan:"
"Username";"Kullanıcı adı"
"Username:";"Kullanıcı adı:"
"Validity date";"Geçerlilik tarihi"
"Validity date should be a valid date";"Geçerlilik tarihi geçerli bir tarih olmalıdır"
"Verify Key:";"Anahtarı doğrula"
"Waiting for payment";"Ödeme bekleniyor"
"We apologize but the payment method %s is currently not available";"Maalesef ödeme yöntemi % s şu anda mevcut değil"
"We thank you for your order. A confirmation email has been sent";"Sipariş için teşekkür ederiz. Bir onay e-postası gönderildi"
"YYYY";"YYYY"
"You did not login.";"Giriş yapmadınız"
"You don't have any categories yet";"Henüz kategoriniz yok"
"You don't have enough points";"Yeterli puanınız yok"
"You have a connected printer? Enter the email address";"Bir bağlı yazıcınız var mı? E-posta adresinizi girin"
"You have a connected printer? Enter the email address for each store";"Bir bağlı yazıcınız var mı? Her mağaza için e-posta adresinizi girin"
"You have to choose a delivery method.";"Bir teslimat yöntemi seçmelisiniz"
"You must be logged in to continue";"Devam etmek için giriş yapmalısınız"
"You used the code before";"Bu kodu daha önce kullandınız."
"Your address";"Adresiniz"
"Your email address";"Email adresiniz"
"Your firstname";"Adınız"
"Your lastname";"Soyadınız "
"Your phone number";"Telefon numaranız"
"e.g., Sauces";"örk Salçalar"
"without taxes";"vergisiz"
"your choice";"Seçiminiz"
