"Notification";"Bildirim"
"Notification Icon";"Bildirim simgesi"
"Notification Time not present";"Bildirim Süresi mevcut değil "
"Notification icon";"Bildirim simgesi"
"Nov";"Kasım"
"November";"Kasım"
"OK";"Tamam"
"Oct";"Ekim"
"October";"Ekim"
"Operation performed successfully";"Operasyon başarıyla yapıldı "
"Options";"Seçenekleri"
"Password";"Şifre"
"Phone No.";"Telefon Yok."
"Phone No:";"Telefon No:"
"Phone no not less that 10 char.";"10 daha az char Telefonu Yok."
"Phone no not more than 12 char.";"12'den fazla char Telefonu Yok."
"Please accept this friendly reminder for your appointment";"Lütfen randevu için bu dostça bir hatırlatma kabul edin "
"Please enter a valid email address";"Lütfen geçerli bir e-posta adresini girin "
"Please enter valid number";"Lütfen geçerli bir numara girin "
"Please fill in the following fields:";"Aşağıdaki alanları doldurun:"
"Please read our cancellation policy";"Lütfen iptal politikamızı okuyunuz "
"Please select a location";"Lütfen bir yer seçin "
"Please select a provider";"Lütfen bir sağlayıcı seçin "
"Please select provider";"Sağlayıcı seçin lütfen "
"Please select service";"Servis seç lütfen "
"Please select user";"Kullanıcı seç lütfen "
"Previous";"Önceki"
"Price";"Fiyat"
"Price Hide";"Fiyatı Gizle"
"Profile Image";"Profil Resim"
"Provider";"Sağlayıcı"
"Provider Name";"Sağlayıcı Adı"
"Provider Timing successfully deleted.";"Sağlayıcı Zamanlama başarıyla silindi."
"Provider successfully deleted.";"Sağlayıcı başarıyla silindi."
"Providers";"Sağlayıcıları"
"Regards";"Saygılar"
"Reminder Email";"Hatırlatma E-Posta"
"Request date have no availability!";"İstek tarihi bir fırsat var!"
"Required fields";"Gerekli alanlar"
"Required!";"Gerekli!"
"Sat";"Oturdu"
"Saturday";"Cumartesi"
"Save";"Kaydet"
"Search ...";"Arama ..."
"Search:";"Arama:"
"Select Day";"Seçin Gün"
"Select End Time";"Bitiş Saati Seçin"
"Select Provider";"Sağlayıcı Seçin"
"Select Start Time";"Başlat Zaman"
"Select a location";"Bir konum seçin "
"Select a provider";"Bir sağlayıcı seçin "
"Select day";"Seçin Gün"
"Sep";"Eylül"
"September";"Eylül"
"Service";"Hizmet"
"Service Location successfully deleted.";"Hizmet Konumu başarıyla silindi."
"Service Name";"Hizmet Adı"
"Service Provider Timing successfully deleted.";"Servis Sağlayıcı Zamanlama başarıyla silindi."
"Service Time";"Hizmet Süresi"
"Service Time (min)";"(Dk)hizmet Süresi "
"Service Time(Min)";"(Dk)Hizmet Süresi"
"Service successfully deleted.";"Hizmet başarıyla silindi."
"Service time";"Hizmet Süresi"
"Service:";"Hizmet:"
"Services";"Hizmetleri"
"Set Your Bussiness Hours";"İş Saatlerinizi Ayarlayın "
"Settings";"Ayarları"
"Showing";"Gösterilen"
"Showing _START_ to _END_ of _TOTAL_ entries";"_TOTAL_ bu _END_ için _START_ gösteren girişleri"
"Something went wrong";"Bir şeyler ters gitti "
"Sorry you are not allowed to access the page!";"Özür dilerim sayfaya erişmek için izniniz yok!"
"Start Time";"Start Time "
"Start Time:";"Başlangıç Saati:"
"Start time";"Start Time "
"Status";"Durumu"
"Store";"Mağaza"
"Store Owner";"Mağaza Sahibi"
"Store Owner E-mail";"Mağaza Sahibi E-posta"
"Submit";"Gönder"
"Sun";"Güneş"
"Sunday";"Pazar"
"Telephone Number";"Telefon Numarası"
"Tell us your name";"Bize adını söyle "
"Thank You";"Teşekkürler "
"Thank You!";"Teşekkür Ederim!"
"The Appointment you are trying to edit doesn't exists.";"Düzenlemeye çalıştığınız Randevu yok."
"The Category you are trying to edit doesn't exists.";"Düzenlemek istediğiniz Kategori yok."
"The Customer you are trying to edit doesn't exists.";"Düzenlemeye çalıştığınız Müşteri yok."
"The Location you are trying to edit doesn't exists.";"Düzenlemeye çalıştığınız Yeri yok."
"The Provider Timing you are trying to edit doesn't exists.";"Düzenlemek için çalışıyorsunuz Sağlayıcı Zamanlama yok."
"The Provider you are trying to edit doesn't exists.";"Düzenlemek için çalışıyorsunuz Sağlayıcı yok."
"The Service Location you are trying to edit doesn't exists.";"Düzenlemek için çalışıyorsunuz Servis Yeri yok."
"The Service you are trying to edit doesn't exists.";"Düzenlemek için çalışıyorsunuz Hizmeti yok."
"The date you are looking for is invalid!";"Aradığınız tarihi geçersiz."
"The following booking has been cancelled";"Aşağıdaki rezervasyon iptal edildi "
"The following booking has been made";"Aşağıdaki rezervasyon yapıldı "
"The requested date has no availability!";"İstenen tarihi bir fırsat var!"
"There was an error while processing the request please try again later!";"İstek lütfen daha sonra tekrar deneyin işlenirken bir hata oluştu!"
"This category belongs to existing services, please remove them first.";"Bu kategori mevcut hizmetlerine ait, ilk önce onları kaldırın lütfen."
"This location belongs to existing services, please remove them first.";"Bu konum mevcut hizmetlerine ait, ilk önce onları kaldırın lütfen."
"This message was sent to";"Bu ileti gönderildi "
"Thu";"Prş"
"Thursday";"Perşembe"
"Time";"Zaman"
"Time Format";"Saat Biçimi"
"Time before appointment:";"Randevu önce süresi:"
"Timings";"Zamanlamaları"
"Title";"Başlık"
"Today";"bugün"
"Tue";"Sal"
"Tuesday";"Salı"
"Upload file";"Dosya Upload"
"View Booked Appointments";"Görünüm Rezervasyonu Randevular"
"View booked appointments";"Görünüm Rezervasyonu Randevular"
"Void";"Geçersiz"
"Warning";"Uyarı"
"We are sorry but the %s account is already linked to one of our customers";"Üzgünüz ama %s hesap zaten müşterilerimiz birini bağlanır "
"Wed";"Evlenmek"
"Wednesday";"Çarşamba"
"Working";"Çalışma"
"YES";"EVET"
"You'll be notified 1 day before the appointment.";"1 gün randevu önce haberdar olacaksınız."
"You'll be notified 1 week before the appointment.";"1 hafta önce randevu bilgilendirileceksiniz."
"You'll be notified 1hr before the appointment.";"1saat randevu önce haberdar olacaksınız."
"You'll be notified 2hr before the appointment.";"2saat randevu önce haberdar olacaksınız."
"You'll be notified 30 min before the appointment.";"30 dakika randevu önce haberdar olacaksınız."
"Your Information";"Bilgilerinizi "
"Your booking with %s has been cancelled";"Rezervasyon %s iptal edildi "
"Your booking with %s!";"%S ile rezervasyon!"
"confirm ";"onaylamak "
"confirm your information";"bilgilerinizi onaylayın "
"edit the options";"seçenekleri Düzenle "
"entries";"girişleri"
"min";"dk"
"mobile_number";"mobile_number"
"of";"biri"
"the email address";"e-posta adresi"
"the first name";"ilk isim"
"the gender";"cinsiyeti"
"the last name";"soyadı"
"the password";"parola"
"to";"için"
"today";"bugün"
"with";"ile"
