"%MONTH%/%YEAR%";"%AY%YIL%"
"Cancelled";"İptal"
"Card";"Kartı"
"Cash";"Nakit"
"Cash or Credit Card (via Iyzico)";"(İyzico)nakit ya da Kredi Kartı "
"Change";"Değiştirin"
"Checking information";"Bilgiyi kontrol "
"Choose a driver";"Bir sürücü seçin "
"Choose me!";"Beni seç!"
"Choose your payment method";"Ödeme yönteminizi seçin "
"Choose your vehicle type";"Araç türünü seçin "
"City";"Şehir"
"City is required";"Şehir gereklidir "
"Close";"Yakın"
"Code";"Kod"
"Confirm";"onaylamak "
"Confirmation";"Onay"
"Country";"Ülke"
"Country is required";"Ülkenin gereklidir "
"Created";"oluşturulan"
"Credit Card (via 2Checkout)";"(2Checkout)kredi Kartı "
"Credit Card (via Stripe)";"(Stripe)kredi Kartı "
"Credit card";"kredi kartı"
"Credit card (2Checkout)";"Kredi kartı (2Checkout)"
"Credit card (Stripe)";"(Stripe)kredi kartı "
"Currently looking for drivers...\"
Customer cannot be find\"";"Şu anda sürücüler aranıyor...\"
Müşteri bul edilemez\""
"Customer Name";"Müşteri Adı"
"Customers";"Müşteriler"
"Date";"Tarih"
"Date:";"Tarih: "
"Date: ";"Tarih: "
"Distance";"Mesafe"
"Distance fare";"Mesafe ücreti"
"Distance fare:";"Mesafe ücreti:"
"Distance or duration fare is required";"Mesafe veya süre ücret gereklidir "
"Distance units";"Mesafe birimleri"
"Do you confirm that ride is paid?";"Binmek ücretli olduğunu onaylıyor musunuz?"
"Do you confirm you want to pay by card?";"Kartı ile ödeme yapmak istediğinizi onaylıyor musunuz?"
"Do you really want to remove this credit card?";"Gerçekten bu kredi kartı kaldırmak istiyor musunuz?"
"Download CSV";"İndirme CSV"
"Driver";"Sürücü"
"Driver ID";"Sürücü KİMLİĞİ"
"Driver ID is not the ride one";"Sürücüsünün KİMLİĞİ bir yolculuk değil "
"Driver Name";"Sürücü adı"
"Driver base fare";"Sürücü taban ücret"
"Driver distance fare";"Sürücü mesafe ücreti"
"Driver email";"Sürücü e-posta"
"Driver name";"Sürücü adı"
"Driver name:";"Sürücü adı: "
"Driver name: ";"Sürücü adı: "
"Driver start latitude";"Sürücü enlem Başlat "
"Driver start longitude";"Sürücü boylam başlangıç "
"Driver successfully deleted.";"Sürücü başarıyla silindi."
"Driver successfully rejected.";"Sürücünün başarılı bir şekilde reddetti."
"Driver successfully validated.";"Sürücü başarıyla doğrulandı."
"Driver time fare";"Sürücü sefer ücreti"
"Drivers";"Sürücüler"
"Driving license";"Ehliyet"
"Drop off";"Düşüyorlar"
"Drop off address";"Adres bırakmak "
"Drop off address:";"Adres bırakmak:"
"Drop off address: ";"Adres bırakmak:"
"Dropoff address";"Dropoff Adres"
"Dropoff latitude";"Dropoff enlem"
"Dropoff longitude";"Dropoff boylam"
"Duration";"Süresi"
"Duration fare";"Süre ücret"
"ETA:";"ETA:"
"Edit vehicle type";"Düzen araç tipi"
"Email";"E-posta"
"Ended at";"Bitiş"
"Error";"Hata"
"Error : your currency isn't supported by 2Checkout.";"Hata : para senin 2Checkout tarafından desteklenmiyor."
"Error while retrieving 2Checkout configuration from server.";"Sunucudan 2Checkout yapılandırma alınırken hata oluştu."
"Exp Month";"Ay Exp "
"Exp Year";"Exp Yıl"
"Final distance";"Son mesafe"
"Final price";"Son fiyat"
"Final price can't be negative and format should use only dot and numbers. e.g. : 1234.56";"Son fiyat negatif olabilir ve nokta sadece ve numaraları kullanın biçimi. örneğin : 1234,56"
"Finish ride";"Yolculuğu tamamlamak "
"Finished";"bitmiş"
"From email";"E-posta "
"From name";"Adı "
"Full ride";"Tam binmek"
"GO!";"GİT!"
"General Settings";"Genel Ayarlar"
"Go offline !";"Çevrimdışı !"
"Go online !";"Online gidin !"
"Go to pinpoint";"Belirlemekte git "
"Going";"gidiyor"
"Have a nice day.";"İyi günler."
"Hello";"Merhaba"
"History";"Tarih"
"ID";"KİMLİĞİ"
"Incorrect price";"Yanlış fiyat"
"Is testing";"Olduğunu test"
"Iyzico API Key";"İyzico API Anahtarı"
"Iyzico secret key";"İyzico gizli anahtar"
"Kilometers";"Kilometre"
"Last step: we need some informations about payments.";"Son adım: ödeme hakkında bazı bilgiler lazım."
"Let's go!";"Gidelim!"
"License Number";"Lisans Numarası"
"License number is required";"Lisans numarası gerekli "
"Loading";"Yükleme"
"Manage vehicle types";"Araç türleri Yönet "
"Mark as paid";"Mark olarak ödenen"
"Miles";"Mil"
"My account";"Hesabım "
"Name";"Adı"
"New ride request incoming";"Yeni yolculuk talep gelen"
"No card set";"Hayır kart seti"
"No card setd";"Hayır kart setd"
"No driver available";"Hiçbir sürücü kullanılabilir"
"No driver has accepted your request for now. Please wait.";"Hiçbir sürücü artık talebinizi kabul etti. Lütfen bekleyiniz."
"No driver yet!";"Henüz sürücü yok!"
"No passenger yet!";"Henüz hiçbir yolcu!"
"No request for now.";"Şu an için hiç istek."
"No requests yet!";"Henüz bir isteği yok!"
"No vehicle type found.";"Hiçbir araç türü bulundu."
"None";"YOK"
"OK";"Tamam"
"Ok";"Tamam"
"Online (via 2Checkout)";"(2Checkout)Online "
"Paid";"Ücretli"
"Passenger";"Yolcu"
"Passenger ID is not the ride one";"Yolcu KİMLİĞİ bir yolculuk değil "
"Passenger Name";"Yolcu Adı"
"Passenger accepted you as a driver.";"Yolcu bir sürücü olarak kabul edilir."
"Passenger email";"Yolcu e-posta"
"Passenger is on board";"Yolcu gemide "
"Passenger name";"Yolcu Adı"
"Passenger refused you as a driver.";"Yolcu sürücü olarak reddetti."
"Passenger's request has been cancelled";"Yolcu istek iptal edildi "
"Passengers";"Yolcu"
"Password";"Şifre"
"Pay";"Ödeme"
"Pay by card";"Kredi kartı ile ödeme yapabilirsiniz "
"Pay by card (via Iyzico)";"Kartı (İyzico)ödeme "
"Payment Authorization Failed: Credit is not enabled on this type of card, please contact your bank for more information or try another payment method.";"Ödeme Yetkilendirme Başarısız oldu: Kredi kartı bu tür, lütfen daha fazla bilgi için bankanıza başvurun veya başka bir ödeme yöntemi deneyin üzerinde etkin değil."
"Payment Authorization Failed: Invalid transaction type for this credit card, please use a different card and try submitting the payment again, or contact your bank for more information.";"Ödeme Yetkilendirme Başarısız oldu: bu kredi kartı için Geçersiz işlem türü, farklı bir kart kullanın lütfen tekrar ödeme göndermeyi deneyin veya daha fazla bilgi için bankanıza başvurun."
"Payment Authorization Failed: Please update your cards expiration date and try again, or try another payment method.";"Ödeme Yetkilendirme kartları son kullanma tarihini güncelleyin ve tekrar deneyin veya başka bir ödeme yöntemi deneyin Başarısız oldu."
"Payment Authorization Failed: Please use a different credit card or payment method and try again, or contact your bank for more information.";"Ödeme Yetkisi, başka bir kredi kartı veya ödeme yöntemi kullanın ve yeniden deneyin veya daha fazla bilgi için bankanıza başvurun Başarısız oldu."
"Payment Authorization Failed: Please verify your Credit Card details are entered correctly and try again, or try another payment method.";"Ödeme Yetkisi, Lütfen Kredi Kartı bilgilerinizi doğru bir biçimde girdiğinizden emin olun ve tekrar deneyin veya başka bir ödeme yöntemi deneyin."
"Payment Authorization Failed: Please verify your information and try again, or try another payment method.";"Ödeme Yetkilendirme Lütfen bilgilerinizi doğrulayıp tekrar deneyin veya başka bir ödeme yöntemi deneyin."
"Payment Settings";"Ödeme Ayarları"
"Payment Status";"Ödeme durumu"
"Payment in progress";"İlerleme ödeme "
"Payment method";"Ödeme yöntemi"
"Payment settings";"Ödeme Ayarları"
"Payment status";"Ödeme durumu"
"Payment success";"Ödeme başarı"
"Payments Settings";"Ödeme Ayarları"
"Phone";"Telefon"
"Phone is required";"Telefon gereklidir "
"Phone number";"Telefon numarası"
"Pick up";"Al"
"Pickup address";"Teslimat adresi"
"Pickup address:";"Teslimat adresi:"
"Pickup address: ";"Teslimat adresi:"
"Pickup latitude";"Pikap enlem"
"Pickup longitude";"Pikap boylam"
"Picture";"Resim"
"Please choose a payment method";"Lütfen bir ödeme yöntemi seçin "
"Please choose a vehicle type";"Lütfen araç türünü seçin "
"Please enter a credit card number";"Lütfen kredi kartı numaranızı girin "
"Please enter final price :";"Son fiyat giriniz :"
"Please enter final price to finish ride :";"Yolculuğu tamamlamak için son fiyat giriniz :"
"Please enter the credit card expiration month";"Lütfen kredi kartı son kullanma ay girin "
"Please enter the credit card expiration year";"Lütfen kredi kartı son kullanma tarihi girin "
"Please try again later.";"Lütfen daha sonra tekrar deneyin."
"Please, wait.....";"Lütfen, bekle....."
"Price";"Fiyat"
"Prices disclamer";"Fiyatlar disclamer"
"Private key";"Özel anahtar"
"Proceed";"Devam edin"
"Processing";"İşleme"
"Publishable key";"Anahtar Yayınlanabilir"
"Refuse";"Reddediyorum"
"Refused";"Reddetti"
"Reject this driver";"Bu sürücü reddetmek "
"Rejected";"Reddetti"
"Remove card";"Kartı çıkarın "
"Removing card";"Kart çıkarma "
"Request";"İstek"
"Request History";"Talep Tarihi"
"Request ID";"İstek KİMLİĞİ"
"Request a Ride";"Bir Yolculuk isteği "
"Request failed.";"İstek başarısız oldu."
"Request has been cancelled.";"İstek iptal edildi."
"Requesting";"talep"
"Requests";"İstekleri"
"Ride details";"Yolculuk detayları"
"Ride details:";"Yolculuk detayları: "
"Ride details: ";"Yolculuk detayları: "
"Ride estimation";"Tahmini yolculuk "
"Ride finished";"Yolculuk bitmiş"
"Ride has been paid by client";"Yolculuk istemci tarafından ödenmiştir "
"Ride has been paid by client.";"Binmek istemci tarafından ödenmiştir."
"Ride is finished";"Yolculuk bitti "
"Ride is marked as paid";"Yolculuk işaretli olarak ödendi ... "
"Ride is not finished";"Yolculuk bitmedi "
"Ride price:";"Ride fiyatı:"
"Ride to passenger";"Binmek için yolcu"
"Ride was cancelled";"Yolculuk iptal edildi "
"Ride was refused";"Yolculuk reddedildi "
"SID";"SİD"
"Saving";"Tasarruf"
"Search Radius";"Arama Yarıçapı"
"Search timeout";"Arama zaman aşımı"
"Search:";"Arama:"
"Searching";"arama"
"Selected vehicle type is unknown";"Seçilen araç tipi bilinmiyor "
"Send";"Gönder"
"Sending request";"Gönderme isteği"
"Set price";"Fiyat belirlemek "
"Set price and finish ride";"Set fiyatı ve son yolculuğu"
"Settings";"Ayarları"
"Sorry, but no driver can pick you up. Please try again in a few moment.";"Üzgünüm, ama hiçbir sürücü toplayabilsinler. Lütfen tekrar birkaç dakika içinde deneyin."
"Sorry, you haven't selected a driver before timeout. Your request has been cancelled.";"Üzgünüm, zaman aşımı önce bir sürücü seçmediniz. Talebiniz iptal edildi."
"Start ride";"Başlangıç yolculuğu"
"Started at";"Başladı"
"State";"Devlet"
"State is required";"Devlet gereklidir "
"Status";"Durumu"
"Stripe Publishable Key";"Şerit Yayınlanabilir Anahtar"
"Stripe Secret Key";"Şerit Gizli Anahtar"
"Stripe Settings";"Şerit ayarları"
"Success";"Başarı"
"Success.";"Başarı."
"Switch info view";"Bilgi anahtarı "
"Thank you for using our application.";"Bizim uygulama kullandığınız için teşekkür ederiz."
"This action cannot be reverted!";"Bu işlem geri alınamaz!"
"Time fare:";"Saat Ücreti:"
"Total charge";"Toplam ücret"
"Total price";"Toplam fiyat"
"Total price: ";"Toplam fiyat: "
"Unable to process the request";"İsteği işleyemiyor "
"Unauthorized";"İzinsiz"
"Unknown";"Bilinmeyen"
"Unpaid";"ödenmemiş"
"Use Cash";"Nakit Kullan"
"Username";"Kullanıcı adı"
"Vehicle Model";"Araç modeli"
"Vehicle Model is required";"Aracın Modeli gereklidir "
"Vehicle Type";"Araç tipi"
"Vehicle Type is required";"Araç Türü gereklidir "
"Vehicle Types";"Araç Tipleri"
"Vehicle model";"Araç modeli"
"Vehicle type";"Araç tipi"
"Vehicle type successfully deleted.";"Araç türü başarıyla silindi."
"Waiting";"Bekliyor"
"Waiting for client confirmation...";"İstemci Onay Bekliyor..."
"We are sorry, but no driver was found for your request.";"Üzgünüz, ama hiçbir sürücü isteğinizi bulunamadı."
"We couldn't find a matching route for your destination...";"Hedef için uygun bir yol bulamadık."
"We couldn't verify your credit card. Please try again later.";"Kredi kartı doğrulayamadı. Lütfen daha sonra tekrar deneyin."
"We need some informations before going any further...";"Daha ileriye gitmeden önce bazı bilgiler lazım..."
"We need you to re-enter your credit card informations.";"Yeniden kredi kartı bilgilerinizi girmeniz gerekiyor."
"You do not have any card configurated. Go to settings?";"Herhangi bir kart configurated gerekmez. Ayarlarına gidin."
"You do not have any card configured. Go to settings?";"Herhangi bir kart yapılandırılmış gerekmez. Ayarlarına gidin."
"You finish your ride with %s";"%S yolculuğu tamamlamak "
"You have been accepted as a driver for application %s.";"Uygulama %s için bir sürücü olarak kabul edilmiştir."
"You have been deleted as a driver for application %s.";"Uygulama %s için bir sürücü olarak silinmiş."
"You have been refused as a driver for application %s.";"Uygulama %s için bir sürücü olarak reddetti."
"You haven't been accepted as a driver by your app administrator yet, please check back later.";"Ben app yöneticiniz tarafından bir sürücü olarak henüz kabul, lütfen daha sonra tekrar gitmedim."
"You haven't been accepted as a driver by your app administrator.";"Uygulama yöneticiniz tarafından bir sürücü olarak kabul edilmedin."
"You must register or login to continue...";"Kayıt veya devam etmek için giriş yapmalısınız."
"You need to specify at least one method of payment!";"Ödeme en az bir yöntem belirlemek gerekir."
"Your card has expired. Please update your informations";"Kartınızın süresi doldu. Lütfen bilgileri güncelleyin "
"Your credit card has been declined because of the currency you are attempting to pay in.  Please change the currency of the transaction or use a different card and try again.";"Kredi kartı para ödemek için girişimi nedeniyle reddedildi. İşlem para birimini değiştirmek veya farklı bir kart kullanın ve tekrar deneyin."
"Zip Code";"Posta kodu"
"Zip Code is required";"Posta Kodu gerekli "
"aboard";"gemiye"
"accepted";"Kabul"
"cancelled";"İptal"
"created";"oluşturulan"
"credit card";"kredi kartı"
"driven";"tahrik"
"finished";"bitmiş"
"finishing";"bitirme"
"for every";"her için "
"going";"gidiyor"
"kilometer";"kilometre"
"mile";"mil"
"minute";"dakika"
"n/a";"n/a"
"paid";"Ücretli"
"requesting";"talep"
"searching";"arama"
"unpaid";"ödenmemiş"
