"An error occurred during process. Please try again later.";"İşlemi sırasında bir hata oluştu. Daha sonra tekrar deneyiniz."
"An error occurred during process.<br />Please try again later.";"İşlem sırasında bir hata oluştu. <br /> Lütfen daha sonra tekrar deneyin."
"An error occurred during the process. Please try again later.";"İşlemi sırasında bir hata oluştu. Daha sonra tekrar deneyiniz."
"An error occurred while editing your invoice : can't find order";"Faturanızı düzenlerken bir hata oluştu: Sipariş bulunamıyor"
"An error occurred while loading places.";"Yerleri yüklerken bir hata oluştu."
"An error occurred while loading. Please try again later.";"Yüklenirken bir hata oluştu. Daha sonra tekrar deneyiniz."
"An error occurred while loading. Please, try again later.";"Yüklenirken bir hata oluştu. Daha sonra tekrar deneyin."
"An error occurred while processing your payment.";"Ödemeniz gerçekleştirilirken bir hata oluştu."
"An error occurred while saving";"Kaydedilirken bir hata oluştu"
"An error occurred while saving your account. Please try again later.";"Hesabınızı kaydedilirken bir hata oluştu. Daha sonra tekrar deneyiniz."
"An error occurred while saving your picture. Please try again later.";"Resminizi kaydederken bir hata oluştu. Lütfen daha sonra tekrar deneyiniz."
"An error occurred while saving your picture. Please try againg later.";"Resminiz kaydedilirken bir hata oluştu. Daha sonra tekrar deneyiniz."
"An error occurred while saving. Please try again later.";"Kaydedilirken bir hata oluştu. Daha sonra tekrar deneyiniz."
"An error occurred while saving. Please, try again later.";"Kaydedilirken bir hata oluştu. Daha sonra tekrar deneyin."
"An error occurred while uploading your file. Please, try again later.";"Dosyanızı yüklenirken bir hata oluştu. Daha sonra tekrar deneyin."
"An unexpected error occurred while calculating the route.";"Rota hesaplanırken beklenmeyen bir hata oluştu."
"An unknown error occurred while creating the push notification.";"Push bildirimi oluşturulurken bilinmeyen bir hata oluştu."
"An unknown error occurred while issue-ing your certificate.";"Sertifikanız verilirken bilinmeyen bir hata oluştu."
"An unknown error occurred while loading the page.";"Sayfa yüklenirken bilinmeyen bir hata oluştu."
"Android APK";"Android MUAYENE"
"Android SDK is not installed";"Android SDK yüklü değil "
"Android Source";"Android Kaynak"
"Android Spinner";"Android spinner"
"Android base Package Name can't be empty.";"Android base paket adı boş bırakılamaz."
"Android base Package Name must contain only letters, dots & minus with at least two dots.<br />Example: com.mydomain.admin";"Android base paket adı en az iki nokta ile sadece harf, nokta ve eksi içermelidir. <br /> Örnek: com.mydomain.admin"
"Android base Package Name must contain only letters, dots & minus.";"Android temel Paket Adı sadece harf, nokta ve eksi içermelidir."
"Android only";"Yalnızca Android"
"Answers";"Cevapları"
"App";"Uygulama"
"App analytics";"Uygulama analizleri"
"App id";"Uygulama kimliği"
"Appearance";"Görünüm"
"Apple Development teams";"Apple Geliştirme ekipleri"
"Application";"Uygulama"
"Application Name";"Uygulama adı"
"Application base Bundle ID (iOS)";"Uygulama temel Paket İsmi (iOS)"
"Application base Package Name (Android)";"Uygulama temel Paket İsmi (Android)"
"Applications";"Uygulamalar"
"Are you sure you want to delete this admin?";"Bu admini silmek istediğinizden emin misiniz?"
"Are you sure you want to delete this element?";"Bu öğeyi silmek istediğinizden emin misiniz?"
"Are you sure you want to delete this invoice?";"Bu faturayı iptal etmek istediğinizden emin misiniz?"
"Are you sure you want to delete this subscription?";"Bu üyeliği silmek istediğinizden emin misiniz?"
"Are you sure you want to remove this account?";"Bu hesabı kaldırmak istediğinize emin misiniz?"
"Artist";"Sanatçı"
"At least one <b>published</b> application is required in order to use global push notifications.";"Global push bildirimlerini kullanmak için en az bir <b> yayınlanmış</b> uygulama gereklidir."
"At least, 1 page in the application";"En az 1 Sayfa uygulama "
"Attachment";"Ek"
"Audio";"Ses"
"Authentication failed";"Kimlik doğrulaması başarısız oldu"
"Authentication failed. Please check your email and/or your password";"Kimlik doğrulama başarısız oldu. E-posta adresinizi ve / veya şifrenizi kontrol edin"
"Authentication failed. Please, check the username and/or the password";"Kimlik doğrulama başarısız oldu. Lütfen kullanıcı adını ve / veya şifreyi kontrol edin"
"Autocomplete & Suggestions ...";"Otomatik Tamamlama Ve Öneriler ..."
"Average cart";"Ortalama sepet"
"Average for active users";"Aktif kullanıcılar için ortalama"
"Average for all users";"Tüm kullanıcılar için ortalama"
"Back";"Geri"
"Back button icon";"Geri düğmesi simgesi"
"Background";"Background"
"Background (landscape)";"Arkaplan (yatay)"
"Background (portrait)";"Arka plam (dikey)"
"Backoffice";"Backoffice"
"Bad settings can break your APK Generator, leave empty to use defaults.";"Kötü ayarları MUAYENE Jeneratör break, varsayılan kullanmak için boş bırakın."
"Banner";"Banner"
"Banner & Interstitial";"Banner & Interstitial"
"Be careful you are working in";"Dikkat edin, çalışıyorsunuz"
"Bearer Token";"Taşıyıcı Belirteci"
"Before you can send push notification, you must have at least one of iOS or Android application in a published state.";"Push bildirimi göndermeden önce, yayınlanmış bir iOS veya Android uygulamasından en az birine sahip olmanız gerekir."
"Booking";"Rezervasyon"
"Booking details";"Rezervasyon detayları"
"Booking::findAction An unknown error occurred, please try again later.";"Rezervasyon : Bilinmeyen bir hata oluştu, lütfen daha sonra tekrar deneyin."
"Bottom";"Alt"
"Browse";"Browse"
"Button";"Düğme"
"Button assertive";"İddialı düğme"
"Button balanced";"Uyumlu düğme"
"Button calm";"Sakin düğme"
"Button dark";"Koyu düğme"
"Button energized";"Buton aktive edildi."
"Button light";"Açık renk düğme"
"Button positive";"Olumlu düğme"
"Button royal";"Asil düğme (button royal)"
"By checking this, a search field will appear in your folder feature";"Bunu onaylayarak, klasör özelliğinizde bir arama alanı görünecektir."
"By default, popups steps try to use a smart placement. You can force this placement if needed.";"Varsayılan olarak, pop-up adımları akıllı yerleştirme kullanmaya çalışır. Gerektiğinde bu yerleştirmeyi deneyebilirsiniz."
"Cache";"Cache"
"Calendar";"Takvim"
"Callback URIs";"Geri Arama URI"
"Can only be used once";"Sadece bir kez kullanılabilir"
"Cancel";"İptal"
"Card";"Kart"
"Card Item";"Kart öğesi"
"Careful, someone else is working on this application.";"Dikkat edin, başka biri bu uygulama üzerinde çalışıyor."
"Cart";"Sepet"
"Catalog";"Katalog"
"Certificate is valid and SSL is reachable, valid until: %s.<br />Issuer: %s%s";"Sertifika geçerli ve SSL'ye erişilebilir, şu tarihe kadar geçerlidir: %s. <br />veren: %s%s"
"Change password";"Şifreyi değiştir"
"Change your<br /><span class='bold'>picture</span>";"<br /><span class='bold'>resminizi değiştirin</ span>"
"Changing the Application icon requires a rebuild / republication.";"Uygulama simgesi değiştirme yeniden / bir yayınlanması gerekir."
"Changing this option requires you to republish your iOS application.";"Bu seçeneği değiştirmek iOS uygulama yayımlamak gerektirir."
"Checkbox";"Onay kutusu"
"Checkbox off";"Onay kutusu kapalı"
"Checkbox on";"Onay kutusu açık"
"Checking Permissions";"Kontrol İzinleri"
"Choose a file to import:";"İçe aktamak için bir dosya seçin"
"Choose an object to import:";"İçe aktarmak için bir şey seçin."
"City";"Şehir"
"City:";"Şehir:"
"ClamAV is an optional anti-virus, you can enable it up below.";"Deniztarağı isteğe bağlı bir anti-virüs, aşağıda etkinleştirin."
"ClamAV settings";"Deniztarağı ayarları"
"ClamAV settings have been saved.";"Deniztarağı ayarlar kaydedildi."
"Click here to log-in";"Giriş yapmak için tıklayın"
"Click here to open the application";"Burada uygulama açmak için tıklayın "
"Click on";"Üstüne tıkla"
"Click on a feature to add it to the folder";"Klasöre eklemek için bir özelliği tıklayın"
"Click on a feature to add it to the folder %s";"% S klasörüne eklemek için bir özelliğe tıklayın"
"Click to import your file";"Dosyanızı içe aktarmak için tıklayın"
"Close";"Kapat"
"Close mobile display";"Mobil ekranı kapat"
"CloudFlare is not supported, please use a CNAME.";"CloudFlare desteklenmiyor, lütfen bir CNAME kullanın."
"CloudFlare is not supported, you must use a CNAME targeting your main domain.";"CloudFlare desteklenmiyor, ana alan adınızı hedefleyen bir CNAME kullanmanız gerekiyor."
"Cms";"CMS"
"Codescan";"Kod tarama"
"Comment";"Yorum"
"Comments";"Yorumlar"
"Commerce";"Ticaret"
"Communication";"İletişim"
"Company";"Şirket"
"Coms";"Coms"
"Conditions";"Koşullar"
"Configuration partially saved";"Yapılandırma kısmen kurtardı"
"Confirm";"Doğrula"
"Confirm Password";"Şifreyi doğrula"
"Confirm new password";"Yeni şifreyi doğrula"
"Confirmation";"Onaylama"
"Confirmation required";"Onay gerekiyor"
"Connection type";"Bağlantı türü"
"Contact";"İletişim"
"Contact successfully added to your address book";"Kontak başarıyla adres defterinize eklendi"
"Contact us";"Bizimle iletişime geçin"
"Contest";"Yarışma"
"Coordinates";"Koordinatlar"
"Copy";"Kopyala"
"Copying";"Kopyalama"
"Core";"Çekirdek"
"Country";"Ülke"
"Cover";"Kapak"
"Create";"Oluştur"
"Create / Edit a User";"Bir kullanıcı oluştur/düzenle"
"Create a new account";"Yeni bir hesap oluştur"
"Create an account";"Hesap oluştur"
"Created at";"de oluşturuldu"
"Creator Email";"Yaratıcı E-Posta"
"Currency";"Para birimi"
"Current load is";"Mevcut yük"
"Current password";"Mevcut şifre"
"Current status is";"Geçerli durum"
"Custom Page";"Özel sayfa"
"Customization";"Kişiselleştirme"
"Customization mode activated";"Özelleştirme modu aktif"
"Customize your app's colors";"Uygulamanızın renklerini kişiselleştirin"
"DEFAULT";"VARSAYILAN"
"DELETE";"Sil"
"Dashboard";"Yönetim Paneli"
"Data saved successfully.";"Veri başarıyla kaydedildi."
"Date";"Tarih"
"Date and time";"Tarih ve saat"
"Date of birth";"Doğum tarihi"
"Date of birth:";"Doğum tarihi"
"Deactivate";"Deaktif et"
"Debug";"Hata ayıklama"
"Debug output";"Hata ayıklama çıktısı"
"Default Languages";"Birincil dil"
"Default role for all new users";"Tüm yeni kullanıcılar için varsayılan rol "
"Default search distance";"Varsayılan arama mesafesi"
"Delete";"Sil"
"Delete a feature";"Bir özelliği silmek "
"Delete the Application";"Uygulama silmek "
"Delete this folder and all its subfolders?";"Bu klasör ve tüm alt klasörleri silinsin mi?"
"Delivered";"Teslim edildi"
"Delivery Cost";"Masrafı"
"Delivery method";"Teslimat yöntemi"
"Description";"Açıklama"
"Description:";"Açıklama:"
"Details";"Detaylar"
"Development";"Geliştirme"
"Dialog";"Diyalog"
"Dialog background";"Diyalog arka planı"
"Dialog button";"Diyalog düğmesi"
"Dialog text";"Diyalog metni"
"Discount";"İndirim"
"Discounts";"İndirimler"
"Display pictogram instead of image in map";"Haritadaki resim yerine piktogramı göster"
"Distance unit";"Mesafe birimi"
"Do not export";"Verme "
"Do you want to download all the contents now to access it when offline? If you do, we recommend you to use a WiFi connection.";"Çevrimdışı olduğunda erişmek için tüm içeriği şimdi indirmek istiyor musunuz? Bunu yaparken WiFi bağlantısı kullanmanızı öneririz."
"Do you want to return to the homepage?";"Ana sayfaya dönmek istiyor musunuz?"
"Don't close the app while downloading. This may take a while.";"İndirirken uygulamayı kapatmayın. Bu biraz zaman alabilir."
"Done";"Tamamlandı"
"Download APK";"Download MUAYENE"
"Download a copy of my data";"Verilerimi bir kopyasını indirin "
"Download as zip";"İndir zıp"
"Download complete list for this metric";"Bu metrik için tüm listeyi indirin"
"Download current search as CSV";"CSV olarak indirme geçerli arama "
"Download file is not available in DEMO mode.";"İndirme dosyası DEMO modunda kullanılamaz."
"Download latest APK";"İndir son MUAYENE"
"Download latest sources";"İndir son kaynakları"
"Download list of user who used this discount";"İndirim kullanan kullanıcıların listesini indir"
"Download list of user who used this loyalty card";"Bu sadakat kartını kullanan kullanıcının listesini indirin"
"Download list of user who used this scratch card";"Kazı kazan kullanan kullanıcıların listesini indir"
"Download only winner list for this scratch card";"Bu kazı kazan için kazananlar listesini indir"
"Download the APK";"APK indir "
"Download the Source code";"Kaynak kodu Download "
"Downloading...";"İndiriliyor"
"Drop your json here";"Burada json bırakın "
"EDIT";"DÜZENLE"
"Edit";"Düzenle"
"Edit an invoice for this plan";"Bu plan için fatura düzenle"
"Edit folder";"Klasörü düzenle"
"Edit step for this element";"Bu öğe için adımı düzenle"
"Editing";"Düzenleme"
"Editor";"Editör"
"Editor note: A user with a given role can only assign Self role (if the role is SELF-ASSIGNABLE) & Child roles.";"Editörün notu: belirli bir rolü olan Bir kullanıcı (eğer rolü SELF-ATANABİLİR) & Çocuk rolleri Kendine rol atayabilirsiniz."
"Editor note: A user with a given role can only assign self & child roles.";"Editörün notu: belirli bir role sahip Bir kullanıcı sadece kendi & çocuk rolleri atayabilirsiniz."
"Element n°";"n° öğesi"
"Email";"Email"
"Email address";"Email adresi"
"Email:";"Email:"
"Enable search in folders";"Klasörlerde aramaya izin ver"
"Enable test API ?";"T"
"End at";"de bitti"
"End tour";"Turu bitir"
"Enter your twitter handle";"Kolu twitter girin "
"Error";"Hata"
"Error : <br/>";"Hata: <br/>"
"Error on import configuration.";"İçe aktarma yapılandırmasında hata oluştu."
"Errors : <br/>";"Hatalar: <br/>"
"European <b>General Data Protection Regulation (GDPR)</b>";"(GDPR) Avrupa <b>Genel Veri Koruma Yönetmeliği</b>"
"Event";"Etkinlik"
"Events";"Etkinlikler"
"Export / Import";"İhracat / İthalat"
"Export / Import of features is currently in beta and available only with some features.";"Özellikleri İhracat / İthalat şu anda sadece bazı özellikleri ile beta ve kullanılabilir."
"Export your customers";"Müşterilerinizi dışarı aktarın"
"Extension";"Uzantısı"
"Extension %s is strictly forbidden.";"S uzantısı %kesinlikle yasaktır."
"Extension can't be empty.";"Uzantısı boş."
"Extension not allowed, '%s' only";"Uzatma izin verilmiyor,sadece '%s'"
"Extension: txt, png, jpeg, avi, etc...";"Uzantısı: txt, png, jpeg, avi, vb..."
"Facebook";"Facebook"
"Fan Wall";"Takipçi duvarı"
"Fanwall";"Fanwall"
"Feature Analytics";"Analytics özelliği"
"Feature Top 5 visits";"Top 5 ziyareti öne çıkar"
"Features";"Özellikler"
"Filter metrics";"Metrikleri filtrele"
"Firewall";"Güvenlik duvarı"
"First Name";"İsim"
"First name";"İsim"
"First name / Last name";"İsim / Soyisim"
"Firstname";"Adı"
"Firstname:";"Adi:"
"Folder";"Klasör"
"Folder title is required";"Klasör başlığı gereklidir"
"Folders";"Klasörler"
"Folders (v2)";"Klasörler (v2)"
"Forbidden image format";"Yasak resim biçimi"
"Force request & Upload to panel";"Talebi zorla & panele yükle"
"Forgot your password ?";"Şifrenizi mi unuttunuz?"
"Forgot your password?";"Parolanızı mı unuttunuz?"
"Forgot your password? Don't worry! Simply enter your email address and we'll send you a new one right now.";"Şifrenizi mi unuttunuz? Üzülmeyin! E-posta adresini girin ,size bir yenisini göndereceğiz."
"Form";"Form"
"Form has the following errors";"Formda aşağıdaki hatalar mevcut"
"Free until";"Kadar ücretsiz "
"From:";"Kimden:"
"Front";"Ön"
"GCM settings saved.";"HGK ayarlar kaydedilir."
"GRADLE extended options";"GRADLE seçenekleri genişletilmiş "
"General";"Genel"
"Generate";"Üret"
"Generate an invoice for this offline plan by using the form below.";"Aşağıdaki formu kullanarak bu çevrimdışı plan için bir fatura oluşturun."
"Generate build";"Yapı oluşturmak "
"Generate sources";"Kaynakları oluşturmak "
"Global push";"Küresel itme"
"Global push notifications";"Global push bildirimleri"
"Go back";"Geri dön"
"Google Maps settings";"Google Maps ayarları"
"HH:mm a";"SS:dd"
"Hello,";"Merhaba,"
"Here is your new password:";"Yeni şifreniz:"
"Hi. I just found: $1 in the $2 app.";"Merhaba. Az önce buldum: $2 uygulamasında $1."
"Hide";"Gizle"
"Hide iOS status bar";"İOS durum çubuğunu gizle "
"Hint";"İpucu"
"Home";"Ev"
"Homepage";"Ana sayfa"
"Host";"Sunucu"
"Hostnames associated with this Certificate";"Bu sertifika ile ilişkili ana sunucu adları"
"How do you want to access the backoffice if you remove the only user remaining?";"Bu hesap silinemez"
"I'm listening to $1 from $2 on $3 app.";"#3 uygulamasında #1'den #2'ye dinliyorum."
"I'm listening to $1 on $2 app.";"2$ uygulamasında 1$ dinliyorum .."
"ID";"ID"
"IP";"IP"
"IP, example: 127.0.0.1";"IP, örnek: 127.0.0.1"
"Icons size";"Simge boyutu"
"If user doesn't use AdMob, split revenue will default to 100.";"Kullanıcı AdMob'u kullanmazsa, split geliri varsayılanı 100 olur."
"Image";"Görsel"
"Image not high enough, %spx minimum allowed.";"Resim yüksekliği yeterli değil,en az %spx olmalı."
"Image not large enough, %spx minimum allowed.";"Resim eni yeterli değil,en az %spx olmalı."
"Image not large enough, '%s' allowed.";"Resim yeterince büyük değil,izin verilen '%s'"
"Image successfully saved";"Görüntü başarıyla kaydedildi"
"Image too high, %spx maximum allowed.";"Resim yüksekliği çok fazla,en fazla %spx olmalı."
"Image too large, %spx maximum allowed.";"Resim çok büyük, en fazla %spx olmalı."
"Image too large, '%s' allowed.";"Resim çok büyük,izin verilen büyüklük '%s'."
"Images";"Görseller"
"Images opacity";"Görüntü saydamlığı"
"Import";"İçe aktar"
"Import a background image";"Bir arka plan görüntüsü alma "
"Import a cover image";"Kapak görüntüsü alma "
"Import a single feature.";"Tek bir özelliği alma."
"Import a thumbnail";"Alma küçük resim"
"Import a thumbnail image";"Küçük resim alma "
"Import yml";"İthalat yml"
"In order to fully enjoy our features, we encourage you to use at least:.<br />";"Uygulamanızı etkin kullanmanız için  önerdiğimiz minimum özellik adedi:<br />"
"In order to publish your application, we need:";"Uygulamanıızı yayınlamak için ihtiyacımız olanlar:"
"In order to publish your application, we need:<br />- ";"Uygulamanızı yayınlayabilmemiz için gerekenler:<br />- "
"In order to use global push notifications your app must be published.";"Global push bildirimlerini kullanabilmeniz için uygulamanız yayınlanmış olmalıdır."
"Incorrect filetype.";"Yanlış dosya türü,"
"Info";"Info"
"Info successfully saved";"Bilgi başarıyla kaydedildi"
"Information";"Bilgi"
"Infos successfully saved";"Bilgi başarıyla kaydedildi"
"Inherit global layout";"Global layout'u al"
"Insert a <br /><span class'bold'>cover image</span>";"<br /> <span class'bold '>kapak resmi</ span> ekle"
"Insert a <br /><span class=\"bold\">cover image</span>";"Bir kapak resmi <br /><span class=\"bold\">yükleyin</span>"
"Insert a cover image";"Bir kapak resmi yükleyin"
"Insert a picture";"Resim ekle"
"Installer";"Yükleyici"
"Installs";"Yükleme"
"Integration";"Entegrasyon"
"Interstitial";"Interstitial"
"Invalid place";"Geçersiz yer"
"Invoice creation date";"Fatura oluşturma tarihi"
"Invoice payment date";"Fatura ödeme tarihi"
"Invoices";"Faturalar"
"Issuer";"Veren"
"It seems that the renewal of the following SSL Certificate %s is failing, please check in <b>Settings > Advanced > Configuration</b> for the specified certificate.";"It seems that the renewal of the following SSL Certificate %s is failing, please check in <b>Settings > Advanced > Configuration</b> for the specified certificate."
"JAVA Extended options";"JAVA seçenekleri Genişletilmiş "
"Landscape";"Peyzaj"
"Last Name";"Soy Ad"
"Last action";"Son eylem"
"Last error";"Son hata"
"Last login";"Son giriş"
"Last name";"Soyisim"
"Last update date";"Son güncelleme tarih"
"Lastname";"Soyad"
"Lastname:";"Soyad:"
"Layout #1";"Layout #1"
"Layout #2";"Layout #2"
"Layout #3";"Layout #3"
"Layout #4";"Layout #4"
"Layout #5";"Layout #5"
"Layout #6";"Layout #6"
"Leave blank if your web space is the current domain.";"Mevcut domain sizin web alanınız ise boş bırakın."
"Left";"Sol"
"Let your users know what is locked";"Kullanıcılarınıza neyin kilitli olduğunu bildirin"
"Like";"Beğen"
"Likes";"Beğeniler"
"Link";"Link"
"Links";"Bağlantılar"
"Links are now re-ordered!";"Bağlantılar şimdi sipariş yeniden!"
"List";"Liste"
"List Item";"Öğeleri listele"
"List of your invoices";"Faturaların listesi "
"Load More";"Daha fazla yükle"
"Loading";"Yükleniyor"
"Loading picture";"Yükleme resim"
"Local APK Generator";"Yerel kuru temizleme Jeneratör"
"Local APK build";"Yerel kuru temizleme yapı"
"Locate";"Konum Bilgisi"
"Location";"Lokasyon"
"Location:";"Lokasyon:"
"Location: %s";"Konum: %s"
"Log in";"Oturum Aç"
"Log-in";"Oturum Aç"
"Log-out";"Çıkış"
"Logged in as";"Olarak girildi"
"Login to access your data";"Giriş verileri erişmek için "
"Login to your admin interface";"Yönetici arayüzüne giriş yapın"
"Loyalty Card";"Sadakat kartı"
"LoyaltyCard";"Sadakat karto"
"MM,d yy";"MM,d yy"
"MM.dd.y";"AA:GG.Y"
"MM.dd.y 'at' HH:mm a";"AA.GG.Y'da SS:DD"
"MM/dd/y";"MM/dd/y"
"MM/dd/y 'at' hh:mm a";"MM/dd/y 'at' hh:mm a"
"MM/dd/y hh:mm a";"MM/dd/y hh:mm a"
"MM/dd/yy";"MM/dd/yy"
"MM/dd/yyyy";"MM/dd/yyyy"
"MMMM dd y";"MMMM dd y"
"Main Platform";"Ana platform"
"Main category";"Ana kategori"
"Main domain";"Ana etki alanı"
"Main domain (without https?://) is required for services, and tools.";"(Https olmadan?) ana etki alanı:// hizmetleri ve araçlar için gereklidir."
"Main hostname";"Ana sunucu adı"
"Make this image colorizable";"Bu resmi renklendirilebilir yap"
"Manage";"Yönet"
"Manage Folders";"Klasörleri yönet"
"Manage Places";"Yerleri Yönetmek "
"Manage Tour";"Tur yönet"
"Manage content";"İçeriği yönet"
"Map";"Harita"
"Maps";"Haritalar"
"Mcommerce";"M-ticaret"
"Media";"Medya"
"Message";"Mesaj"
"Message from your app %s";"%s uygulamanızdan mesaj "
"Messages";"Mesajlar"
"Metadata";"Meta"
"Method";"Yöntem"
"Middle";"Orta"
"Migrate sessions";"Geçirme oturumları"
"Migrate sessions to Redis";"Geçirme oturumları Redis için "
"Misc";"Mısc"
"Missing appId";"Kayıp kimliği"
"Missing gallery_id";"Eksik gallery_id"
"Missing parameters.";"Eksik parametreler"
"Missing params";"Eksik parametreler"
"Missing status";"Eksik durum"
"Missing value";"Eksik değer"
"Missing values";"Kayıp değerler"
"Mobile display";"Mobil görünüm"
"Modal";"Kalıcı"
"Modules";"Modüller"
"Monetization";"Para kazanma"
"Month";"Ay"
"Monthly";"Aylık"
"More";"Daha"
"My Users List";"Kullanıcı listem"
"My account";"Hesabım"
"My custom template";"Özel şablon "
"My invoices";"Faturalarım"
"MyTemplate";"MyTemplate"
"NSCameraUsageDescription";"NSCameraUsageDescription"
"NSLocationAlwaysAndWhenInUseUsageDescription";"NSLocationAlwaysAndWhenİnUseUsagedescription"
"NSLocationAlwaysUsageDescription";"NSLocationAlwaysUsageDescription"
"NSLocationWhenInUseUsageDescription";"NSLocationWhenİnUseUsageDescription"
"NSMotionUsageDescription";"NSMotionUsageDescription"
"NSPhotoLibraryUsageDescription";"NSPhotoLibraryUsageDescription"
"Name";"Ad"
"Never";"Asla"
"New";"Yeni"
"New folder";"Yeni klasör"
"New format";"Yeni format"
"New password";"Yeni parola"
"New positions are missing.";"Yeni pozisyonlar eksik."
"New subfolder";"Yeni alt"
"Newswall";"Haber duvarı"
"Next";"Sonraki"
"No";"Yok"
"No Results";"Sonuç yok"
"No address to display on map.";"Harita üzerinde gösterilecek bir adres yok."
"No data for this metrics for now.";"Şu an bu metrik için veri yok."
"No features";"Hayır özellikleri"
"No invoice for now.";"Şu an fatura yok."
"No items found";"Hiçbir öğe bulunamadı"
"No linkable element found on this page.";"Bu sayfada bağlanılabilir öğe bulunamadı."
"No logs";"Hiçbir günlükleri"
"No modules";"Hayır modülleri"
"No place to display on map.";"Harita üzerinde gösterilecek bir yer yok."
"No profile found. Please create one in Settings tab.";"Profil bulunamadı. Lütfen Ayarlar sekmesinde oluşturun."
"No published applications available.";"Mevcut yayınlanmış uygulama yok."
"No results";"Sonuç yok"
"No results for your request.";"Talebiniz için sonuç yok."
"No rules";"Kural yok"
"No uploaded image";"yüklenen resim sayısı"
"Not available offline.";"Çevrimdışı erişilebilir değil."
"Note";"Not"
"Note: A disabled feature is not removed from published applications & can still be edited, but users can't add it anymore!";"Not: Yayınlanmış uygulamalardan devredışı bırakılmış bir özellik kaldırılmaz ama düzenlenebilir. Ancak kullanıcılar artık ekleyemez."
"Note: Let's encrypt X1 is a staging certificate.";"Not: Not: Let's encrypt X1 bir kademelendirme sertifikasıdır."
"Nothing to display";"Gösterilecek bir şey yok"
"Nothing to display.";"Gösterilecek bir şey yok."
"Number";"Sayı"
"Number of people";"Kişi sayısı"
"Number of reward used";"Kullanılan ödül sayısı"
"OK";"OK"
"OR";"YA DA"
"Offline Payment";"Çevrimdışı ödeme"
"Offline content";"Çevrimdışı içerik"
"Old Password";"Eski parola"
"Only active";"Yalnızca aktif"
"Only inactive";"Yalnızca pasif"
"Only offline";"Yalnızca çevrimdışı"
"Only published application are available for global push notifications.";"Yalnızca yayınlanmış uygulamalar global push bildirimleri için uygundur."
"Open custom URL";"Özel url aç"
"Open settings";"Açık ayarları"
"Options";"Ayarlar"
"Or do you want to return to editor?";"Ya da editöre mi dönmek istiyorsunuz?"
"Order";"Sipariş"
"Order date";"Sipariş tarihi"
"Origin";"Kökeni"
"Ouch, this page doesn't exist";"Bu sayfa mevcut değil"
"Override layout";"Layout'u geçersiz yap"
"PHP Version";"PHP Sürümü"
"Package name";"Paket adı"
"Padlock";"Padlock"
"Page settings";"Sayfa ayarları"
"Paid At";"Para At"
"Paid amount";"Ödenen miktar"
"Paid at";"Ödendi"
"Parent";"Üst"
"Password";"Şifre"
"Password (clear)";"Parola (açık)"
"Password (hashed)";"(Karma)şifre "
"Password:";"Şifre:"
